i_sec   t_sec   i_ips   t_ips   i_dps   t_dps   i_qps   t_qps   max_i   max_d   max_q   t_ins   t_del   t_query retry_i retry_d retry_q
get_min_trxid = 1 in 0.000 seconds

1.0     1.0     5449    5449    5849    5849    0       0       327879  7345    0       5450    5850    0       0       0       0
1.0     2.0     11897   8674    11897   8873    0       0       6763    5154    0       17350   17750   0       0       0       0
1.0     3.0     14048   10465   14048   10598   0       0       5397    4343    0       31400   31800   0       0       0       0
1.0     4.0     14098   11373   14098   11473   0       0       4411    3800    0       45500   45900   0       0       0       0
1.0     5.0     15347   12168   15347   12248   0       0       3929    3470    0       60850   61250   0       0       0       0
1.0     6.0     16347   12864   16347   12931   0       0       3908    3391    0       77200   77600   0       0       0       0
1.0     7.0     17347   13505   17347   13562   0       0       3759    3160    0       94550   94950   0       0       0       0
1.0     8.0     18497   14129   18497   14179   0       0       3534    3132    0       113050  113450  0       0       0       0
1.0     9.0     28945   15775   28945   15820   0       0       2982    2673    0       142000  142400  0       0       0       0
1.0     10.0    20697   16267   20697   16307   0       0       3108    2772    0       162700  163100  0       0       0       0
1.0     11.0    20497   16652   20497   16688   0       0       3030    2641    0       183200  183600  0       0       0       0
1.0     12.0    21097   17022   21097   17055   0       0       2989    2628    0       204300  204700  0       0       0       0
1.0     13.0    22197   17420   22197   17451   0       0       2857    2511    0       226500  226900  0       0       0       0
1.0     14.0    38994   18961   38994   18990   0       0       2497    2238    0       265500  265900  0       0       0       0
1.0     15.0    23596   19270   23596   19297   0       0       2663    2311    0       289100  289500  0       0       0       0
1.0     16.0    23296   19522   23296   19547   0       0       2705    2368    0       312400  312800  0       0       0       0
1.0     17.0    23896   19779   23896   19803   0       0       3010    2614    0       336300  336700  0       0       0       0
1.0     18.0    24246   20027   24246   20049   0       0       2573    2237    0       360550  360950  0       0       0       0
1.0     19.0    24496   20262   24496   20283   0       0       2500    2228    0       385050  385450  0       0       0       0
1.0     20.0    32195   20859   32195   20879   0       0       2649    2268    0       417250  417650  0       0       0       0
1.0     21.0    27946   21196   27946   21216   0       0       2492    2092    0       445200  445600  0       0       0       0
1.0     22.0    25496   21392   25496   21410   0       0       2551    2209    0       470700  471100  0       0       0       0
1.0     23.0    26246   21603   26246   21620   0       0       3208    2077    0       496950  497350  0       0       0       0
1.0     24.0    42093   22457   42093   22473   0       0       2189    1856    0       539050  539450  0       0       0       0
1.0     25.0    33345   22892   33345   22908   0       0       2190    1916    0       572400  572800  0       0       0       0
1.0     26.0    27244   23060   27244   23075   0       0       2270    1991    0       599650  600050  0       0       0       0
1.0     27.0    27196   23213   27196   23228   0       0       2734    2422    0       626850  627250  0       0       0       0
1.0     28.0    27045   23350   27045   23364   0       0       2360    2034    0       653900  654300  0       0       0       0
1.0     29.0    28096   23513   28096   23527   0       0       2237    1973    0       682000  682400  0       0       0       0
1.0     30.0    28445   23678   28445   23691   0       0       2304    2073    0       710450  710850  0       0       0       0
1.0     31.0    34894   24040   34894   24052   0       0       2232    1937    0       745350  745750  0       0       0       0
1.0     32.0    39743   24530   39743   24543   0       0       2093    1819    0       785100  785500  0       0       0       0
1.0     33.0    29245   24673   29245   24685   0       0       2166    1901    0       814350  814750  0       0       0       0
1.0     34.0    28645   24790   28645   24802   0       0       2246    1928    0       843000  843400  0       0       0       0
1.0     35.0    29095   24913   29095   24924   0       0       2093    1836    0       872100  872500  0       0       0       0
1.0     36.0    30095   25057   30095   25068   0       0       2123    1853    0       902200  902600  0       0       0       0
1.0     37.0    42093   25517   42093   25528   0       0       1957    1733    0       944300  944700  0       0       0       0
1.0     38.0    30345   25644   30345   25655   0       0       4588    1895    0       974650  975050  0       0       0       0
1.0     39.0    30844   25778   30844   25788   0       0       2186    1802    0       1005500 1005900 0       0       0       0
1.0     40.0    31095   25911   31095   25921   0       0       2007    1759    0       1036600 1037000 0       0       0       0
1.0     41.0    32894   26081   32894   26091   0       0       2151    1906    0       1069500 1069900 0       0       0       0
1.0     42.0    46193   26560   46193   26569   0       0       1983    1741    0       1115700 1116100 0       0       0       0
1.0     43.0    31995   26686   31995   26696   0       0       2060    1808    0       1147700 1148100 0       0       0       0
1.0     44.0    31295   26791   31295   26800   0       0       2213    1984    0       1179000 1179400 0       0       0       0
1.0     45.0    30844   26881   30844   26890   0       0       2010    1754    0       1209850 1210250 0       0       0       0
