i_sec   t_sec   i_ips   t_ips   i_dps   t_dps   i_qps   t_qps   max_i   max_d   max_q   t_ins   t_del   t_query retry_i retry_d retry_q
get_min_trxid = 1 in 0.000 seconds

1.0     1.0     16598   16598   16098   16098   0       0       2099    180630  0       16600   16100   0       0       0       0
1.0     2.0     0       8298    0       8048    0       0       0       0       0       16600   16100   0       0       0       0
1.0     3.0     17297   11298   17547   11215   0       0       1874    1851191 0       33900   33650   0       0       0       0
1.0     4.0     31795   16422   31545   16297   0       0       1436    46650   0       65700   65200   0       0       0       0
1.0     5.0     34444   20026   34894   20016   0       0       1410    49320   0       100150  100100  0       0       0       0
1.0     6.0     50042   25029   50042   25021   0       0       1736    1741    0       150200  150150  0       0       0       0
1.0     7.0     50042   28602   50042   28595   0       0       1637    1616    0       200250  200200  0       0       0       0
1.0     8.0     50042   31282   50042   31276   0       0       1668    1609    0       250300  250250  0       0       0       0
1.0     9.0     50041   33367   50041   33361   0       0       1734    1590    0       300350  300300  0       0       0       0
1.0     10.0    50042   35034   50042   35029   0       0       1782    1721    0       350400  350350  0       0       0       0
1.0     11.0    47892   36203   48342   36239   0       0       1788    1609    0       398300  398700  0       0       0       0
1.0     12.0    49142   37281   49142   37315   0       0       1719    1712    0       447450  447850  0       0       0       0
1.0     13.0    50892   38328   50042   38294   0       0       1796    1704    0       498350  497900  0       0       0       0
1.0     14.0    38244   38322   38194   38286   0       0       1068    44518   0       536600  536100  0       0       0       0
1.0     15.0    10698   36481   10698   36447   0       0       1585    51959   0       547300  546800  0       0       0       0
1.0     16.0    950     34260   950     34229   0       0       5619    52022   0       548250  547750  0       0       0       0
1.0     17.0    1000    32303   1000    32274   0       0       1295    50633   0       549250  548750  0       0       0       0
1.0     18.0    1000    30564   1000    30537   0       0       1293    50775   0       550250  549750  0       0       0       0
1.0     19.0    1550    29037   1550    29011   0       0       1285    51468   0       551800  551300  0       0       0       0
1.0     20.0    2000    27685   2000    27660   0       0       1508    30783   0       553800  553300  0       0       0       0
1.0     21.0    1600    26443   1600    26419   0       0       1292    33282   0       555400  554900  0       0       0       0
1.0     22.0    1650    25316   1650    25294   0       0       1283    32729   0       557050  556550  0       0       0       0
1.0     23.0    1400    24276   1400    24255   0       0       1324    38986   0       558450  557950  0       0       0       0
1.0     24.0    1300    23319   1300    23298   0       0       1597    38717   0       559750  559250  0       0       0       0
1.0     25.0    1350    22440   1350    22420   0       0       1352    38800   0       561100  560600  0       0       0       0
1.0     26.0    1900    21650   1900    21631   0       0       1303    32515   0       563000  562500  0       0       0       0
1.0     27.0    1550    20906   1550    20887   0       0       1536    32604   0       564550  564050  0       0       0       0
1.0     28.0    1600    20216   1600    20198   0       0       1294    32647   0       566150  565650  0       0       0       0
1.0     29.0    1600    19574   1600    19557   0       0       1308    31431   0       567750  567250  0       0       0       0
1.0     30.0    1600    18975   1600    18958   0       0       1315    32185   0       569350  568850  0       0       0       0
1.0     31.0    1850    18423   1850    18407   0       0       2849    33354   0       571200  570700  0       0       0       0
1.0     32.0    1500    17894   1500    17878   0       0       1330    33446   0       572700  572200  0       0       0       0
1.0     33.0    1550    17399   1550    17383   0       0       1552    33283   0       574250  573750  0       0       0       0
1.0     34.0    1500    16931   1500    16916   0       0       1303    33514   0       575750  575250  0       0       0       0
...
... cut many lines
...
1.0     1426.2  350     941     350     941     0       0       1874    144499  0       1342300 1341800 0       0       0       0
1.0     1427.2  350     941     350     940     0       0       1867    144347  0       1342650 1342150 0       0       0       0
1.0     1428.2  350     940     350     940     0       0       1888    144476  0       1343000 1342500 0       0       0       0
1.0     1429.2  350     940     350     940     0       0       1852    144413  0       1343350 1342850 0       0       0       0
1.0     1430.2  350     939     350     939     0       0       1899    144052  0       1343700 1343200 0       0       0       0
1.0     1431.2  350     939     350     939     0       0       1802    143301  0       1344050 1343550 0       0       0       0
1.0     1432.2  350     939     350     938     0       0       1820    143536  0       1344400 1343900 0       0       0       0
1.0     1433.2  350     938     350     938     0       0       1815    143661  0       1344750 1344250 0       0       0       0
1.0     1434.2  350     938     350     937     0       0       1786    144172  0       1345100 1344600 0       0       0       0
1.0     1435.2  350     937     350     937     0       0       1862    144294  0       1345450 1344950 0       0       0       0
1.0     1436.2  350     937     350     937     0       0       1804    144381  0       1345800 1345300 0       0       0       0
1.0     1437.2  350     937     350     936     0       0       1775    144435  0       1346150 1345650 0       0       0       0
