workload	engine	threads	sweep_param	sweep_value	phase	elapsed_s	metric	value
batch	rocksdb 11.8.1	1	batch	1	seed	0.265	keys_per_s	264704.586
batch	rocksdb 11.8.1	1	batch	1	seed	0.265	seed_keys	70144.000
batch	rocksdb 11.8.1	1	batch	1	seed	0.506	keys_per_s	265204.933
batch	rocksdb 11.8.1	1	batch	1	seed	0.506	seed_keys	134144.000
batch	rocksdb 11.8.1	1	batch	1	seed	0.753	keys_per_s	261726.995
batch	rocksdb 11.8.1	1	batch	1	seed	0.753	seed_keys	198656.000
batch	rocksdb 11.8.1	1	batch	1	seed	1.020	keys_per_s	266568.999
batch	rocksdb 11.8.1	1	batch	1	seed	1.020	seed_keys	269824.000
batch	rocksdb 11.8.1	1	batch	1	seed	1.265	keys_per_s	267495.076
batch	rocksdb 11.8.1	1	batch	1	seed	1.265	seed_keys	335360.000
batch	rocksdb 11.8.1	1	batch	1	seed	1.513	keys_per_s	264163.516
batch	rocksdb 11.8.1	1	batch	1	seed	1.513	seed_keys	400896.000
batch	rocksdb 11.8.1	1	batch	1	seed	1.758	keys_per_s	267594.094
batch	rocksdb 11.8.1	1	batch	1	seed	1.758	seed_keys	466432.000
batch	rocksdb 11.8.1	1	batch	1	seed	2.004	keys_per_s	264322.865
batch	rocksdb 11.8.1	1	batch	1	seed	2.004	seed_keys	531456.000
batch	rocksdb 11.8.1	1	batch	1	seed	2.270	keys_per_s	265566.713
batch	rocksdb 11.8.1	1	batch	1	seed	2.270	seed_keys	602112.000
batch	rocksdb 11.8.1	1	batch	1	seed	2.516	keys_per_s	268470.941
batch	rocksdb 11.8.1	1	batch	1	seed	2.516	seed_keys	668160.000
batch	rocksdb 11.8.1	1	batch	1	seed	2.762	keys_per_s	266423.531
batch	rocksdb 11.8.1	1	batch	1	seed	2.762	seed_keys	733696.000
batch	rocksdb 11.8.1	1	batch	1	seed	3.007	keys_per_s	267390.057
batch	rocksdb 11.8.1	1	batch	1	seed	3.007	seed_keys	799232.000
batch	rocksdb 11.8.1	1	batch	1	seed	3.255	keys_per_s	264354.307
