workload	engine	threads	sweep_param	sweep_value	op	count	p50_ns	p99_ns	p999_ns	max_ns	hit_rate	err_rate	wu_per_s	ops_per_s
cart	rocksdb 11.8.1	1		1	put	1619627	6048	9280	41728	237502	30.724	0.000	59992.1	74705.4
cart	rocksdb 11.8.1	1		1	get	540592	15936	28288	33024	1327325	30.724	0.000	59992.1	74705.4
cart	rocksdb 11.8.1	1		1	del	1243520	1272	3600	5792	214744	30.724	0.000	59992.1	74705.4
cart	rocksdb 11.8.1	1		1	range	1078646	29568	54016	85504	7549925	30.724	0.000	59992.1	74705.4
cart	rocksdb 11.8.1	2		1	put	2299468	6816	15040	61696	436024	31.076	0.000	85113.3	106153.2
cart	rocksdb 11.8.1	2		1	get	766445	25216	44800	51456	2625028	31.076	0.000	85113.3	106153.2
cart	rocksdb 11.8.1	2		1	del	1773532	1480	9664	13376	317359	31.076	0.000	85113.3	106153.2
cart	rocksdb 11.8.1	2		1	range	1529881	43264	82432	144384	6232337	31.076	0.000	85113.3	106153.2
cart	rocksdb 11.8.1	4		1	put	2459922	8384	22912	1859584	2340233	31.096	0.000	91134.8	113687.2
cart	rocksdb 11.8.1	4		1	get	820886	55552	93696	105984	3014182	31.096	0.000	91134.8	113687.2
cart	rocksdb 11.8.1	4		1	del	1899319	2544	17280	1044480	2213618	31.096	0.000	91134.8	113687.2
cart	rocksdb 11.8.1	4		1	range	1641634	82432	171008	436224	6774082	31.096	0.000	91134.8	113687.2
cart	rocksdb 11.8.1	8		1	put	2214773	16064	3162112	6717440	14802842	31.014	0.000	82087.5	102336.8
cart	rocksdb 11.8.1	8		1	get	739964	27264	54016	79360	6944005	31.014	0.000	82087.5	102336.8
cart	rocksdb 11.8.1	8		1	del	1708283	10304	3031040	6520832	14885416	31.014	0.000	82087.5	102336.8
cart	rocksdb 11.8.1	8		1	range	1477658	46848	94720	168960	8365657	31.014	0.000	82087.5	102336.8
cart	rocksdb 11.8.1	16		1	put	1633580	123392	5799936	7045120	15454160	30.728	0.000	60569.4	75405.9
cart	rocksdb 11.8.1	16		1	get	545995	21632	50944	130560	6855199	30.728	0.000	60569.4	75405.9
cart	rocksdb 11.8.1	16		1	del	1254689	114176	5734400	6979584	15019639	30.728	0.000	60569.4	75405.9
cart	rocksdb 11.8.1	16		1	range	1090650	39168	87552	183296	8002686	30.728	0.000	60569.4	75405.9
