workload	engine	threads	sweep_param	sweep_value	phase	elapsed_s	metric	value
cart	rocksdb 11.8.1	1		1	seed	0.264	keys_per_s	269475.783
cart	rocksdb 11.8.1	1		1	seed	0.264	seed_keys	71168.000
cart	rocksdb 11.8.1	1		1	seed	0.512	keys_per_s	227133.905
cart	rocksdb 11.8.1	1		1	seed	0.512	seed_keys	127488.000
cart	rocksdb 11.8.1	1		1	seed	0.769	keys_per_s	219106.932
cart	rocksdb 11.8.1	1		1	seed	0.769	seed_keys	183808.000
cart	rocksdb 11.8.1	1		1	seed	1.016	keys_per_s	230036.688
cart	rocksdb 11.8.1	1		1	seed	1.016	seed_keys	240640.000
cart	rocksdb 11.8.1	1		1	seed	1.267	keys_per_s	226498.412
cart	rocksdb 11.8.1	1		1	seed	1.267	seed_keys	297472.000
cart	rocksdb 11.8.1	1		1	seed	1.511	keys_per_s	190704.248
cart	rocksdb 11.8.1	1		1	seed	1.511	seed_keys	344064.000
cart	rocksdb 11.8.1	1		1	seed	1.760	keys_per_s	218032.170
cart	rocksdb 11.8.1	1		1	seed	1.760	seed_keys	398336.000
cart	rocksdb 11.8.1	1		1	seed	2.008	keys_per_s	225008.247
cart	rocksdb 11.8.1	1		1	seed	2.008	seed_keys	454144.000
cart	rocksdb 11.8.1	1		1	seed	2.260	keys_per_s	233681.689
cart	rocksdb 11.8.1	1		1	seed	2.260	seed_keys	513024.000
cart	rocksdb 11.8.1	1		1	seed	2.509	keys_per_s	222287.232
cart	rocksdb 11.8.1	1		1	seed	2.509	seed_keys	568320.000
cart	rocksdb 11.8.1	1		1	seed	2.760	keys_per_s	240662.549
cart	rocksdb 11.8.1	1		1	seed	2.760	seed_keys	628736.000
cart	rocksdb 11.8.1	1		1	seed	3.014	keys_per_s	193421.125
cart	rocksdb 11.8.1	1		1	seed	3.014	seed_keys	677888.000
cart	rocksdb 11.8.1	1		1	seed	3.265	keys_per_s	236624.034
cart	rocksdb 11.8.1	1		1	seed	3.265	seed_keys	737280.000
cart	rocksdb 11.8.1	1		1	seed	3.512	keys_per_s	201216.887
cart	rocksdb 11.8.1	1		1	seed	3.512	seed_keys	786944.000
cart	rocksdb 11.8.1	1		1	seed	3.759	keys_per_s	113805.446
cart	rocksdb 11.8.1	1		1	seed	3.759	seed_keys	815104.000
cart	rocksdb 11.8.1	1		1	seed	4.002	keys_per_s	219965.112
cart	rocksdb 11.8.1	1		1	seed	4.002	seed_keys	868352.000
cart	rocksdb 11.8.1	1		1	seed	4.250	keys_per_s	236783.277
cart	rocksdb 11.8.1	1		1	seed	4.250	seed_keys	927232.000
cart	rocksdb 11.8.1	1		1	seed	4.516	keys_per_s	111790.940
cart	rocksdb 11.8.1	1		1	seed	4.516	seed_keys	956928.000
cart	rocksdb 11.8.1	1		1	seed	4.763	keys_per_s	229920.542
cart	rocksdb 11.8.1	1		1	seed	4.763	seed_keys	1013760.000
cart	rocksdb 11.8.1	1		1	seed	5.010	keys_per_s	232539.946
cart	rocksdb 11.8.1	1		1	seed	5.010	seed_keys	1071104.000
cart	rocksdb 11.8.1	1		1	seed	5.261	keys_per_s	189091.339
cart	rocksdb 11.8.1	1		1	seed	5.261	seed_keys	1118720.000
cart	rocksdb 11.8.1	1		1	seed	5.512	keys_per_s	242969.180
cart	rocksdb 11.8.1	1		1	seed	5.512	seed_keys	1179648.000
cart	rocksdb 11.8.1	1		1	seed	5.765	keys_per_s	165920.284
cart	rocksdb 11.8.1	1		1	seed	5.765	seed_keys	1221632.000
cart	rocksdb 11.8.1	1		1	seed	6.014	keys_per_s	199636.356
cart	rocksdb 11.8.1	1		1	seed	6.014	seed_keys	1271296.000
cart	rocksdb 11.8.1	1		1	seed	6.269	keys_per_s	66224.865
cart	rocksdb 11.8.1	1		1	seed	6.269	seed_keys	1288192.000
cart	rocksdb 11.8.1	1		1	seed	6.501	keys_per_s	216325.766
cart	rocksdb 11.8.1	1		1	seed	6.501	seed_keys	1338368.000
cart	rocksdb 11.8.1	1		1	seed	6.765	keys_per_s	239042.636
cart	rocksdb 11.8.1	1		1	seed	6.765	seed_keys	1401344.000
cart	rocksdb 11.8.1	1		1	seed	7.010	keys_per_s	214722.387
cart	rocksdb 11.8.1	1		1	seed	7.010	seed_keys	1454080.000
cart	rocksdb 11.8.1	1		1	seed	7.263	keys_per_s	198782.383
cart	rocksdb 11.8.1	1		1	seed	7.263	seed_keys	1504256.000
cart	rocksdb 11.8.1	1		1	seed	7.506	keys_per_s	235431.161
cart	rocksdb 11.8.1	1		1	seed	7.506	seed_keys	1561600.000
cart	rocksdb 11.8.1	1		1	seed	7.752	keys_per_s	160289.352
cart	rocksdb 11.8.1	1		1	seed	7.752	seed_keys	1601024.000
cart	rocksdb 11.8.1	1		1	seed	8.014	keys_per_s	121026.475
cart	rocksdb 11.8.1	1		1	seed	8.014	seed_keys	1632768.000
cart	rocksdb 11.8.1	1		1	seed	8.259	keys_per_s	156953.746
cart	rocksdb 11.8.1	1		1	seed	8.259	seed_keys	1671168.000
cart	rocksdb 11.8.1	1		1	seed	8.507	keys_per_s	233233.095
cart	rocksdb 11.8.1	1		1	seed	8.507	seed_keys	1729024.000
cart	rocksdb 11.8.1	1		1	seed	8.756	keys_per_s	193198.580
cart	rocksdb 11.8.1	1		1	seed	8.756	seed_keys	1777152.000
cart	rocksdb 11.8.1	1		1	seed	9.005	keys_per_s	222230.358
