workload	engine	threads	sweep_param	sweep_value	phase	elapsed_s	metric	value
mixed	rocksdb 11.8.1	1		1	seed	0.253	keys_per_s	265496.056
mixed	rocksdb 11.8.1	1		1	seed	0.253	seed_keys	67072.000
mixed	rocksdb 11.8.1	1		1	seed	0.518	keys_per_s	266647.510
mixed	rocksdb 11.8.1	1		1	seed	0.518	seed_keys	137728.000
mixed	rocksdb 11.8.1	1		1	seed	0.765	keys_per_s	265341.541
mixed	rocksdb 11.8.1	1		1	seed	0.765	seed_keys	203264.000
mixed	rocksdb 11.8.1	1		1	seed	1.010	keys_per_s	267491.254
mixed	rocksdb 11.8.1	1		1	seed	1.010	seed_keys	268800.000
mixed	rocksdb 11.8.1	1		1	seed	1.257	keys_per_s	265312.986
mixed	rocksdb 11.8.1	1		1	seed	1.257	seed_keys	334336.000
mixed	rocksdb 11.8.1	1		1	seed	1.503	keys_per_s	266358.506
mixed	rocksdb 11.8.1	1		1	seed	1.503	seed_keys	399872.000
mixed	rocksdb 11.8.1	1		1	seed	1.752	keys_per_s	267372.109
mixed	rocksdb 11.8.1	1		1	seed	1.752	seed_keys	466432.000
mixed	rocksdb 11.8.1	1		1	seed	2.017	keys_per_s	267980.778
mixed	rocksdb 11.8.1	1		1	seed	2.017	seed_keys	537600.000
mixed	rocksdb 11.8.1	1		1	seed	2.264	keys_per_s	265882.105
mixed	rocksdb 11.8.1	1		1	seed	2.264	seed_keys	603136.000
mixed	rocksdb 11.8.1	1		1	seed	2.509	keys_per_s	267492.625
mixed	rocksdb 11.8.1	1		1	seed	2.509	seed_keys	668672.000
mixed	rocksdb 11.8.1	1		1	seed	2.754	keys_per_s	267191.770
mixed	rocksdb 11.8.1	1		1	seed	2.754	seed_keys	734208.000
mixed	rocksdb 11.8.1	1		1	seed	3.021	keys_per_s	263055.225
mixed	rocksdb 11.8.1	1		1	seed	3.021	seed_keys	804352.000
mixed	rocksdb 11.8.1	1		1	seed	3.266	keys_per_s	271447.176
mixed	rocksdb 11.8.1	1		1	seed	3.266	seed_keys	870912.000
mixed	rocksdb 11.8.1	1		1	seed	3.510	keys_per_s	265981.444
mixed	rocksdb 11.8.1	1		1	seed	3.510	seed_keys	935936.000
mixed	rocksdb 11.8.1	1		1	seed	3.755	keys_per_s	267517.805
mixed	rocksdb 11.8.1	1		1	seed	3.755	seed_keys	1001472.000
mixed	rocksdb 11.8.1	1		1	seed	4.020	keys_per_s	265234.305
mixed	rocksdb 11.8.1	1		1	seed	4.020	seed_keys	1071616.000
