workload	engine	threads	sweep_param	sweep_value	phase	elapsed_s	metric	value
scan	rocksdb 11.8.1	1		1	seed	0.256	keys_per_s	262356.251
scan	rocksdb 11.8.1	1		1	seed	0.256	seed_keys	67072.000
scan	rocksdb 11.8.1	1		1	seed	0.504	keys_per_s	264257.111
scan	rocksdb 11.8.1	1		1	seed	0.504	seed_keys	132608.000
scan	rocksdb 11.8.1	1		1	seed	0.752	keys_per_s	264205.889
scan	rocksdb 11.8.1	1		1	seed	0.752	seed_keys	198144.000
scan	rocksdb 11.8.1	1		1	seed	1.019	keys_per_s	266528.688
scan	rocksdb 11.8.1	1		1	seed	1.019	seed_keys	269312.000
scan	rocksdb 11.8.1	1		1	seed	1.269	keys_per_s	272394.492
scan	rocksdb 11.8.1	1		1	seed	1.269	seed_keys	337408.000
scan	rocksdb 11.8.1	1		1	seed	1.517	keys_per_s	270309.187
scan	rocksdb 11.8.1	1		1	seed	1.517	seed_keys	404480.000
scan	rocksdb 11.8.1	1		1	seed	1.768	keys_per_s	270713.466
scan	rocksdb 11.8.1	1		1	seed	1.768	seed_keys	472576.000
scan	rocksdb 11.8.1	1		1	seed	2.014	keys_per_s	267051.826
scan	rocksdb 11.8.1	1		1	seed	2.014	seed_keys	538112.000
scan	rocksdb 11.8.1	1		1	seed	2.267	keys_per_s	271323.235
scan	rocksdb 11.8.1	1		1	seed	2.267	seed_keys	606720.000
scan	rocksdb 11.8.1	1		1	seed	2.518	keys_per_s	267158.212
scan	rocksdb 11.8.1	1		1	seed	2.518	seed_keys	673792.000
scan	rocksdb 11.8.1	1		1	seed	2.768	keys_per_s	272447.577
scan	rocksdb 11.8.1	1		1	seed	2.768	seed_keys	741888.000
scan	rocksdb 11.8.1	1		1	seed	3.017	keys_per_s	271359.212
scan	rocksdb 11.8.1	1		1	seed	3.017	seed_keys	809472.000
scan	rocksdb 11.8.1	1		1	seed	3.265	keys_per_s	268292.846
scan	rocksdb 11.8.1	1		1	seed	3.265	seed_keys	876032.000
scan	rocksdb 11.8.1	1		1	seed	3.515	keys_per_s	272477.959
scan	rocksdb 11.8.1	1		1	seed	3.515	seed_keys	944128.000
scan	rocksdb 11.8.1	1		1	seed	3.761	keys_per_s	270527.199
scan	rocksdb 11.8.1	1		1	seed	3.761	seed_keys	1010688.000
scan	rocksdb 11.8.1	1		1	seed	4.013	keys_per_s	272233.724
scan	rocksdb 11.8.1	1		1	seed	4.013	seed_keys	1079296.000
scan	rocksdb 11.8.1	1		1	seed	4.264	keys_per_s	271423.048
scan	rocksdb 11.8.1	1		1	seed	4.264	seed_keys	1147392.000
scan	rocksdb 11.8.1	1		1	seed	4.513	keys_per_s	267233.890
scan	rocksdb 11.8.1	1		1	seed	4.513	seed_keys	1213952.000
scan	rocksdb 11.8.1	1		1	seed	4.764	keys_per_s	267202.357
scan	rocksdb 11.8.1	1		1	seed	4.764	seed_keys	1281024.000
scan	rocksdb 11.8.1	1		1	seed	5.012	keys_per_s	270545.815
scan	rocksdb 11.8.1	1		1	seed	5.012	seed_keys	1348096.000
scan	rocksdb 11.8.1	1		1	seed	5.262	keys_per_s	272317.366
scan	rocksdb 11.8.1	1		1	seed	5.262	seed_keys	1416192.000
scan	rocksdb 11.8.1	1		1	seed	5.512	keys_per_s	272318.555
scan	rocksdb 11.8.1	1		1	seed	5.512	seed_keys	1484288.000
scan	rocksdb 11.8.1	1		1	seed	5.760	keys_per_s	270456.039
scan	rocksdb 11.8.1	1		1	seed	5.760	seed_keys	1551360.000
scan	rocksdb 11.8.1	1		1	seed	6.010	keys_per_s	271917.116
scan	rocksdb 11.8.1	1		1	seed	6.010	seed_keys	1619456.000
scan	rocksdb 11.8.1	1		1	seed	6.256	keys_per_s	268923.189
scan	rocksdb 11.8.1	1		1	seed	6.256	seed_keys	1685504.000
scan	rocksdb 11.8.1	1		1	seed	6.504	keys_per_s	270456.110
scan	rocksdb 11.8.1	1		1	seed	6.504	seed_keys	1752576.000
scan	rocksdb 11.8.1	1		1	seed	6.756	keys_per_s	270376.880
scan	rocksdb 11.8.1	1		1	seed	6.756	seed_keys	1820672.000
scan	rocksdb 11.8.1	1		1	seed	7.006	keys_per_s	270335.096
scan	rocksdb 11.8.1	1		1	seed	7.006	seed_keys	1888256.000
scan	rocksdb 11.8.1	1		1	seed	7.254	keys_per_s	270346.529
scan	rocksdb 11.8.1	1		1	seed	7.254	seed_keys	1955328.000
scan	rocksdb 11.8.1	1		1	seed	7.504	keys_per_s	266137.481
scan	rocksdb 11.8.1	1		1	seed	7.504	seed_keys	2021888.000
scan	rocksdb 11.8.1	1		1	seed	7.754	keys_per_s	270425.344
scan	rocksdb 11.8.1	1		1	seed	7.754	seed_keys	2089472.000
scan	rocksdb 11.8.1	1		1	seed	8.020	keys_per_s	271356.087
scan	rocksdb 11.8.1	1		1	seed	8.020	seed_keys	2161664.000
scan	rocksdb 11.8.1	1		1	seed	8.273	keys_per_s	269294.942
scan	rocksdb 11.8.1	1		1	seed	8.273	seed_keys	2229760.000
scan	rocksdb 11.8.1	1		1	seed	8.500	keys_per_s	270002.725
scan	rocksdb 11.8.1	1		1	seed	8.500	seed_keys	2291200.000
scan	rocksdb 11.8.1	1		1	seed	8.772	keys_per_s	265972.029
scan	rocksdb 11.8.1	1		1	seed	8.772	seed_keys	2363392.000
scan	rocksdb 11.8.1	1		1	seed	9.020	keys_per_s	270469.648
scan	rocksdb 11.8.1	1		1	seed	9.020	seed_keys	2430464.000
scan	rocksdb 11.8.1	1		1	seed	9.251	keys_per_s	265903.710
scan	rocksdb 11.8.1	1		1	seed	9.251	seed_keys	2491904.000
scan	rocksdb 11.8.1	1		1	seed	9.501	keys_per_s	264239.346
scan	rocksdb 11.8.1	1		1	seed	9.501	seed_keys	2557952.000
scan	rocksdb 11.8.1	1		1	run	1.008	wu_per_s	429.561
scan	rocksdb 11.8.1	1		1	run	1.008	ops_per_s	429.561
scan	rocksdb 11.8.1	1		1	run	1.008	num-immutable-mem-table	0.000
scan	rocksdb 11.8.1	1		1	run	1.008	mem-table-flush-pending	0.000
scan	rocksdb 11.8.1	1		1	run	1.008	compaction-pending	0.000
scan	rocksdb 11.8.1	1		1	run	1.008	background-errors	0.000
scan	rocksdb 11.8.1	1		1	run	1.008	cur-size-active-mem-table	67110912.000
scan	rocksdb 11.8.1	1		1	run	1.008	cur-size-all-mem-tables	67110912.000
