workload	engine	threads	sweep_param	sweep_value	op	count	p50_ns	p99_ns	p999_ns	max_ns	hit_rate	err_rate	wu_per_s	ops_per_s
valsize	rocksdb 11.8.1	1	valuebytes	256	put	1630307	2224	4576	6240	3422913	75.396	0.000	90549.7	90549.7
valsize	rocksdb 11.8.1	1	valuebytes	256	get	2714723	1012	2672	4016	3157193	75.396	0.000	90549.7	90549.7
valsize	rocksdb 11.8.1	1	valuebytes	256	del	544820	2008	3920	5600	3053929	75.396	0.000	90549.7	90549.7
valsize	rocksdb 11.8.1	1	valuebytes	256	range	543165	63744	236544	276480	6663272	75.396	0.000	90549.7	90549.7
valsize	rocksdb 11.8.1	1	valuebytes	4096	put	560491	6240	10944	14784	6715478	76.334	0.000	31099.5	31099.5
valsize	rocksdb 11.8.1	1	valuebytes	4096	get	932275	3600	14528	17792	6007733	76.334	0.000	31099.5	31099.5
valsize	rocksdb 11.8.1	1	valuebytes	4096	del	186441	2256	5728	8896	3726425	76.334	0.000	31099.5	31099.5
valsize	rocksdb 11.8.1	1	valuebytes	4096	range	186785	222208	395264	3424256	8192786	76.334	0.000	31099.5	31099.5
valsize	rocksdb 11.8.1	1	valuebytes	65536	put	79515	55552	92672	3293184	6566002	83.569	0.000	4410.5	4410.5
valsize	rocksdb 11.8.1	1	valuebytes	65536	get	132283	39680	88576	3063808	7122853	83.569	0.000	4410.5	4410.5
valsize	rocksdb 11.8.1	1	valuebytes	65536	del	26408	3312	14784	144384	4097774	83.569	0.000	4410.5	4410.5
valsize	rocksdb 11.8.1	1	valuebytes	65536	range	26450	1187840	5144576	7241728	11250991	83.569	0.000	4410.5	4410.5
valsize	rocksdb 11.8.1	1	valuebytes	262144	put	17087	203776	3194880	4227072	9218546	94.117	0.000	954.2	954.2
valsize	rocksdb 11.8.1	1	valuebytes	262144	get	28525	168960	2023424	4177920	6333475	94.117	0.000	954.2	954.2
valsize	rocksdb 11.8.1	1	valuebytes	262144	del	5860	4832	28288	3522560	17003386	94.117	0.000	954.2	954.2
valsize	rocksdb 11.8.1	1	valuebytes	262144	range	5782	5079040	13172736	16056320	36986637	94.117	0.000	954.2	954.2
valsize	rocksdb 11.8.1	2	valuebytes	256	put	3059119	2544	5856	7456	6859232	75.252	0.000	169857.6	169857.6
valsize	rocksdb 11.8.1	2	valuebytes	256	get	5094286	1064	2768	4128	3259664	75.252	0.000	169857.6	169857.6
valsize	rocksdb 11.8.1	2	valuebytes	256	del	1019842	2288	5408	6880	6721166	75.252	0.000	169857.6	169857.6
valsize	rocksdb 11.8.1	2	valuebytes	256	range	1018874	69120	252928	296960	6984652	75.252	0.000	169857.6	169857.6
valsize	rocksdb 11.8.1	2	valuebytes	4096	put	988784	6304	14656	34048	7869016	75.763	0.000	54911.4	54911.4
valsize	rocksdb 11.8.1	2	valuebytes	4096	get	1647819	4128	16512	20608	6638834	75.763	0.000	54911.4	54911.4
valsize	rocksdb 11.8.1	2	valuebytes	4096	del	328919	2480	9920	19840	7298923	75.763	0.000	54911.4	54911.4
valsize	rocksdb 11.8.1	2	valuebytes	4096	range	329316	250880	448512	3424256	7885736	75.763	0.000	54911.4	54911.4
valsize	rocksdb 11.8.1	2	valuebytes	65536	put	127288	59136	2932736	6717440	13961963	80.796	0.000	7059.6	7059.6
valsize	rocksdb 11.8.1	2	valuebytes	65536	get	211536	52480	111104	3063808	8119587	80.796	0.000	7059.6	7059.6
valsize	rocksdb 11.8.1	2	valuebytes	65536	del	42366	4128	2375680	6586368	12669908	80.796	0.000	7059.6	7059.6
valsize	rocksdb 11.8.1	2	valuebytes	65536	range	42419	1400832	5275648	7766016	12392311	80.796	0.000	7059.6	7059.6
valsize	rocksdb 11.8.1	2	valuebytes	262144	put	27339	228352	3915776	7700480	13345631	91.237	0.000	1527.4	1527.4
valsize	rocksdb 11.8.1	2	valuebytes	262144	get	45780	259072	3227648	5144576	9231409	91.237	0.000	1527.4	1527.4
valsize	rocksdb 11.8.1	2	valuebytes	262144	del	9294	6368	3031040	6127616	21247784	91.237	0.000	1527.4	1527.4
valsize	rocksdb 11.8.1	2	valuebytes	262144	range	9245	6193152	17170432	23199744	28695883	91.237	0.000	1527.4	1527.4
valsize	rocksdb 11.8.1	4	valuebytes	256	put	4863710	3472	8096	10304	7866434	75.160	0.000	270181.8	270181.8
valsize	rocksdb 11.8.1	4	valuebytes	256	get	8106022	1240	3184	4768	3703488	75.160	0.000	270181.8	270181.8
valsize	rocksdb 11.8.1	4	valuebytes	256	del	1622439	3088	7648	9664	6927332	75.160	0.000	270181.8	270181.8
valsize	rocksdb 11.8.1	4	valuebytes	256	range	1620020	85504	321536	370688	7370334	75.160	0.000	270181.8	270181.8
valsize	rocksdb 11.8.1	4	valuebytes	4096	put	1595441	7584	20864	2965504	8963858	75.510	0.000	88543.5	88543.5
valsize	rocksdb 11.8.1	4	valuebytes	4096	get	2655867	4832	19840	24704	6034211	75.510	0.000	88543.5	88543.5
valsize	rocksdb 11.8.1	4	valuebytes	4096	del	530742	3152	16320	2932736	8001539	75.510	0.000	88543.5	88543.5
valsize	rocksdb 11.8.1	4	valuebytes	4096	range	530937	309248	522240	3457024	8207138	75.510	0.000	88543.5	88543.5
valsize	rocksdb 11.8.1	4	valuebytes	65536	put	167757	71168	3948544	7569408	15128136	79.435	0.000	9330.7	9330.7
valsize	rocksdb 11.8.1	4	valuebytes	65536	get	280388	92672	193536	3129344	12148733	79.435	0.000	9330.7	9330.7
valsize	rocksdb 11.8.1	4	valuebytes	65536	del	55983	5600	3817472	6979584	15146468	79.435	0.000	9330.7	9330.7
valsize	rocksdb 11.8.1	4	valuebytes	65536	range	55785	2056192	6258688	9240576	13483758	79.435	0.000	9330.7	9330.7
valsize	rocksdb 11.8.1	4	valuebytes	262144	put	36633	268288	4227072	8224768	14734680	89.377	0.000	2048.0	2048.0
valsize	rocksdb 11.8.1	4	valuebytes	262144	get	61528	577536	3686400	6127616	12457478	89.377	0.000	2048.0	2048.0
valsize	rocksdb 11.8.1	4	valuebytes	262144	del	12511	9280	3260416	6586368	14225958	89.377	0.000	2048.0	2048.0
