workload	engine	threads	sweep_param	sweep_value	phase	elapsed_s	metric	value
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	wu_per_s	211510.141
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	ops_per_s	211510.141
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	num-immutable-mem-table	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	mem-table-flush-pending	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	compaction-pending	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	background-errors	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	cur-size-active-mem-table	33556480.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	cur-size-all-mem-tables	33556480.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	size-all-mem-tables	33556480.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	num-entries-active-mem-table	126192.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	num-entries-imm-mem-tables	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	num-deletes-active-mem-table	21266.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	num-deletes-imm-mem-tables	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	estimate-num-keys	83660.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	estimate-table-readers-mem	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	num-snapshots	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	num-live-versions	1.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	estimate-live-data-size	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	total-sst-files-size	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	live-sst-files-size	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	estimate-pending-compaction-bytes	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	num-running-compactions	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	num-running-flushes	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	actual-delayed-write-rate	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	is-write-stopped	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	block-cache-capacity	33554432.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	block-cache-usage	4096.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	block-cache-pinned-usage	64.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	num-immutable-mem-table-flushed	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	num-running-compaction-sorted-runs	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	base-level	6.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	current-super-version-number	1.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	is-file-deletions-enabled	1.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	min-log-number-to-keep	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	min-obsolete-sst-number-to-keep	18446744073709551616.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	obsolete-sst-files-size	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	oldest-snapshot-sequence	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	oldest-snapshot-time	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	compaction-abort-count	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	num-blob-files	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	total-blob-file-size	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	live-blob-file-size	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	live-blob-file-garbage-size	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	mem_avail_mb	126472.043
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	load1	11.087
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	peak_rss_mb	53.988
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	minflt	10566.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	majflt	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	vol_ctxsw	745.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	invol_ctxsw	132.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	rss_mb	53.184
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	io_read_mb	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	io_write_mb	29.367
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	threads	6.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	disk_bytes	30759317.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	wu_per_s	169704.030
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	ops_per_s	169704.030
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	num-immutable-mem-table	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	mem-table-flush-pending	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	compaction-pending	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	background-errors	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	cur-size-active-mem-table	49285120.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	cur-size-all-mem-tables	49285120.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	size-all-mem-tables	49285120.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	num-entries-active-mem-table	194682.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	num-entries-imm-mem-tables	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	num-deletes-active-mem-table	38128.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	num-deletes-imm-mem-tables	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	estimate-num-keys	118426.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	estimate-table-readers-mem	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	num-snapshots	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	num-live-versions	1.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	estimate-live-data-size	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	total-sst-files-size	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	live-sst-files-size	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	estimate-pending-compaction-bytes	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	num-running-compactions	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	num-running-flushes	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	actual-delayed-write-rate	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	is-write-stopped	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	block-cache-capacity	33554432.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	block-cache-usage	4096.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	block-cache-pinned-usage	64.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	num-immutable-mem-table-flushed	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	num-running-compaction-sorted-runs	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	base-level	6.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	current-super-version-number	1.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	is-file-deletions-enabled	1.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	min-log-number-to-keep	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	min-obsolete-sst-number-to-keep	18446744073709551616.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	2.014	obsolete-sst-files-size	0.000
