workload	engine	threads	sweep_param	sweep_value	op	count	p50_ns	p99_ns	p999_ns	max_ns	hit_rate	err_rate	wu_per_s	ops_per_s
valsize	rocksdb 11.8.1	1	valuebytes	256	put	1629409	2256	4576	6176	224063	75.396	0.000	90499.3	90499.3
valsize	rocksdb 11.8.1	1	valuebytes	256	get	2713234	1032	2704	3952	344583	75.396	0.000	90499.3	90499.3
valsize	rocksdb 11.8.1	1	valuebytes	256	del	544492	2040	3952	5408	213071	75.396	0.000	90499.3	90499.3
valsize	rocksdb 11.8.1	1	valuebytes	256	range	542858	64256	234496	272384	5036242	75.396	0.000	90499.3	90499.3
valsize	rocksdb 11.8.1	1	valuebytes	4096	put	588216	5792	9024	16064	227972	76.252	0.000	32650.6	32650.6
valsize	rocksdb 11.8.1	1	valuebytes	4096	get	978940	4896	7904	9280	886289	76.252	0.000	32650.6	32650.6
valsize	rocksdb 11.8.1	1	valuebytes	4096	del	195673	2024	4320	5536	211518	76.252	0.000	32650.6	32650.6
valsize	rocksdb 11.8.1	1	valuebytes	4096	range	196250	228352	309248	337920	7516472	76.252	0.000	32650.6	32650.6
valsize	rocksdb 11.8.1	1	valuebytes	65536	put	41077	50432	73216	195584	282118	88.594	0.000	2277.1	2277.1
valsize	rocksdb 11.8.1	1	valuebytes	65536	get	68070	46336	55552	61184	711153	88.594	0.000	2277.1	2277.1
valsize	rocksdb 11.8.1	1	valuebytes	65536	del	13651	2288	8640	13760	144650	88.594	0.000	2277.1	2277.1
valsize	rocksdb 11.8.1	1	valuebytes	65536	range	13836	3719168	4227072	5341184	10008176	88.594	0.000	2277.1	2277.1
valsize	rocksdb 11.8.1	1	valuebytes	262144	put	9245	197632	242688	354304	395435	96.556	0.000	512.8	512.8
valsize	rocksdb 11.8.1	1	valuebytes	262144	get	15304	175104	199680	228352	520863	96.556	0.000	512.8	512.8
valsize	rocksdb 11.8.1	1	valuebytes	262144	del	3105	3792	20608	152576	1516081	96.556	0.000	512.8	512.8
valsize	rocksdb 11.8.1	1	valuebytes	262144	range	3121	16056320	18219008	20578304	22868611	96.556	0.000	512.8	512.8
valsize	rocksdb 11.8.1	2	valuebytes	256	put	3059475	2576	5920	7584	226544	75.241	0.000	169885.0	169885.0
valsize	rocksdb 11.8.1	2	valuebytes	256	get	5094682	1064	2768	4192	353153	75.241	0.000	169885.0	169885.0
valsize	rocksdb 11.8.1	2	valuebytes	256	del	1020058	2288	5472	6944	226980	75.241	0.000	169885.0	169885.0
valsize	rocksdb 11.8.1	2	valuebytes	256	range	1019016	69120	254976	296960	7440044	75.241	0.000	169885.0	169885.0
valsize	rocksdb 11.8.1	2	valuebytes	4096	put	1137019	5856	13120	33536	238198	75.679	0.000	63134.4	63134.4
valsize	rocksdb 11.8.1	2	valuebytes	4096	get	1894044	5152	8512	9920	540109	75.679	0.000	63134.4	63134.4
valsize	rocksdb 11.8.1	2	valuebytes	4096	del	378346	2160	8640	16768	229468	75.679	0.000	63134.4	63134.4
valsize	rocksdb 11.8.1	2	valuebytes	4096	range	378709	236544	317440	350208	7332487	75.679	0.000	63134.4	63134.4
valsize	rocksdb 11.8.1	2	valuebytes	65536	put	84538	50944	100864	168960	316964	83.404	0.000	4694.0	4694.0
valsize	rocksdb 11.8.1	2	valuebytes	65536	get	140779	47872	58624	63744	317484	83.404	0.000	4694.0	4694.0
valsize	rocksdb 11.8.1	2	valuebytes	65536	del	28163	2640	51968	69120	228711	83.404	0.000	4694.0	4694.0
valsize	rocksdb 11.8.1	2	valuebytes	65536	range	28176	3555328	4358144	5210112	59990782	83.404	0.000	4694.0	4694.0
valsize	rocksdb 11.8.1	2	valuebytes	262144	put	17988	209920	391168	423936	681009	93.906	0.000	1002.7	1002.7
valsize	rocksdb 11.8.1	2	valuebytes	262144	get	30015	185344	211968	232448	507805	93.906	0.000	1002.7	1002.7
valsize	rocksdb 11.8.1	2	valuebytes	262144	del	6121	3952	187392	222208	12503687	93.906	0.000	1002.7	1002.7
valsize	rocksdb 11.8.1	2	valuebytes	262144	range	6050	16318464	18743296	21626880	23880508	93.906	0.000	1002.7	1002.7
valsize	rocksdb 11.8.1	4	valuebytes	256	put	5079378	3472	8160	10304	6998284	75.135	0.000	282173.4	282173.4
valsize	rocksdb 11.8.1	4	valuebytes	256	get	8465478	1240	3216	4832	4004862	75.135	0.000	282173.4	282173.4
valsize	rocksdb 11.8.1	4	valuebytes	256	del	1694211	3120	7712	9792	6565414	75.135	0.000	282173.4	282173.4
valsize	rocksdb 11.8.1	4	valuebytes	256	range	1691663	81408	301056	346112	7097198	75.135	0.000	282173.4	282173.4
valsize	rocksdb 11.8.1	4	valuebytes	4096	put	1902720	6752	18304	2965504	9405901	75.422	0.000	105642.8	105642.8
valsize	rocksdb 11.8.1	4	valuebytes	4096	get	3169524	5792	9536	11968	8836266	75.422	0.000	105642.8	105642.8
valsize	rocksdb 11.8.1	4	valuebytes	4096	del	633071	2640	14272	2932736	9066480	75.422	0.000	105642.8	105642.8
valsize	rocksdb 11.8.1	4	valuebytes	4096	range	633818	261120	350208	610304	7564304	75.422	0.000	105642.8	105642.8
valsize	rocksdb 11.8.1	4	valuebytes	65536	put	131271	57088	3457024	6914048	17904174	80.653	0.000	7304.5	7304.5
valsize	rocksdb 11.8.1	4	valuebytes	65536	get	219233	54528	69120	2244608	12069274	80.653	0.000	7304.5	7304.5
valsize	rocksdb 11.8.1	4	valuebytes	65536	del	43904	3216	3293184	6848512	13384370	80.653	0.000	7304.5	7304.5
valsize	rocksdb 11.8.1	4	valuebytes	65536	range	43896	3817472	10813440	16318464	32589447	80.653	0.000	7304.5	7304.5
valsize	rocksdb 11.8.1	4	valuebytes	262144	put	24078	228352	47448064	74973184	121730275	92.048	0.000	1347.5	1347.5
valsize	rocksdb 11.8.1	4	valuebytes	262144	get	40469	203776	259072	4423680	12215689	92.048	0.000	1347.5	1347.5
valsize	rocksdb 11.8.1	4	valuebytes	262144	del	8197	4576	46923776	70778880	97497582	92.048	0.000	1347.5	1347.5
valsize	rocksdb 11.8.1	4	valuebytes	262144	range	8171	17432576	50069504	58458112	66128262	92.048	0.000	1347.5	1347.5
valsize	rocksdb 11.8.1	8	valuebytes	256	put	7246274	6816	13632	18304	8031624	75.125	0.000	402343.0	402343.0
valsize	rocksdb 11.8.1	8	valuebytes	256	get	12068884	1640	4192	6432	4475652	75.125	0.000	402343.0	402343.0
valsize	rocksdb 11.8.1	8	valuebytes	256	del	2414221	6368	12992	17280	8029082	75.125	0.000	402343.0	402343.0
valsize	rocksdb 11.8.1	8	valuebytes	256	range	2411870	111104	411648	473088	7650387	75.125	0.000	402343.0	402343.0
valsize	rocksdb 11.8.1	8	valuebytes	4096	put	2927742	9792	36608	3817472	9679198	75.275	0.000	162583.3	162583.3
valsize	rocksdb 11.8.1	8	valuebytes	4096	get	4876965	6944	11840	18816	6823501	75.275	0.000	162583.3	162583.3
valsize	rocksdb 11.8.1	8	valuebytes	4096	del	975934	4640	29312	3784704	9853900	75.275	0.000	162583.3	162583.3
valsize	rocksdb 11.8.1	8	valuebytes	4096	range	974702	313344	407552	464896	7860415	75.275	0.000	162583.3	162583.3
valsize	rocksdb 11.8.1	8	valuebytes	65536	put	213987	72192	5996544	11993088	29101156	78.328	0.000	11907.1	11907.1
valsize	rocksdb 11.8.1	8	valuebytes	65536	get	357066	67072	91648	125440	11089371	78.328	0.000	11907.1	11907.1
valsize	rocksdb 11.8.1	8	valuebytes	65536	del	72000	4896	5603328	10813440	24807310	78.328	0.000	11907.1	11907.1
valsize	rocksdb 11.8.1	8	valuebytes	65536	range	71471	4358144	12386304	18219008	29387489	78.328	0.000	11907.1	11907.1
valsize	rocksdb 11.8.1	8	valuebytes	262144	put	30495	272384	152043520	244318208	341003548	90.677	0.000	1703.6	1703.6
valsize	rocksdb 11.8.1	8	valuebytes	262144	get	51140	240640	305152	3948544	12272070	90.677	0.000	1703.6	1703.6
valsize	rocksdb 11.8.1	8	valuebytes	262144	del	10366	6496	114819072	164626432	226789099	90.677	0.000	1703.6	1703.6
valsize	rocksdb 11.8.1	8	valuebytes	262144	range	10431	20316160	57933824	68681728	79587810	90.677	0.000	1703.6	1703.6
valsize	rocksdb 11.8.1	16	valuebytes	256	put	4822834	8096	1171456	3784704	12007360	75.167	0.000	267813.6	267813.6
valsize	rocksdb 11.8.1	16	valuebytes	256	get	8034737	1544	4384	24704	6743501	75.167	0.000	267813.6	267813.6
valsize	rocksdb 11.8.1	16	valuebytes	256	del	1606393	7712	1187840	3817472	11937853	75.167	0.000	267813.6	267813.6
valsize	rocksdb 11.8.1	16	valuebytes	256	range	1605471	99840	391168	3686400	10417998	75.167	0.000	267813.6	267813.6
valsize	rocksdb 11.8.1	16	valuebytes	4096	put	1201234	399360	3063808	5079040	9017895	75.683	0.000	66716.6	66716.6
valsize	rocksdb 11.8.1	16	valuebytes	4096	get	2001617	6176	20608	358400	6518303	75.683	0.000	66716.6	66716.6
valsize	rocksdb 11.8.1	16	valuebytes	4096	del	400537	399360	3063808	5013504	9322940	75.683	0.000	66716.6	66716.6
valsize	rocksdb 11.8.1	16	valuebytes	4096	range	399788	276480	552960	1368064	6645027	75.683	0.000	66716.6	66716.6
valsize	rocksdb 11.8.1	16	valuebytes	65536	put	127950	4358144	12779520	16908288	25765472	80.839	0.000	7137.1	7137.1
valsize	rocksdb 11.8.1	16	valuebytes	65536	get	213973	59136	94720	1859584	12084485	80.839	0.000	7137.1	7137.1
valsize	rocksdb 11.8.1	16	valuebytes	65536	del	43042	1499136	7176192	10420224	15487485	80.839	0.000	7137.1	7137.1
valsize	rocksdb 11.8.1	16	valuebytes	65536	range	43330	4358144	11862016	17170432	26862308	80.839	0.000	7137.1	7137.1
valsize	rocksdb 11.8.1	16	valuebytes	262144	put	29690	536576	404750336	566231040	756266159	91.099	0.000	1644.8	1644.8
valsize	rocksdb 11.8.1	16	valuebytes	262144	get	49773	244736	3293184	7045120	15983872	91.099	0.000	1644.8	1644.8
valsize	rocksdb 11.8.1	16	valuebytes	262144	del	9973	57600	145752064	235929600	254894133	91.099	0.000	1644.8	1644.8
valsize	rocksdb 11.8.1	16	valuebytes	262144	range	9906	38010880	81264640	93847552	100699907	91.099	0.000	1644.8	1644.8
