workload	engine	threads	sweep_param	sweep_value	phase	elapsed_s	metric	value
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	wu_per_s	206515.166
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	ops_per_s	206515.166
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	num-immutable-mem-table	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	mem-table-flush-pending	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	compaction-pending	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	background-errors	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	cur-size-active-mem-table	33556480.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	cur-size-all-mem-tables	33556480.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	size-all-mem-tables	33556480.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	num-entries-active-mem-table	124057.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	num-entries-imm-mem-tables	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	num-deletes-active-mem-table	20726.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	num-deletes-imm-mem-tables	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	estimate-num-keys	82605.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	estimate-table-readers-mem	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	num-snapshots	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	num-live-versions	1.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	estimate-live-data-size	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	total-sst-files-size	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	live-sst-files-size	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	estimate-pending-compaction-bytes	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	num-running-compactions	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	num-running-flushes	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	actual-delayed-write-rate	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	is-write-stopped	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	block-cache-capacity	33554432.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	block-cache-usage	4096.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	block-cache-pinned-usage	64.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	num-immutable-mem-table-flushed	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	num-running-compaction-sorted-runs	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	base-level	6.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	current-super-version-number	1.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	is-file-deletions-enabled	1.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	min-log-number-to-keep	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.006	min-obsolete-sst-number-to-keep	18446744073709551616.000
