workload	engine	threads	sweep_param	sweep_value	op	count	p50_ns	p99_ns	p999_ns	max_ns	hit_rate	err_rate	wu_per_s	ops_per_s
batch	tidesdb 10.0.0	1	batch	1	mget	4225156	6240	9664	15424	80759522	100.000	0.000	117315.2	117315.2
batch	tidesdb 10.0.0	1	batch	1	mput	2818665	5472	15552	110080	313118961	100.000	0.000	117315.2	117315.2
batch	tidesdb 10.0.0	1	batch	64	mget	79639	382976	452608	618496	308904625	100.000	0.000	2217.5	141917.4
batch	tidesdb 10.0.0	1	batch	64	mput	53410	232448	4014080	31064064	151777942	100.000	0.000	2217.5	141917.4
batch	tidesdb 10.0.0	1	batch	256	mget	19618	1548288	1826816	70778880	84231971	100.000	0.000	544.3	139337.2
batch	tidesdb 10.0.0	1	batch	256	mput	13040	946176	14090240	92798976	305106095	100.000	0.000	544.3	139337.2
batch	tidesdb 10.0.0	2	batch	1	mget	5346476	6816	20352	43776	151669092	100.000	0.000	148505.4	148505.4
batch	tidesdb 10.0.0	2	batch	1	mput	3563948	5088	34048	3522560	314171316	100.000	0.000	148505.4	148505.4
batch	tidesdb 10.0.0	2	batch	64	mget	93509	423936	3391488	7438336	305720321	100.000	0.000	2602.3	166546.0
batch	tidesdb 10.0.0	2	batch	64	mput	62699	276480	8159232	70778880	311029415	100.000	0.000	2602.3	166546.0
batch	tidesdb 10.0.0	2	batch	256	mget	23211	1744896	8716288	78118912	315941203	100.000	0.000	642.4	164443.9
batch	tidesdb 10.0.0	2	batch	256	mput	15334	1302528	22151168	88604672	313964728	100.000	0.000	642.4	164443.9
batch	tidesdb 10.0.0	4	batch	1	mget	7064797	8384	28544	313344	310779543	100.000	0.000	196204.9	196204.9
batch	tidesdb 10.0.0	4	batch	1	mput	4708792	6048	232448	4947968	315025080	100.000	0.000	196204.9	196204.9
batch	tidesdb 10.0.0	4	batch	64	mget	115954	552960	4046848	10027008	309327156	100.000	0.000	3224.2	206347.8
batch	tidesdb 10.0.0	4	batch	64	mput	77509	839680	12517376	88604672	321258440	100.000	0.000	3224.2	206347.8
batch	tidesdb 10.0.0	4	batch	256	mget	28401	2244608	10551296	82313216	319277318	100.000	0.000	788.0	201724.9
batch	tidesdb 10.0.0	4	batch	256	mput	18899	5865472	47972352	107479040	322968917	100.000	0.000	788.0	201724.9
batch	tidesdb 10.0.0	8	batch	1	mget	10040521	11072	37120	296960	644227427	100.000	0.000	278879.7	278879.7
batch	tidesdb 10.0.0	8	batch	1	mput	6694466	7904	569344	5799936	647758231	100.000	0.000	278879.7	278879.7
batch	tidesdb 10.0.0	8	batch	64	mget	157325	839680	4816896	11206656	642957310	100.000	0.000	4357.2	278860.1
batch	tidesdb 10.0.0	8	batch	64	mput	104952	1892352	13697024	88604672	649371503	100.000	0.000	4357.2	278860.1
batch	tidesdb 10.0.0	8	batch	256	mget	39329	3424256	12779520	83361792	653462810	100.000	0.000	1093.5	279944.0
batch	tidesdb 10.0.0	8	batch	256	mput	26307	10027008	33161216	139460608	660383146	100.000	0.000	1093.5	279944.0
batch	tidesdb 10.0.0	16	batch	1	mget	10460090	11072	59648	497664	317850396	100.000	0.000	290503.8	290503.8
batch	tidesdb 10.0.0	16	batch	1	mput	6971475	7008	2539520	7503872	329718961	100.000	0.000	290503.8	290503.8
batch	tidesdb 10.0.0	16	batch	64	mget	143570	831488	4014080	6914048	317211536	100.000	0.000	3988.9	255291.5
batch	tidesdb 10.0.0	16	batch	64	mput	95808	7176192	30539776	54788096	336116550	100.000	0.000	3988.9	255291.5
batch	tidesdb 10.0.0	16	batch	256	mget	35814	3784704	10551296	15794176	321663491	100.000	0.000	994.9	254682.6
batch	tidesdb 10.0.0	16	batch	256	mput	23908	31588352	82313216	187695104	385599202	100.000	0.000	994.9	254682.6
