workload	engine	threads	sweep_param	sweep_value	phase	elapsed_s	metric	value
batch	tidesdb 10.0.0	1	batch	1	seed	0.265	keys_per_s	440856.861
batch	tidesdb 10.0.0	1	batch	1	seed	0.265	seed_keys	116736.000
batch	tidesdb 10.0.0	1	batch	1	seed	0.509	keys_per_s	428477.326
batch	tidesdb 10.0.0	1	batch	1	seed	0.509	seed_keys	221184.000
batch	tidesdb 10.0.0	1	batch	1	seed	0.752	keys_per_s	454452.088
batch	tidesdb 10.0.0	1	batch	1	seed	0.752	seed_keys	331776.000
batch	tidesdb 10.0.0	1	batch	1	seed	1.014	keys_per_s	409527.223
batch	tidesdb 10.0.0	1	batch	1	seed	1.014	seed_keys	439296.000
batch	tidesdb 10.0.0	1	batch	1	seed	1.260	keys_per_s	373895.757
batch	tidesdb 10.0.0	1	batch	1	seed	1.260	seed_keys	530944.000
batch	tidesdb 10.0.0	1	batch	1	seed	1.501	keys_per_s	320211.292
batch	tidesdb 10.0.0	1	batch	1	seed	1.501	seed_keys	608256.000
batch	tidesdb 10.0.0	1	batch	1	seed	1.764	keys_per_s	434068.628
batch	tidesdb 10.0.0	1	batch	1	seed	1.764	seed_keys	722432.000
batch	tidesdb 10.0.0	1	batch	1	seed	2.006	keys_per_s	361780.040
batch	tidesdb 10.0.0	1	batch	1	seed	2.006	seed_keys	809984.000
batch	tidesdb 10.0.0	1	batch	1	seed	2.251	keys_per_s	442592.807
batch	tidesdb 10.0.0	1	batch	1	seed	2.251	seed_keys	918528.000
batch	tidesdb 10.0.0	1	batch	1	seed	2.514	keys_per_s	403743.134
batch	tidesdb 10.0.0	1	batch	1	seed	2.514	seed_keys	1024512.000
batch	tidesdb 10.0.0	1	batch	1	seed	2.758	keys_per_s	272981.659
batch	tidesdb 10.0.0	1	batch	1	seed	2.758	seed_keys	1091072.000
batch	tidesdb 10.0.0	1	batch	1	seed	3.020	keys_per_s	425424.471
batch	tidesdb 10.0.0	1	batch	1	seed	3.020	seed_keys	1202688.000
batch	tidesdb 10.0.0	1	batch	1	seed	3.267	keys_per_s	437298.984
batch	tidesdb 10.0.0	1	batch	1	seed	3.267	seed_keys	1310720.000
batch	tidesdb 10.0.0	1	batch	1	seed	3.510	keys_per_s	428248.465
