workload	engine	threads	sweep_param	sweep_value	op	count	p50_ns	p99_ns	p999_ns	max_ns	hit_rate	err_rate	wu_per_s	ops_per_s
cart	tidesdb 10.0.0	1		1	put	1465598	5024	13888	2867200	159927384	30.670	0.000	54296.0	67568.3
cart	tidesdb 10.0.0	1		1	get	489554	2096	9280	25472	41171874	30.670	0.000	54296.0	67568.3
cart	tidesdb 10.0.0	1		1	del	1122628	2008	10688	18560	12003731	30.670	0.000	54296.0	67568.3
cart	tidesdb 10.0.0	1		1	range	976351	21632	39680	1630208	49022142	30.670	0.000	54296.0	67568.3
cart	tidesdb 10.0.0	2		1	put	2295935	4960	48384	3719168	158711420	31.102	0.000	84981.6	106013.7
cart	tidesdb 10.0.0	2		1	get	765217	2768	15040	40704	40569904	31.102	0.000	84981.6	106013.7
cart	tidesdb 10.0.0	2		1	del	1771815	988	19840	643072	13688406	31.102	0.000	84981.6	106013.7
cart	tidesdb 10.0.0	2		1	range	1527948	25728	63744	1941504	48065794	31.102	0.000	84981.6	106013.7
cart	tidesdb 10.0.0	4		1	put	3200614	6048	317440	5799936	307028900	31.327	0.000	118543.8	148119.9
cart	tidesdb 10.0.0	4		1	get	1067774	4016	20864	128512	42783720	31.327	0.000	118543.8	148119.9
cart	tidesdb 10.0.0	4		1	del	2485799	1096	18816	485376	16006306	31.327	0.000	118543.8	148119.9
cart	tidesdb 10.0.0	4		1	range	2133636	32384	116224	1777664	304563300	31.327	0.000	118543.8	148119.9
cart	tidesdb 10.0.0	8		1	put	4166586	8384	659456	6258688	308473036	31.563	0.000	154351.1	193138.7
cart	tidesdb 10.0.0	8		1	get	1390514	8384	42240	216064	85103998	31.563	0.000	154351.1	193138.7
cart	tidesdb 10.0.0	8		1	del	3252940	1448	19584	309248	17197390	31.563	0.000	154351.1	193138.7
cart	tidesdb 10.0.0	8		1	range	2778729	57088	207872	2088960	308506246	31.563	0.000	154351.1	193138.7
cart	tidesdb 10.0.0	16		1	put	4298885	7392	3686400	8847360	314649386	31.535	0.000	159324.8	199456.2
cart	tidesdb 10.0.0	16		1	get	1434938	14912	65280	485376	41020739	31.535	0.000	159324.8	199456.2
cart	tidesdb 10.0.0	16		1	del	3365141	1336	15040	292864	19931242	31.535	0.000	159324.8	199456.2
cart	tidesdb 10.0.0	16		1	range	2869886	56064	477184	2768896	312969385	31.535	0.000	159324.8	199456.2
