workload	engine	threads	sweep_param	sweep_value	phase	elapsed_s	metric	value
cart	tidesdb 10.0.0	1		1	seed	0.262	keys_per_s	558758.167
cart	tidesdb 10.0.0	1		1	seed	0.262	seed_keys	146432.000
cart	tidesdb 10.0.0	1		1	seed	0.504	keys_per_s	496383.804
cart	tidesdb 10.0.0	1		1	seed	0.504	seed_keys	266752.000
cart	tidesdb 10.0.0	1		1	seed	0.766	keys_per_s	515477.778
cart	tidesdb 10.0.0	1		1	seed	0.766	seed_keys	401408.000
cart	tidesdb 10.0.0	1		1	seed	1.009	keys_per_s	472259.634
cart	tidesdb 10.0.0	1		1	seed	1.009	seed_keys	516096.000
cart	tidesdb 10.0.0	1		1	seed	1.270	keys_per_s	390400.991
cart	tidesdb 10.0.0	1		1	seed	1.270	seed_keys	617984.000
cart	tidesdb 10.0.0	1		1	seed	1.511	keys_per_s	405505.715
cart	tidesdb 10.0.0	1		1	seed	1.511	seed_keys	715776.000
cart	tidesdb 10.0.0	1		1	seed	1.752	keys_per_s	502208.824
cart	tidesdb 10.0.0	1		1	seed	1.752	seed_keys	837120.000
cart	tidesdb 10.0.0	1		1	seed	2.015	keys_per_s	424952.710
cart	tidesdb 10.0.0	1		1	seed	2.015	seed_keys	948736.000
cart	tidesdb 10.0.0	1		1	seed	2.258	keys_per_s	515889.765
cart	tidesdb 10.0.0	1		1	seed	2.258	seed_keys	1074176.000
cart	tidesdb 10.0.0	1		1	seed	2.501	keys_per_s	458340.506
cart	tidesdb 10.0.0	1		1	seed	2.501	seed_keys	1185280.000
cart	tidesdb 10.0.0	1		1	seed	2.762	keys_per_s	412584.216
cart	tidesdb 10.0.0	1		1	seed	2.762	seed_keys	1293312.000
cart	tidesdb 10.0.0	1		1	seed	3.004	keys_per_s	443101.817
cart	tidesdb 10.0.0	1		1	seed	3.004	seed_keys	1400320.000
cart	tidesdb 10.0.0	1		1	seed	3.250	keys_per_s	344636.687
cart	tidesdb 10.0.0	1		1	seed	3.250	seed_keys	1485312.000
cart	tidesdb 10.0.0	1		1	seed	3.513	keys_per_s	427074.354
cart	tidesdb 10.0.0	1		1	seed	3.513	seed_keys	1597440.000
cart	tidesdb 10.0.0	1		1	seed	3.756	keys_per_s	454254.953
cart	tidesdb 10.0.0	1		1	seed	3.756	seed_keys	1708032.000
cart	tidesdb 10.0.0	1		1	seed	4.018	keys_per_s	313353.382
cart	tidesdb 10.0.0	1		1	seed	4.018	seed_keys	1789952.000
cart	tidesdb 10.0.0	1		1	seed	4.261	keys_per_s	455496.814
cart	tidesdb 10.0.0	1		1	seed	4.261	seed_keys	1900544.000
cart	tidesdb 10.0.0	1		1	seed	4.502	keys_per_s	451368.952
cart	tidesdb 10.0.0	1		1	seed	4.502	seed_keys	2009600.000
cart	tidesdb 10.0.0	1		1	seed	4.763	keys_per_s	433247.809
cart	tidesdb 10.0.0	1		1	seed	4.763	seed_keys	2122752.000
cart	tidesdb 10.0.0	1		1	seed	5.007	keys_per_s	412769.040
cart	tidesdb 10.0.0	1		1	seed	5.007	seed_keys	2223104.000
cart	tidesdb 10.0.0	1		1	seed	5.251	keys_per_s	247085.742
cart	tidesdb 10.0.0	1		1	seed	5.251	seed_keys	2283520.000
cart	tidesdb 10.0.0	1		1	seed	5.514	keys_per_s	399013.996
cart	tidesdb 10.0.0	1		1	seed	5.514	seed_keys	2388480.000
cart	tidesdb 10.0.0	1		1	seed	5.755	keys_per_s	401982.838
cart	tidesdb 10.0.0	1		1	seed	5.755	seed_keys	2485248.000
cart	tidesdb 10.0.0	1		1	seed	6.017	keys_per_s	409981.859
cart	tidesdb 10.0.0	1		1	seed	6.017	seed_keys	2592768.000
cart	tidesdb 10.0.0	1		1	seed	6.258	keys_per_s	378521.124
cart	tidesdb 10.0.0	1		1	seed	6.258	seed_keys	2683904.000
cart	tidesdb 10.0.0	1		1	seed	6.519	keys_per_s	419490.645
cart	tidesdb 10.0.0	1		1	seed	6.519	seed_keys	2793472.000
cart	tidesdb 10.0.0	1		1	seed	6.763	keys_per_s	409321.233
cart	tidesdb 10.0.0	1		1	seed	6.763	seed_keys	2893312.000
cart	tidesdb 10.0.0	1		1	seed	7.004	keys_per_s	410049.160
cart	tidesdb 10.0.0	1		1	seed	7.004	seed_keys	2992025.000
cart	tidesdb 10.0.0	1		1	run	1.003	wu_per_s	44944.983
cart	tidesdb 10.0.0	1		1	run	1.003	ops_per_s	55925.485
cart	tidesdb 10.0.0	1		1	run	1.003	keys	1900017.000
cart	tidesdb 10.0.0	1		1	run	1.003	levels	1.000
cart	tidesdb 10.0.0	1		1	run	1.003	data_bytes	36621500.000
cart	tidesdb 10.0.0	1		1	run	1.003	avg_key_size	25.000
cart	tidesdb 10.0.0	1		1	run	1.003	avg_value_size	4096.000
cart	tidesdb 10.0.0	1		1	run	1.003	read_amp	4.000
cart	tidesdb 10.0.0	1		1	run	1.003	tombstones	0.000
cart	tidesdb 10.0.0	1		1	run	1.003	tombstone_ratio	0.000
cart	tidesdb 10.0.0	1		1	run	1.003	max_sst_density	0.000
cart	tidesdb 10.0.0	1		1	run	1.003	max_sst_density_level	0.000
cart	tidesdb 10.0.0	1		1	run	1.003	btree_nodes	29811.000
cart	tidesdb 10.0.0	1		1	run	1.003	btree_max_height	3.000
cart	tidesdb 10.0.0	1		1	run	1.003	btree_avg_height	3.000
cart	tidesdb 10.0.0	1		1	run	1.003	compaction_count	0.000
cart	tidesdb 10.0.0	1		1	run	1.003	wal_bytes	12709509109.000
cart	tidesdb 10.0.0	1		1	run	1.003	flush_bytes	36621500.000
cart	tidesdb 10.0.0	1		1	run	1.003	compaction_bytes	0.000
cart	tidesdb 10.0.0	1		1	run	1.003	compaction_bytes_read	0.000
cart	tidesdb 10.0.0	1		1	run	1.003	user_bytes	12690954477.000
cart	tidesdb 10.0.0	1		1	run	1.003	unflushed_keys	756348.000
cart	tidesdb 10.0.0	1		1	run	1.003	filter_resident_bytes	2272.000
cart	tidesdb 10.0.0	1		1	run	1.003	sstables	4.000
cart	tidesdb 10.0.0	1		1	run	1.003	level1_sstables	4.000
cart	tidesdb 10.0.0	1		1	run	1.003	level1_keys	1900017.000
cart	tidesdb 10.0.0	1		1	run	1.003	level1_bytes	36621500.000
cart	tidesdb 10.0.0	1		1	run	1.003	level1_tombstones	0.000
cart	tidesdb 10.0.0	1		1	run	1.003	total_sstables	4.000
cart	tidesdb 10.0.0	1		1	run	1.003	open_sstables	9.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_data_bytes	36621500.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_memtable_bytes	39676424.000
cart	tidesdb 10.0.0	1		1	run	1.003	immutable_memtables	1.000
cart	tidesdb 10.0.0	1		1	run	1.003	compaction_queue	0.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_is_flushing	1.000
cart	tidesdb 10.0.0	1		1	run	1.003	txn_memory_bytes	0.000
cart	tidesdb 10.0.0	1		1	run	1.003	active_txns	0.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_column_families	1.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_global_seq	41636.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_min_snapshot_seq	18446744073709551616.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_wal_generation	6.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_flush_count	4.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_compaction_count	0.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_flush_bytes	36621500.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_compaction_bytes	0.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_compaction_bytes_read	0.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_user_bytes	12690954477.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_vlog_bytes	12786831264.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_vlog_values	3097584.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_vlog_used_bytes	12687704064.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_wal_bytes_written	94486178.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_vlog_bytes_written	12786826752.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_vlog_stored_bytes	12786826752.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_vlog_live_bytes	7843270176.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_vlog_dead_bytes	99127200.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_vlog_segments	48.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_vlog_segments_drainable	20.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_vlog_segments_retired	0.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_vlog_reclaim_calls	10.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_vlog_reclaim_passes	0.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_writes_throttled	0.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_writes_blocked	0.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_write_stall_us	0.000
cart	tidesdb 10.0.0	1		1	run	1.003	db_write_stall_ceiling	0.000
cart	tidesdb 10.0.0	1		1	run	1.003	cache_entries	7542.000
cart	tidesdb 10.0.0	1		1	run	1.003	cache_bytes	65830176.000
cart	tidesdb 10.0.0	1		1	run	1.003	cache_hits	101949.000
cart	tidesdb 10.0.0	1		1	run	1.003	cache_misses	10612.000
cart	tidesdb 10.0.0	1		1	run	1.003	cache_hit_rate	0.906
cart	tidesdb 10.0.0	1		1	run	1.003	cache_partitions	128.000
cart	tidesdb 10.0.0	1		1	run	1.003	mem_avail_mb	126415.102
cart	tidesdb 10.0.0	1		1	run	1.003	load1	5.677
cart	tidesdb 10.0.0	1		1	run	1.003	peak_rss_mb	618.762
cart	tidesdb 10.0.0	1		1	run	1.003	minflt	331262.000
cart	tidesdb 10.0.0	1		1	run	1.003	majflt	0.000
cart	tidesdb 10.0.0	1		1	run	1.003	vol_ctxsw	1544979.000
cart	tidesdb 10.0.0	1		1	run	1.003	invol_ctxsw	16141.000
cart	tidesdb 10.0.0	1		1	run	1.003	rss_mb	618.898
cart	tidesdb 10.0.0	1		1	run	1.003	io_read_mb	0.000
cart	tidesdb 10.0.0	1		1	run	1.003	io_write_mb	12330.703
cart	tidesdb 10.0.0	1		1	run	1.003	threads	15.000
cart	tidesdb 10.0.0	1		1	run	1.003	disk_bytes	16285543287.000
cart	tidesdb 10.0.0	1		1	run	2.009	wu_per_s	33285.152
cart	tidesdb 10.0.0	1		1	run	2.009	ops_per_s	40834.414
cart	tidesdb 10.0.0	1		1	run	2.009	keys	1900017.000
cart	tidesdb 10.0.0	1		1	run	2.009	levels	1.000
cart	tidesdb 10.0.0	1		1	run	2.009	data_bytes	36621500.000
cart	tidesdb 10.0.0	1		1	run	2.009	avg_key_size	25.000
cart	tidesdb 10.0.0	1		1	run	2.009	avg_value_size	4096.000
cart	tidesdb 10.0.0	1		1	run	2.009	read_amp	4.000
cart	tidesdb 10.0.0	1		1	run	2.009	tombstones	0.000
cart	tidesdb 10.0.0	1		1	run	2.009	tombstone_ratio	0.000
cart	tidesdb 10.0.0	1		1	run	2.009	max_sst_density	0.000
cart	tidesdb 10.0.0	1		1	run	2.009	max_sst_density_level	0.000
cart	tidesdb 10.0.0	1		1	run	2.009	btree_nodes	29811.000
cart	tidesdb 10.0.0	1		1	run	2.009	btree_max_height	3.000
cart	tidesdb 10.0.0	1		1	run	2.009	btree_avg_height	3.000
cart	tidesdb 10.0.0	1		1	run	2.009	compaction_count	0.000
cart	tidesdb 10.0.0	1		1	run	2.009	wal_bytes	12772040053.000
cart	tidesdb 10.0.0	1		1	run	2.009	flush_bytes	36621500.000
cart	tidesdb 10.0.0	1		1	run	2.009	compaction_bytes	0.000
cart	tidesdb 10.0.0	1		1	run	2.009	compaction_bytes_read	0.000
cart	tidesdb 10.0.0	1		1	run	2.009	user_bytes	12753340189.000
cart	tidesdb 10.0.0	1		1	run	2.009	unflushed_keys	781217.000
cart	tidesdb 10.0.0	1		1	run	2.009	filter_resident_bytes	2272.000
cart	tidesdb 10.0.0	1		1	run	2.009	sstables	4.000
cart	tidesdb 10.0.0	1		1	run	2.009	level1_sstables	4.000
cart	tidesdb 10.0.0	1		1	run	2.009	level1_keys	1900017.000
cart	tidesdb 10.0.0	1		1	run	2.009	level1_bytes	36621500.000
cart	tidesdb 10.0.0	1		1	run	2.009	level1_tombstones	0.000
cart	tidesdb 10.0.0	1		1	run	2.009	total_sstables	4.000
cart	tidesdb 10.0.0	1		1	run	2.009	open_sstables	15.000
cart	tidesdb 10.0.0	1		1	run	2.009	db_data_bytes	36621500.000
cart	tidesdb 10.0.0	1		1	run	2.009	db_memtable_bytes	43166056.000
cart	tidesdb 10.0.0	1		1	run	2.009	immutable_memtables	1.000
