workload	engine	threads	sweep_param	sweep_value	op	count	p50_ns	p99_ns	p999_ns	max_ns	hit_rate	err_rate	wu_per_s	ops_per_s
mixed	tidesdb 10.0.0	1		1	put	600934	4896	9408	15936	152157974	96.557	0.000	33354.9	33354.9
mixed	tidesdb 10.0.0	1		1	get	999348	6688	10944	13760	26950113	96.557	0.000	33354.9	33354.9
mixed	tidesdb 10.0.0	1		1	del	200289	2480	5536	7968	6175945	96.557	0.000	33354.9	33354.9
mixed	tidesdb 10.0.0	1		1	range	200735	179200	214016	4145152	41020869	96.557	0.000	33354.9	33354.9
mixed	tidesdb 10.0.0	2		1	put	1106519	5920	23680	2899968	153269070	94.101	0.000	61454.6	61454.6
mixed	tidesdb 10.0.0	2		1	get	1843831	7136	11712	26496	148772620	94.101	0.000	61454.6	61454.6
mixed	tidesdb 10.0.0	2		1	del	368843	2960	14144	32384	7662778	94.101	0.000	61454.6	61454.6
mixed	tidesdb 10.0.0	2		1	range	368336	189440	254976	3227648	42483485	94.101	0.000	61454.6	61454.6
mixed	tidesdb 10.0.0	4		1	put	1760576	7392	75264	3751936	158753801	91.511	0.000	97792.8	97792.8
mixed	tidesdb 10.0.0	4		1	get	2934534	8160	19072	44288	42827625	91.511	0.000	97792.8	97792.8
mixed	tidesdb 10.0.0	4		1	del	585833	3376	22400	59648	7577015	91.511	0.000	97792.8	97792.8
mixed	tidesdb 10.0.0	4		1	range	587153	216064	391168	3063808	158979414	91.511	0.000	97792.8	97792.8
mixed	tidesdb 10.0.0	8		1	put	2394769	10816	667648	3850240	311312648	89.474	0.000	132978.9	132978.9
mixed	tidesdb 10.0.0	8		1	get	3989286	10432	28544	164864	164023540	89.474	0.000	132978.9	132978.9
mixed	tidesdb 10.0.0	8		1	del	797575	3920	25984	2408448	10654730	89.474	0.000	132978.9	132978.9
mixed	tidesdb 10.0.0	8		1	range	797417	276480	757760	2670592	316488375	89.474	0.000	132978.9	132978.9
mixed	tidesdb 10.0.0	16		1	put	1960489	8768	5472256	10551296	167575163	90.818	0.000	108805.4	108805.4
mixed	tidesdb 10.0.0	16		1	get	3262872	11456	32128	391168	158044126	90.818	0.000	108805.4	108805.4
mixed	tidesdb 10.0.0	16		1	del	653165	3664	29568	585728	12802082	90.818	0.000	108805.4	108805.4
mixed	tidesdb 10.0.0	16		1	range	653129	238592	1155072	3620864	159138469	90.818	0.000	108805.4	108805.4
