workload	engine	threads	sweep_param	sweep_value	phase	elapsed_s	metric	value
mixed	tidesdb 10.0.0	1		1	seed	0.263	keys_per_s	461155.974
mixed	tidesdb 10.0.0	1		1	seed	0.263	seed_keys	121344.000
mixed	tidesdb 10.0.0	1		1	seed	0.507	keys_per_s	441324.920
mixed	tidesdb 10.0.0	1		1	seed	0.507	seed_keys	228864.000
mixed	tidesdb 10.0.0	1		1	seed	0.770	keys_per_s	455858.829
mixed	tidesdb 10.0.0	1		1	seed	0.770	seed_keys	348672.000
mixed	tidesdb 10.0.0	1		1	seed	1.012	keys_per_s	409896.574
mixed	tidesdb 10.0.0	1		1	seed	1.012	seed_keys	448000.000
mixed	tidesdb 10.0.0	1		1	seed	1.256	keys_per_s	369483.615
mixed	tidesdb 10.0.0	1		1	seed	1.256	seed_keys	538112.000
mixed	tidesdb 10.0.0	1		1	seed	1.500	keys_per_s	320232.670
mixed	tidesdb 10.0.0	1		1	seed	1.500	seed_keys	616448.000
mixed	tidesdb 10.0.0	1		1	seed	1.761	keys_per_s	435353.202
mixed	tidesdb 10.0.0	1		1	seed	1.761	seed_keys	730112.000
mixed	tidesdb 10.0.0	1		1	seed	2.004	keys_per_s	367078.017
mixed	tidesdb 10.0.0	1		1	seed	2.004	seed_keys	819200.000
mixed	tidesdb 10.0.0	1		1	seed	2.267	keys_per_s	447628.692
mixed	tidesdb 10.0.0	1		1	seed	2.267	seed_keys	936960.000
mixed	tidesdb 10.0.0	1		1	seed	2.514	keys_per_s	383999.190
mixed	tidesdb 10.0.0	1		1	seed	2.514	seed_keys	1031680.000
mixed	tidesdb 10.0.0	1		1	seed	2.756	keys_per_s	313634.130
mixed	tidesdb 10.0.0	1		1	seed	2.756	seed_keys	1107456.000
mixed	tidesdb 10.0.0	1		1	seed	3.017	keys_per_s	402963.732
mixed	tidesdb 10.0.0	1		1	seed	3.017	seed_keys	1212928.000
mixed	tidesdb 10.0.0	1		1	seed	3.262	keys_per_s	432718.380
mixed	tidesdb 10.0.0	1		1	seed	3.262	seed_keys	1318912.000
mixed	tidesdb 10.0.0	1		1	seed	3.508	keys_per_s	432479.772
mixed	tidesdb 10.0.0	1		1	seed	3.508	seed_keys	1425408.000
mixed	tidesdb 10.0.0	1		1	seed	3.753	keys_per_s	418104.788
mixed	tidesdb 10.0.0	1		1	seed	3.753	seed_keys	1527808.000
mixed	tidesdb 10.0.0	1		1	seed	4.017	keys_per_s	250168.162
mixed	tidesdb 10.0.0	1		1	seed	4.017	seed_keys	1593856.000
mixed	tidesdb 10.0.0	1		1	seed	4.261	keys_per_s	396686.477
mixed	tidesdb 10.0.0	1		1	seed	4.261	seed_keys	1690624.000
mixed	tidesdb 10.0.0	1		1	seed	4.504	keys_per_s	318224.485
mixed	tidesdb 10.0.0	1		1	seed	4.504	seed_keys	1767936.000
mixed	tidesdb 10.0.0	1		1	seed	4.765	keys_per_s	355024.891
mixed	tidesdb 10.0.0	1		1	seed	4.765	seed_keys	1860608.000
mixed	tidesdb 10.0.0	1		1	seed	5.008	keys_per_s	430456.935
mixed	tidesdb 10.0.0	1		1	seed	5.008	seed_keys	1965056.000
mixed	tidesdb 10.0.0	1		1	seed	5.252	keys_per_s	388828.863
mixed	tidesdb 10.0.0	1		1	seed	5.252	seed_keys	2059776.000
mixed	tidesdb 10.0.0	1		1	seed	5.514	keys_per_s	367198.102
mixed	tidesdb 10.0.0	1		1	seed	5.514	seed_keys	2156032.000
mixed	tidesdb 10.0.0	1		1	seed	5.758	keys_per_s	358900.950
mixed	tidesdb 10.0.0	1		1	seed	5.758	seed_keys	2243584.000
mixed	tidesdb 10.0.0	1		1	seed	6.018	keys_per_s	347498.740
mixed	tidesdb 10.0.0	1		1	seed	6.018	seed_keys	2334208.000
mixed	tidesdb 10.0.0	1		1	seed	6.260	keys_per_s	365268.940
mixed	tidesdb 10.0.0	1		1	seed	6.260	seed_keys	2422272.000
mixed	tidesdb 10.0.0	1		1	seed	6.502	keys_per_s	340369.972
mixed	tidesdb 10.0.0	1		1	seed	6.502	seed_keys	2504704.000
mixed	tidesdb 10.0.0	1		1	seed	6.763	keys_per_s	249168.998
mixed	tidesdb 10.0.0	1		1	seed	6.763	seed_keys	2569728.000
mixed	tidesdb 10.0.0	1		1	run	1.002	wu_per_s	19727.865
mixed	tidesdb 10.0.0	1		1	run	1.002	ops_per_s	19727.865
mixed	tidesdb 10.0.0	1		1	run	1.002	keys	2518951.000
mixed	tidesdb 10.0.0	1		1	run	1.002	levels	1.000
mixed	tidesdb 10.0.0	1		1	run	1.002	data_bytes	40048211.000
mixed	tidesdb 10.0.0	1		1	run	1.002	avg_key_size	14.000
mixed	tidesdb 10.0.0	1		1	run	1.002	avg_value_size	4096.000
mixed	tidesdb 10.0.0	1		1	run	1.002	read_amp	5.000
mixed	tidesdb 10.0.0	1		1	run	1.002	tombstones	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	tombstone_ratio	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	max_sst_density	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	max_sst_density_level	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	btree_nodes	33281.000
mixed	tidesdb 10.0.0	1		1	run	1.002	btree_max_height	3.000
mixed	tidesdb 10.0.0	1		1	run	1.002	btree_avg_height	3.000
mixed	tidesdb 10.0.0	1		1	run	1.002	compaction_count	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	wal_bytes	10814699530.000
mixed	tidesdb 10.0.0	1		1	run	1.002	flush_bytes	40048211.000
mixed	tidesdb 10.0.0	1		1	run	1.002	compaction_bytes	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	compaction_bytes_read	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	user_bytes	10798924946.000
mixed	tidesdb 10.0.0	1		1	run	1.002	unflushed_keys	110125.000
mixed	tidesdb 10.0.0	1		1	run	1.002	filter_resident_bytes	2400.000
mixed	tidesdb 10.0.0	1		1	run	1.002	sstables	5.000
mixed	tidesdb 10.0.0	1		1	run	1.002	level1_sstables	5.000
mixed	tidesdb 10.0.0	1		1	run	1.002	level1_keys	2518951.000
mixed	tidesdb 10.0.0	1		1	run	1.002	level1_bytes	40048211.000
mixed	tidesdb 10.0.0	1		1	run	1.002	level1_tombstones	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	total_sstables	5.000
mixed	tidesdb 10.0.0	1		1	run	1.002	open_sstables	13.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_data_bytes	40048211.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_memtable_bytes	14686392.000
mixed	tidesdb 10.0.0	1		1	run	1.002	immutable_memtables	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	compaction_queue	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_is_flushing	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	txn_memory_bytes	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	active_txns	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_column_families	1.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_global_seq	13104.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_min_snapshot_seq	18446744073709551616.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_wal_generation	6.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_flush_count	5.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_compaction_count	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_flush_bytes	40048211.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_compaction_bytes	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_compaction_bytes_read	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_user_bytes	10798924946.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_vlog_bytes	11872640232.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_vlog_values	2876124.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_vlog_used_bytes	11780603904.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_wal_bytes_written	63855631.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_vlog_bytes_written	11872639872.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_vlog_stored_bytes	11872639872.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_vlog_live_bytes	10398229728.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_vlog_dead_bytes	92036328.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_vlog_segments	45.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_vlog_segments_drainable	7.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_vlog_segments_retired	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_vlog_reclaim_calls	10.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_vlog_reclaim_passes	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_writes_throttled	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_writes_blocked	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_write_stall_us	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	db_write_stall_ceiling	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	cache_entries	7473.000
mixed	tidesdb 10.0.0	1		1	run	1.002	cache_bytes	65918152.000
mixed	tidesdb 10.0.0	1		1	run	1.002	cache_hits	44136.000
mixed	tidesdb 10.0.0	1		1	run	1.002	cache_misses	10407.000
mixed	tidesdb 10.0.0	1		1	run	1.002	cache_hit_rate	0.809
mixed	tidesdb 10.0.0	1		1	run	1.002	cache_partitions	128.000
mixed	tidesdb 10.0.0	1		1	run	1.002	mem_avail_mb	126500.523
mixed	tidesdb 10.0.0	1		1	run	1.002	load1	9.319
mixed	tidesdb 10.0.0	1		1	run	1.002	peak_rss_mb	574.078
mixed	tidesdb 10.0.0	1		1	run	1.002	minflt	332052.000
mixed	tidesdb 10.0.0	1		1	run	1.002	majflt	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	vol_ctxsw	1628549.000
mixed	tidesdb 10.0.0	1		1	run	1.002	invol_ctxsw	13290.000
mixed	tidesdb 10.0.0	1		1	run	1.002	rss_mb	529.582
mixed	tidesdb 10.0.0	1		1	run	1.002	io_read_mb	0.000
mixed	tidesdb 10.0.0	1		1	run	1.002	io_write_mb	11435.898
mixed	tidesdb 10.0.0	1		1	run	1.002	threads	14.000
mixed	tidesdb 10.0.0	1		1	run	1.002	disk_bytes	15018446005.000
mixed	tidesdb 10.0.0	1		1	run	2.010	wu_per_s	20124.491
mixed	tidesdb 10.0.0	1		1	run	2.010	ops_per_s	20124.491
mixed	tidesdb 10.0.0	1		1	run	2.010	keys	2518951.000
mixed	tidesdb 10.0.0	1		1	run	2.010	levels	1.000
mixed	tidesdb 10.0.0	1		1	run	2.010	data_bytes	40048211.000
mixed	tidesdb 10.0.0	1		1	run	2.010	avg_key_size	14.000
mixed	tidesdb 10.0.0	1		1	run	2.010	avg_value_size	4096.000
mixed	tidesdb 10.0.0	1		1	run	2.010	read_amp	5.000
mixed	tidesdb 10.0.0	1		1	run	2.010	tombstones	0.000
mixed	tidesdb 10.0.0	1		1	run	2.010	tombstone_ratio	0.000
mixed	tidesdb 10.0.0	1		1	run	2.010	max_sst_density	0.000
mixed	tidesdb 10.0.0	1		1	run	2.010	max_sst_density_level	0.000
mixed	tidesdb 10.0.0	1		1	run	2.010	btree_nodes	33281.000
mixed	tidesdb 10.0.0	1		1	run	2.010	btree_max_height	3.000
mixed	tidesdb 10.0.0	1		1	run	2.010	btree_avg_height	3.000
mixed	tidesdb 10.0.0	1		1	run	2.010	compaction_count	0.000
mixed	tidesdb 10.0.0	1		1	run	2.010	wal_bytes	10839648303.000
mixed	tidesdb 10.0.0	1		1	run	2.010	flush_bytes	40048211.000
mixed	tidesdb 10.0.0	1		1	run	2.010	compaction_bytes	0.000
mixed	tidesdb 10.0.0	1		1	run	2.010	compaction_bytes_read	0.000
mixed	tidesdb 10.0.0	1		1	run	2.010	user_bytes	10823827212.000
mixed	tidesdb 10.0.0	1		1	run	2.010	unflushed_keys	117869.000
mixed	tidesdb 10.0.0	1		1	run	2.010	filter_resident_bytes	2400.000
mixed	tidesdb 10.0.0	1		1	run	2.010	sstables	5.000
mixed	tidesdb 10.0.0	1		1	run	2.010	level1_sstables	5.000
mixed	tidesdb 10.0.0	1		1	run	2.010	level1_keys	2518951.000
mixed	tidesdb 10.0.0	1		1	run	2.010	level1_bytes	40048211.000
mixed	tidesdb 10.0.0	1		1	run	2.010	level1_tombstones	0.000
mixed	tidesdb 10.0.0	1		1	run	2.010	total_sstables	5.000
mixed	tidesdb 10.0.0	1		1	run	2.010	open_sstables	20.000
mixed	tidesdb 10.0.0	1		1	run	2.010	db_data_bytes	40048211.000
mixed	tidesdb 10.0.0	1		1	run	2.010	db_memtable_bytes	15724456.000
mixed	tidesdb 10.0.0	1		1	run	2.010	immutable_memtables	0.000
mixed	tidesdb 10.0.0	1		1	run	2.010	compaction_queue	0.000
mixed	tidesdb 10.0.0	1		1	run	2.010	db_is_flushing	0.000
mixed	tidesdb 10.0.0	1		1	run	2.010	txn_memory_bytes	0.000
