workload	engine	threads	sweep_param	sweep_value	phase	elapsed_s	metric	value
scan	tidesdb 10.0.0	1		1	seed	0.264	keys_per_s	500463.079
scan	tidesdb 10.0.0	1		1	seed	0.264	seed_keys	132096.000
scan	tidesdb 10.0.0	1		1	seed	0.506	keys_per_s	438278.318
scan	tidesdb 10.0.0	1		1	seed	0.506	seed_keys	238080.000
scan	tidesdb 10.0.0	1		1	seed	0.768	keys_per_s	444634.864
scan	tidesdb 10.0.0	1		1	seed	0.768	seed_keys	354816.000
scan	tidesdb 10.0.0	1		1	seed	1.011	keys_per_s	405408.968
scan	tidesdb 10.0.0	1		1	seed	1.011	seed_keys	453120.000
scan	tidesdb 10.0.0	1		1	seed	1.254	keys_per_s	372562.644
scan	tidesdb 10.0.0	1		1	seed	1.254	seed_keys	543744.000
scan	tidesdb 10.0.0	1		1	seed	1.501	keys_per_s	314956.185
scan	tidesdb 10.0.0	1		1	seed	1.501	seed_keys	621568.000
scan	tidesdb 10.0.0	1		1	seed	1.767	keys_per_s	430113.963
scan	tidesdb 10.0.0	1		1	seed	1.767	seed_keys	735744.000
scan	tidesdb 10.0.0	1		1	seed	2.009	keys_per_s	365430.445
scan	tidesdb 10.0.0	1		1	seed	2.009	seed_keys	824320.000
scan	tidesdb 10.0.0	1		1	seed	2.254	keys_per_s	438678.005
scan	tidesdb 10.0.0	1		1	seed	2.254	seed_keys	931840.000
scan	tidesdb 10.0.0	1		1	seed	2.522	keys_per_s	391730.788
scan	tidesdb 10.0.0	1		1	seed	2.522	seed_keys	1036800.000
scan	tidesdb 10.0.0	1		1	seed	2.763	keys_per_s	297768.807
scan	tidesdb 10.0.0	1		1	seed	2.763	seed_keys	1108480.000
scan	tidesdb 10.0.0	1		1	seed	3.004	keys_per_s	415204.512
scan	tidesdb 10.0.0	1		1	seed	3.004	seed_keys	1208832.000
scan	tidesdb 10.0.0	1		1	seed	3.268	keys_per_s	437048.526
scan	tidesdb 10.0.0	1		1	seed	3.268	seed_keys	1324032.000
scan	tidesdb 10.0.0	1		1	seed	3.511	keys_per_s	432462.834
scan	tidesdb 10.0.0	1		1	seed	3.511	seed_keys	1428992.000
scan	tidesdb 10.0.0	1		1	seed	3.754	keys_per_s	410355.084
scan	tidesdb 10.0.0	1		1	seed	3.754	seed_keys	1528832.000
scan	tidesdb 10.0.0	1		1	seed	4.015	keys_per_s	242854.903
scan	tidesdb 10.0.0	1		1	seed	4.015	seed_keys	1592320.000
scan	tidesdb 10.0.0	1		1	seed	4.261	keys_per_s	381779.886
scan	tidesdb 10.0.0	1		1	seed	4.261	seed_keys	1686016.000
scan	tidesdb 10.0.0	1		1	seed	4.507	keys_per_s	297847.602
scan	tidesdb 10.0.0	1		1	seed	4.507	seed_keys	1759232.000
scan	tidesdb 10.0.0	1		1	seed	4.767	keys_per_s	384801.573
scan	tidesdb 10.0.0	1		1	seed	4.767	seed_keys	1859584.000
scan	tidesdb 10.0.0	1		1	seed	5.009	keys_per_s	438808.699
scan	tidesdb 10.0.0	1		1	seed	5.009	seed_keys	1965568.000
scan	tidesdb 10.0.0	1		1	seed	5.252	keys_per_s	380780.525
scan	tidesdb 10.0.0	1		1	seed	5.252	seed_keys	2058240.000
scan	tidesdb 10.0.0	1		1	seed	5.517	keys_per_s	366309.876
scan	tidesdb 10.0.0	1		1	seed	5.517	seed_keys	2155008.000
scan	tidesdb 10.0.0	1		1	seed	5.763	keys_per_s	359328.901
scan	tidesdb 10.0.0	1		1	seed	5.763	seed_keys	2243584.000
scan	tidesdb 10.0.0	1		1	seed	6.005	keys_per_s	367855.081
scan	tidesdb 10.0.0	1		1	seed	6.005	seed_keys	2332672.000
scan	tidesdb 10.0.0	1		1	seed	6.267	keys_per_s	352689.601
scan	tidesdb 10.0.0	1		1	seed	6.267	seed_keys	2424832.000
scan	tidesdb 10.0.0	1		1	seed	6.507	keys_per_s	355193.667
scan	tidesdb 10.0.0	1		1	seed	6.507	seed_keys	2510336.000
scan	tidesdb 10.0.0	1		1	seed	6.768	keys_per_s	229644.427
scan	tidesdb 10.0.0	1		1	seed	6.768	seed_keys	2570240.000
scan	tidesdb 10.0.0	1		1	run	1.002	wu_per_s	272.344
scan	tidesdb 10.0.0	1		1	run	1.002	ops_per_s	272.344
scan	tidesdb 10.0.0	1		1	run	1.002	keys	2517504.000
scan	tidesdb 10.0.0	1		1	run	1.002	levels	1.000
scan	tidesdb 10.0.0	1		1	run	1.002	data_bytes	39826716.000
scan	tidesdb 10.0.0	1		1	run	1.002	avg_key_size	14.000
scan	tidesdb 10.0.0	1		1	run	1.002	avg_value_size	4096.000
scan	tidesdb 10.0.0	1		1	run	1.002	read_amp	5.000
