workload	engine	threads	sweep_param	sweep_value	op	count	p50_ns	p99_ns	p999_ns	max_ns	hit_rate	err_rate	wu_per_s	ops_per_s
valsize	tidesdb 10.0.0	1	valuebytes	256	put	2793567	8384	10688	13888	7725840	75.212	0.000	155119.6	155119.6
valsize	tidesdb 10.0.0	1	valuebytes	256	get	4650773	620	2288	5216	1642512	75.212	0.000	155119.6	155119.6
valsize	tidesdb 10.0.0	1	valuebytes	256	del	932226	8256	10304	13376	7079170	75.212	0.000	155119.6	155119.6
valsize	tidesdb 10.0.0	1	valuebytes	256	range	930896	18560	39680	48896	3505320	75.212	0.000	155119.6	155119.6
valsize	tidesdb 10.0.0	1	valuebytes	4096	put	952623	11072	15808	22400	37436957	75.718	0.000	52917.8	52917.8
valsize	tidesdb 10.0.0	1	valuebytes	4096	get	1586730	1944	3344	6496	1628334	75.718	0.000	52917.8	52917.8
valsize	tidesdb 10.0.0	1	valuebytes	4096	del	317995	8896	13120	15424	3604474	75.718	0.000	52917.8	52917.8
valsize	tidesdb 10.0.0	1	valuebytes	4096	range	317762	105984	129536	138240	3748451	75.718	0.000	52917.8	52917.8
valsize	tidesdb 10.0.0	1	valuebytes	65536	put	147087	22656	32640	53504	8571332	80.038	0.000	8137.6	8137.6
valsize	tidesdb 10.0.0	1	valuebytes	65536	get	243706	11328	15168	16768	210281	80.038	0.000	8137.6	8137.6
valsize	tidesdb 10.0.0	1	valuebytes	65536	del	48588	9664	15168	17024	26651	80.038	0.000	8137.6	8137.6
valsize	tidesdb 10.0.0	1	valuebytes	65536	range	48887	864256	1089536	1564672	2526128	80.038	0.000	8137.6	8137.6
valsize	tidesdb 10.0.0	1	valuebytes	262144	put	30330	65280	100864	183296	8776648	90.730	0.000	1683.9	1683.9
valsize	tidesdb 10.0.0	1	valuebytes	262144	get	50343	38656	56576	60672	259591	90.730	0.000	1683.9	1683.9
valsize	tidesdb 10.0.0	1	valuebytes	262144	del	10164	11200	25472	29056	38004	90.730	0.000	1683.9	1683.9
valsize	tidesdb 10.0.0	1	valuebytes	262144	range	10199	3948544	4620288	7634944	9189990	90.730	0.000	1683.9	1683.9
valsize	tidesdb 10.0.0	2	valuebytes	256	put	6384511	1240	22144	45312	9904052	75.099	0.000	354491.8	354491.8
valsize	tidesdb 10.0.0	2	valuebytes	256	get	10630894	684	2800	19584	6949414	75.099	0.000	354491.8	354491.8
valsize	tidesdb 10.0.0	2	valuebytes	256	del	2128961	1176	21888	44800	9016846	75.099	0.000	354491.8	354491.8
valsize	tidesdb 10.0.0	2	valuebytes	256	range	2126685	19584	52480	82432	8519778	75.099	0.000	354491.8	354491.8
valsize	tidesdb 10.0.0	2	valuebytes	4096	put	1765908	5600	25216	44288	38616988	75.392	0.000	98043.3	98043.3
valsize	tidesdb 10.0.0	2	valuebytes	4096	get	2940751	2128	9792	22144	19991377	75.392	0.000	98043.3	98043.3
valsize	tidesdb 10.0.0	2	valuebytes	4096	del	588502	2224	18048	34048	6236651	75.392	0.000	98043.3	98043.3
valsize	tidesdb 10.0.0	2	valuebytes	4096	range	587840	124416	199680	254976	20042896	75.392	0.000	98043.3	98043.3
valsize	tidesdb 10.0.0	2	valuebytes	65536	put	265830	23680	42240	58624	10145267	77.975	0.000	14713.5	14713.5
valsize	tidesdb 10.0.0	2	valuebytes	65536	get	441037	12608	20096	28544	2379156	77.975	0.000	14713.5	14713.5
valsize	tidesdb 10.0.0	2	valuebytes	65536	del	88052	5728	17280	21376	139651	77.975	0.000	14713.5	14713.5
valsize	tidesdb 10.0.0	2	valuebytes	65536	range	87924	946176	1236992	1794048	10978612	77.975	0.000	14713.5	14713.5
valsize	tidesdb 10.0.0	2	valuebytes	262144	put	52671	72192	116224	195584	11333706	86.715	0.000	2939.1	2939.1
valsize	tidesdb 10.0.0	2	valuebytes	262144	get	88230	44288	69120	79360	311816	86.715	0.000	2939.1	2939.1
valsize	tidesdb 10.0.0	2	valuebytes	262144	del	17753	8896	22400	26496	61807	86.715	0.000	2939.1	2939.1
valsize	tidesdb 10.0.0	2	valuebytes	262144	range	17712	4358144	5275648	8290304	9952617	86.715	0.000	2939.1	2939.1
valsize	tidesdb 10.0.0	4	valuebytes	256	put	11660739	1640	18816	71168	9653918	75.038	0.000	647567.2	647567.2
valsize	tidesdb 10.0.0	4	valuebytes	256	get	19422192	860	2576	25216	9213018	75.038	0.000	647567.2	647567.2
valsize	tidesdb 10.0.0	4	valuebytes	256	del	3889420	1544	18560	70144	8789529	75.038	0.000	647567.2	647567.2
valsize	tidesdb 10.0.0	4	valuebytes	256	range	3884248	22912	77312	162816	10074753	75.038	0.000	647567.2	647567.2
valsize	tidesdb 10.0.0	4	valuebytes	4096	put	2876956	6816	29312	60672	76257371	75.282	0.000	159734.8	159734.8
valsize	tidesdb 10.0.0	4	valuebytes	4096	get	4792405	2512	11840	26496	41288688	75.282	0.000	159734.8	159734.8
valsize	tidesdb 10.0.0	4	valuebytes	4096	del	957653	1912	17280	39680	1696073	75.282	0.000	159734.8	159734.8
valsize	tidesdb 10.0.0	4	valuebytes	4096	range	957760	156672	292864	411648	76376852	75.282	0.000	159734.8	159734.8
valsize	tidesdb 10.0.0	4	valuebytes	65536	put	369387	26496	55552	77312	21469183	77.095	0.000	20505.3	20505.3
valsize	tidesdb 10.0.0	4	valuebytes	65536	get	615370	15680	28544	39168	2799269	77.095	0.000	20505.3	20505.3
valsize	tidesdb 10.0.0	4	valuebytes	65536	del	122903	4256	20608	25984	137773	77.095	0.000	20505.3	20505.3
valsize	tidesdb 10.0.0	4	valuebytes	65536	range	122771	1286144	1728512	2277376	22831658	77.095	0.000	20505.3	20505.3
valsize	tidesdb 10.0.0	4	valuebytes	262144	put	75779	83456	136192	257024	10094613	84.119	0.000	4224.3	4224.3
valsize	tidesdb 10.0.0	4	valuebytes	262144	get	126577	59648	107008	119296	5093213	84.119	0.000	4224.3	4224.3
valsize	tidesdb 10.0.0	4	valuebytes	262144	del	25604	5472	22144	27264	160920	84.119	0.000	4224.3	4224.3
valsize	tidesdb 10.0.0	4	valuebytes	262144	range	25537	5865472	7503872	10551296	12173492	84.119	0.000	4224.3	4224.3
valsize	tidesdb 10.0.0	8	valuebytes	256	put	17758189	2960	8768	128512	11011448	75.031	0.000	986421.1	986421.1
valsize	tidesdb 10.0.0	8	valuebytes	256	get	29594484	1288	3408	12992	10071803	75.031	0.000	986421.1	986421.1
valsize	tidesdb 10.0.0	8	valuebytes	256	del	5919727	2768	8512	128512	11012997	75.031	0.000	986421.1	986421.1
valsize	tidesdb 10.0.0	8	valuebytes	256	range	5916425	30592	55552	481280	11194685	75.031	0.000	986421.1	986421.1
valsize	tidesdb 10.0.0	8	valuebytes	4096	put	3999908	10944	40704	98816	84626045	75.194	0.000	222110.0	222110.0
valsize	tidesdb 10.0.0	8	valuebytes	4096	get	6662855	3280	16064	32640	45194481	75.194	0.000	222110.0	222110.0
valsize	tidesdb 10.0.0	8	valuebytes	4096	del	1332606	2416	14144	41216	3572324	75.194	0.000	222110.0	222110.0
valsize	tidesdb 10.0.0	8	valuebytes	4096	range	1332093	226304	468992	2179072	85055597	75.194	0.000	222110.0	222110.0
valsize	tidesdb 10.0.0	8	valuebytes	65536	put	430195	31616	77312	132096	23863562	76.799	0.000	23882.6	23882.6
valsize	tidesdb 10.0.0	8	valuebytes	65536	get	716202	26240	46848	58624	12456887	76.799	0.000	23882.6	23882.6
valsize	tidesdb 10.0.0	8	valuebytes	65536	del	143602	5536	23168	31360	74607	76.799	0.000	23882.6	23882.6
valsize	tidesdb 10.0.0	8	valuebytes	65536	range	143113	2113536	2736128	3260416	26008665	76.799	0.000	23882.6	23882.6
valsize	tidesdb 10.0.0	8	valuebytes	262144	put	91316	105984	193536	477184	11862415	82.911	0.000	5089.1	5089.1
valsize	tidesdb 10.0.0	8	valuebytes	262144	get	152612	107008	171008	195584	6826412	82.911	0.000	5089.1	5089.1
valsize	tidesdb 10.0.0	8	valuebytes	262144	del	30825	7072	26240	33536	48379	82.911	0.000	5089.1	5089.1
valsize	tidesdb 10.0.0	8	valuebytes	262144	range	30652	9502720	12255232	15269888	17403074	82.911	0.000	5089.1	5089.1
valsize	tidesdb 10.0.0	16	valuebytes	256	put	17395890	2960	9408	3391488	21496499	75.034	0.000	965987.1	965987.1
valsize	tidesdb 10.0.0	16	valuebytes	256	get	28980934	1320	3568	13504	16857763	75.034	0.000	965987.1	965987.1
valsize	tidesdb 10.0.0	16	valuebytes	256	del	5797555	2768	9280	3424256	19046281	75.034	0.000	965987.1	965987.1
valsize	tidesdb 10.0.0	16	valuebytes	256	range	5793130	32384	87552	5013504	36771973	75.034	0.000	965987.1	965987.1
valsize	tidesdb 10.0.0	16	valuebytes	4096	put	1373527	5920	3489792	3883008	42106807	75.566	0.000	76270.8	76270.8
valsize	tidesdb 10.0.0	16	valuebytes	4096	get	2288155	2512	90624	3653632	21859052	75.566	0.000	76270.8	76270.8
valsize	tidesdb 10.0.0	16	valuebytes	4096	del	457821	1832	14016	101888	714763	75.566	0.000	76270.8	76270.8
valsize	tidesdb 10.0.0	16	valuebytes	4096	range	456892	164864	11862016	17956864	45131966	75.566	0.000	76270.8	76270.8
valsize	tidesdb 10.0.0	16	valuebytes	65536	put	299499	33536	7307264	12386304	30400427	77.584	0.000	16667.3	16667.3
valsize	tidesdb 10.0.0	16	valuebytes	65536	get	499673	18816	1122304	4145152	12576254	77.584	0.000	16667.3	16667.3
valsize	tidesdb 10.0.0	16	valuebytes	65536	del	100280	3888	25216	3817472	12490251	77.584	0.000	16667.3	16667.3
valsize	tidesdb 10.0.0	16	valuebytes	65536	range	100732	4751360	20316160	26345472	40070002	77.584	0.000	16667.3	16667.3
valsize	tidesdb 10.0.0	16	valuebytes	262144	put	86766	119296	8978432	13041664	20082969	83.244	0.000	4839.6	4839.6
valsize	tidesdb 10.0.0	16	valuebytes	262144	get	145324	108032	3194880	4751360	12202185	83.244	0.000	4839.6	4839.6
valsize	tidesdb 10.0.0	16	valuebytes	262144	del	29145	6688	3457024	7962624	12553419	83.244	0.000	4839.6	4839.6
valsize	tidesdb 10.0.0	16	valuebytes	262144	range	29226	18743296	29491200	35389440	52297892	83.244	0.000	4839.6	4839.6
