workload	engine	threads	sweep_param	sweep_value	phase	elapsed_s	metric	value
batch	rocksdb 11.8.1	64	batch	1	seed	0.261	keys_per_s	125340.203
batch	rocksdb 11.8.1	64	batch	1	seed	0.261	seed_keys	32768.000
batch	rocksdb 11.8.1	64	batch	1	seed	0.503	keys_per_s	0.000
batch	rocksdb 11.8.1	64	batch	1	seed	0.503	seed_keys	32768.000
batch	rocksdb 11.8.1	64	batch	1	seed	0.764	keys_per_s	62701.389
batch	rocksdb 11.8.1	64	batch	1	seed	0.764	seed_keys	49152.000
batch	rocksdb 11.8.1	64	batch	1	seed	1.005	keys_per_s	68015.504
batch	rocksdb 11.8.1	64	batch	1	seed	1.005	seed_keys	65536.000
batch	rocksdb 11.8.1	64	batch	1	seed	1.266	keys_per_s	0.000
batch	rocksdb 11.8.1	64	batch	1	seed	1.266	seed_keys	65536.000
batch	rocksdb 11.8.1	64	batch	1	seed	1.508	keys_per_s	67930.031
batch	rocksdb 11.8.1	64	batch	1	seed	1.508	seed_keys	81920.000
batch	rocksdb 11.8.1	64	batch	1	seed	1.769	keys_per_s	9807.874
batch	rocksdb 11.8.1	64	batch	1	seed	1.769	seed_keys	84480.000
batch	rocksdb 11.8.1	64	batch	1	seed	2.010	keys_per_s	57340.474
batch	rocksdb 11.8.1	64	batch	1	seed	2.010	seed_keys	98304.000
batch	rocksdb 11.8.1	64	batch	1	seed	2.251	keys_per_s	67850.581
batch	rocksdb 11.8.1	64	batch	1	seed	2.251	seed_keys	114688.000
batch	rocksdb 11.8.1	64	batch	1	seed	2.513	keys_per_s	31346.567
batch	rocksdb 11.8.1	64	batch	1	seed	2.513	seed_keys	122880.000
batch	rocksdb 11.8.1	64	batch	1	seed	2.754	keys_per_s	33999.976
batch	rocksdb 11.8.1	64	batch	1	seed	2.754	seed_keys	131072.000
batch	rocksdb 11.8.1	64	batch	1	seed	3.015	keys_per_s	62709.564
batch	rocksdb 11.8.1	64	batch	1	seed	3.015	seed_keys	147456.000
batch	rocksdb 11.8.1	64	batch	1	seed	3.256	keys_per_s	67851.760
