workload	engine	threads	sweep_param	sweep_value	op	count	p50_ns	p99_ns	p999_ns	max_ns	hit_rate	err_rate	wu_per_s	ops_per_s
cart	rocksdb 11.8.1	1		1	put	273544	10048	1187840	2277376	2079889591	30.355	0.000	10162.2	10679.4
cart	rocksdb 11.8.1	1		1	get	92070	62208	329728	481280	1402829	30.355	0.000	10162.2	10679.4
cart	rocksdb 11.8.1	1		1	del	92169	4896	1122304	2211840	906588236	30.355	0.000	10162.2	10679.4
cart	rocksdb 11.8.1	1		1	range	182989	87552	468992	749568	64415869	30.355	0.000	10162.2	10679.4
cart	rocksdb 11.8.1	16		1	put	271095	58624	30801920	71827456	3302688269	30.661	0.000	10026.9	10401.7
cart	rocksdb 11.8.1	16		1	get	90511	122368	643072	905216	3801098	30.661	0.000	10026.9	10401.7
cart	rocksdb 11.8.1	16		1	del	82749	52992	30015488	51118080	3302583788	30.661	0.000	10026.9	10401.7
cart	rocksdb 11.8.1	16		1	range	180853	175104	921600	1466368	6808811	30.661	0.000	10026.9	10401.7
cart	rocksdb 11.8.1	64		1	put	232681	626688	98041856	952107008	3181768531	30.734	0.000	8462.5	9815.5
cart	rocksdb 11.8.1	64		1	get	77394	136192	929792	267386880	1356083335	30.734	0.000	8462.5	9815.5
cart	rocksdb 11.8.1	64		1	del	92123	593920	94896128	952107008	3181958981	30.734	0.000	8462.5	9815.5
cart	rocksdb 11.8.1	64		1	range	155005	197632	39059456	608174080	2396799139	30.734	0.000	8462.5	9815.5
