workload	engine	threads	sweep_param	sweep_value	phase	elapsed_s	metric	value
cart	rocksdb 11.8.1	64		1	seed	0.264	keys_per_s	112474.214
cart	rocksdb 11.8.1	64		1	seed	0.264	seed_keys	29696.000
cart	rocksdb 11.8.1	64		1	seed	0.505	keys_per_s	12728.811
cart	rocksdb 11.8.1	64		1	seed	0.505	seed_keys	32768.000
cart	rocksdb 11.8.1	64		1	seed	0.767	keys_per_s	0.000
cart	rocksdb 11.8.1	64		1	seed	0.767	seed_keys	32768.000
cart	rocksdb 11.8.1	64		1	seed	1.008	keys_per_s	67859.168
cart	rocksdb 11.8.1	64		1	seed	1.008	seed_keys	49152.000
cart	rocksdb 11.8.1	64		1	seed	1.270	keys_per_s	0.000
cart	rocksdb 11.8.1	64		1	seed	1.270	seed_keys	49152.000
cart	rocksdb 11.8.1	64		1	seed	1.511	keys_per_s	0.000
cart	rocksdb 11.8.1	64		1	seed	1.511	seed_keys	49152.000
cart	rocksdb 11.8.1	64		1	seed	1.753	keys_per_s	67883.617
cart	rocksdb 11.8.1	64		1	seed	1.753	seed_keys	65536.000
cart	rocksdb 11.8.1	64		1	seed	2.014	keys_per_s	62733.679
cart	rocksdb 11.8.1	64		1	seed	2.014	seed_keys	81920.000
cart	rocksdb 11.8.1	64		1	seed	2.255	keys_per_s	67885.655
cart	rocksdb 11.8.1	64		1	seed	2.255	seed_keys	98304.000
cart	rocksdb 11.8.1	64		1	seed	2.517	keys_per_s	0.000
cart	rocksdb 11.8.1	64		1	seed	2.517	seed_keys	98304.000
cart	rocksdb 11.8.1	64		1	seed	2.758	keys_per_s	67970.193
cart	rocksdb 11.8.1	64		1	seed	2.758	seed_keys	114688.000
cart	rocksdb 11.8.1	64		1	seed	3.019	keys_per_s	0.000
cart	rocksdb 11.8.1	64		1	seed	3.019	seed_keys	114688.000
cart	rocksdb 11.8.1	64		1	seed	3.260	keys_per_s	0.000
cart	rocksdb 11.8.1	64		1	seed	3.260	seed_keys	114688.000
cart	rocksdb 11.8.1	64		1	seed	3.502	keys_per_s	0.000
cart	rocksdb 11.8.1	64		1	seed	3.502	seed_keys	114688.000
cart	rocksdb 11.8.1	64		1	seed	3.764	keys_per_s	0.000
cart	rocksdb 11.8.1	64		1	seed	3.764	seed_keys	114688.000
cart	rocksdb 11.8.1	64		1	seed	4.005	keys_per_s	0.000
cart	rocksdb 11.8.1	64		1	seed	4.005	seed_keys	114688.000
