workload	engine	threads	sweep_param	sweep_value	op	count	p50_ns	p99_ns	p999_ns	max_ns	hit_rate	err_rate	wu_per_s	ops_per_s
mixed	rocksdb 11.8.1	1		1	put	283769	10048	20864	80384	1384958857	96.003	0.000	15735.5	15735.5
mixed	rocksdb 11.8.1	1		1	get	471486	37120	69120	104960	1865581	96.003	0.000	15735.5	15735.5
mixed	rocksdb 11.8.1	1		1	del	94364	4832	11840	22144	412211041	96.003	0.000	15735.5	15735.5
mixed	rocksdb 11.8.1	1		1	range	94521	305152	419840	643072	68326566	96.003	0.000	15735.5	15735.5
mixed	rocksdb 11.8.1	16		1	put	252778	27776	15663104	21364736	2710660263	92.498	0.000	14061.6	14061.6
mixed	rocksdb 11.8.1	16		1	get	422135	122368	700416	1761280	1190091538	92.498	0.000	14061.6	14061.6
mixed	rocksdb 11.8.1	16		1	del	84511	17280	15400960	20578304	2710386299	92.498	0.000	14061.6	14061.6
mixed	rocksdb 11.8.1	16		1	range	84616	864256	4227072	717225984	2756242571	92.498	0.000	14061.6	14061.6
mixed	rocksdb 11.8.1	64		1	put	291716	1531904	91750400	434110464	4199039497	90.861	0.000	16129.2	16129.2
mixed	rocksdb 11.8.1	64		1	get	486117	166912	905216	69730304	1282051086	90.861	0.000	16129.2	16129.2
mixed	rocksdb 11.8.1	64		1	del	96954	1515520	89653248	463470592	4199361388	90.861	0.000	16129.2	16129.2
mixed	rocksdb 11.8.1	64		1	range	97553	1003520	33423360	700448768	2324645763	90.861	0.000	16129.2	16129.2
