workload	engine	threads	sweep_param	sweep_value	phase	elapsed_s	metric	value
mixed	rocksdb 11.8.1	64		1	seed	0.262	keys_per_s	125165.133
mixed	rocksdb 11.8.1	64		1	seed	0.262	seed_keys	32768.000
mixed	rocksdb 11.8.1	64		1	seed	0.503	keys_per_s	67897.342
mixed	rocksdb 11.8.1	64		1	seed	0.503	seed_keys	49152.000
mixed	rocksdb 11.8.1	64		1	seed	0.765	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	0.765	seed_keys	49152.000
mixed	rocksdb 11.8.1	64		1	seed	1.006	keys_per_s	67933.991
mixed	rocksdb 11.8.1	64		1	seed	1.006	seed_keys	65536.000
mixed	rocksdb 11.8.1	64		1	seed	1.267	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	1.267	seed_keys	65536.000
mixed	rocksdb 11.8.1	64		1	seed	1.508	keys_per_s	67972.464
mixed	rocksdb 11.8.1	64		1	seed	1.508	seed_keys	81920.000
mixed	rocksdb 11.8.1	64		1	seed	1.769	keys_per_s	58796.224
mixed	rocksdb 11.8.1	64		1	seed	1.769	seed_keys	97280.000
mixed	rocksdb 11.8.1	64		1	seed	2.011	keys_per_s	4240.984
mixed	rocksdb 11.8.1	64		1	seed	2.011	seed_keys	98304.000
mixed	rocksdb 11.8.1	64		1	seed	2.252	keys_per_s	67885.618
mixed	rocksdb 11.8.1	64		1	seed	2.252	seed_keys	114688.000
mixed	rocksdb 11.8.1	64		1	seed	2.514	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	2.514	seed_keys	114688.000
mixed	rocksdb 11.8.1	64		1	seed	2.755	keys_per_s	68003.743
mixed	rocksdb 11.8.1	64		1	seed	2.755	seed_keys	131072.000
mixed	rocksdb 11.8.1	64		1	seed	3.016	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	3.016	seed_keys	131072.000
mixed	rocksdb 11.8.1	64		1	seed	3.258	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	3.258	seed_keys	131072.000
mixed	rocksdb 11.8.1	64		1	seed	3.519	keys_per_s	62679.659
mixed	rocksdb 11.8.1	64		1	seed	3.519	seed_keys	147456.000
mixed	rocksdb 11.8.1	64		1	seed	3.761	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	3.761	seed_keys	147456.000
mixed	rocksdb 11.8.1	64		1	seed	4.002	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	4.002	seed_keys	147456.000
mixed	rocksdb 11.8.1	64		1	seed	4.263	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	4.263	seed_keys	147456.000
mixed	rocksdb 11.8.1	64		1	seed	4.504	keys_per_s	42459.916
mixed	rocksdb 11.8.1	64		1	seed	4.504	seed_keys	157696.000
mixed	rocksdb 11.8.1	64		1	seed	4.765	keys_per_s	23544.701
mixed	rocksdb 11.8.1	64		1	seed	4.765	seed_keys	163840.000
mixed	rocksdb 11.8.1	64		1	seed	5.007	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	5.007	seed_keys	163840.000
mixed	rocksdb 11.8.1	64		1	seed	5.267	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	5.267	seed_keys	163840.000
mixed	rocksdb 11.8.1	64		1	seed	5.509	keys_per_s	67957.629
mixed	rocksdb 11.8.1	64		1	seed	5.509	seed_keys	180224.000
mixed	rocksdb 11.8.1	64		1	seed	5.770	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	5.770	seed_keys	180224.000
mixed	rocksdb 11.8.1	64		1	seed	6.011	keys_per_s	67982.207
mixed	rocksdb 11.8.1	64		1	seed	6.011	seed_keys	196608.000
mixed	rocksdb 11.8.1	64		1	seed	6.252	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	6.252	seed_keys	196608.000
mixed	rocksdb 11.8.1	64		1	seed	6.513	keys_per_s	62737.721
mixed	rocksdb 11.8.1	64		1	seed	6.513	seed_keys	212992.000
mixed	rocksdb 11.8.1	64		1	seed	6.754	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	6.754	seed_keys	212992.000
mixed	rocksdb 11.8.1	64		1	seed	7.015	keys_per_s	62771.927
mixed	rocksdb 11.8.1	64		1	seed	7.015	seed_keys	229376.000
mixed	rocksdb 11.8.1	64		1	seed	7.256	keys_per_s	8489.357
mixed	rocksdb 11.8.1	64		1	seed	7.256	seed_keys	231424.000
mixed	rocksdb 11.8.1	64		1	seed	7.518	keys_per_s	54896.433
mixed	rocksdb 11.8.1	64		1	seed	7.518	seed_keys	245760.000
mixed	rocksdb 11.8.1	64		1	seed	7.759	keys_per_s	67950.443
mixed	rocksdb 11.8.1	64		1	seed	7.759	seed_keys	262144.000
mixed	rocksdb 11.8.1	64		1	seed	8.020	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	8.020	seed_keys	262144.000
mixed	rocksdb 11.8.1	64		1	seed	8.262	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	8.262	seed_keys	262144.000
mixed	rocksdb 11.8.1	64		1	seed	8.503	keys_per_s	67987.541
mixed	rocksdb 11.8.1	64		1	seed	8.503	seed_keys	278528.000
mixed	rocksdb 11.8.1	64		1	seed	8.764	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	8.764	seed_keys	278528.000
mixed	rocksdb 11.8.1	64		1	seed	9.005	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	9.005	seed_keys	278528.000
mixed	rocksdb 11.8.1	64		1	seed	9.266	keys_per_s	62683.858
mixed	rocksdb 11.8.1	64		1	seed	9.266	seed_keys	294912.000
mixed	rocksdb 11.8.1	64		1	seed	9.507	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	9.507	seed_keys	294912.000
mixed	rocksdb 11.8.1	64		1	seed	9.768	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	9.768	seed_keys	294912.000
mixed	rocksdb 11.8.1	64		1	seed	10.010	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	10.010	seed_keys	294912.000
mixed	rocksdb 11.8.1	64		1	seed	10.251	keys_per_s	68016.405
mixed	rocksdb 11.8.1	64		1	seed	10.251	seed_keys	311296.000
mixed	rocksdb 11.8.1	64		1	seed	10.512	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	10.512	seed_keys	311296.000
mixed	rocksdb 11.8.1	64		1	seed	10.753	keys_per_s	23360.240
mixed	rocksdb 11.8.1	64		1	seed	10.753	seed_keys	316928.000
mixed	rocksdb 11.8.1	64		1	seed	11.014	keys_per_s	41095.331
mixed	rocksdb 11.8.1	64		1	seed	11.014	seed_keys	327680.000
mixed	rocksdb 11.8.1	64		1	seed	11.255	keys_per_s	68007.739
mixed	rocksdb 11.8.1	64		1	seed	11.255	seed_keys	344064.000
mixed	rocksdb 11.8.1	64		1	seed	11.517	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	11.517	seed_keys	344064.000
mixed	rocksdb 11.8.1	64		1	seed	11.758	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	11.758	seed_keys	344064.000
mixed	rocksdb 11.8.1	64		1	seed	12.019	keys_per_s	29393.483
mixed	rocksdb 11.8.1	64		1	seed	12.019	seed_keys	351744.000
mixed	rocksdb 11.8.1	64		1	seed	12.261	keys_per_s	36090.593
mixed	rocksdb 11.8.1	64		1	seed	12.261	seed_keys	360448.000
mixed	rocksdb 11.8.1	64		1	seed	12.502	keys_per_s	0.000
mixed	rocksdb 11.8.1	64		1	seed	12.502	seed_keys	360448.000
mixed	rocksdb 11.8.1	64		1	seed	12.763	keys_per_s	62767.161
mixed	rocksdb 11.8.1	64		1	seed	12.763	seed_keys	376832.000
