workload	engine	threads	sweep_param	sweep_value	phase	elapsed_s	metric	value
scan	rocksdb 11.8.1	64		1	seed	0.261	keys_per_s	125316.414
scan	rocksdb 11.8.1	64		1	seed	0.261	seed_keys	32768.000
scan	rocksdb 11.8.1	64		1	seed	0.503	keys_per_s	0.000
scan	rocksdb 11.8.1	64		1	seed	0.503	seed_keys	32768.000
scan	rocksdb 11.8.1	64		1	seed	0.765	keys_per_s	0.000
scan	rocksdb 11.8.1	64		1	seed	0.765	seed_keys	32768.000
scan	rocksdb 11.8.1	64		1	seed	1.006	keys_per_s	0.000
scan	rocksdb 11.8.1	64		1	seed	1.006	seed_keys	32768.000
scan	rocksdb 11.8.1	64		1	seed	1.267	keys_per_s	41142.727
scan	rocksdb 11.8.1	64		1	seed	1.267	seed_keys	43520.000
scan	rocksdb 11.8.1	64		1	seed	1.509	keys_per_s	23358.034
scan	rocksdb 11.8.1	64		1	seed	1.509	seed_keys	49152.000
scan	rocksdb 11.8.1	64		1	seed	1.770	keys_per_s	1960.659
scan	rocksdb 11.8.1	64		1	seed	1.770	seed_keys	49664.000
scan	rocksdb 11.8.1	64		1	seed	2.011	keys_per_s	65889.403
scan	rocksdb 11.8.1	64		1	seed	2.011	seed_keys	65536.000
scan	rocksdb 11.8.1	64		1	seed	2.252	keys_per_s	38246.456
scan	rocksdb 11.8.1	64		1	seed	2.252	seed_keys	74752.000
scan	rocksdb 11.8.1	64		1	seed	2.513	keys_per_s	27463.405
scan	rocksdb 11.8.1	64		1	seed	2.513	seed_keys	81920.000
scan	rocksdb 11.8.1	64		1	seed	2.753	keys_per_s	0.000
scan	rocksdb 11.8.1	64		1	seed	2.753	seed_keys	81920.000
scan	rocksdb 11.8.1	64		1	seed	3.014	keys_per_s	0.000
scan	rocksdb 11.8.1	64		1	seed	3.014	seed_keys	81920.000
scan	rocksdb 11.8.1	64		1	seed	3.255	keys_per_s	68040.547
scan	rocksdb 11.8.1	64		1	seed	3.255	seed_keys	98304.000
scan	rocksdb 11.8.1	64		1	seed	3.516	keys_per_s	0.000
scan	rocksdb 11.8.1	64		1	seed	3.516	seed_keys	98304.000
scan	rocksdb 11.8.1	64		1	seed	3.757	keys_per_s	0.000
scan	rocksdb 11.8.1	64		1	seed	3.757	seed_keys	98304.000
scan	rocksdb 11.8.1	64		1	seed	4.018	keys_per_s	62828.911
scan	rocksdb 11.8.1	64		1	seed	4.018	seed_keys	114688.000
scan	rocksdb 11.8.1	64		1	seed	4.258	keys_per_s	0.000
scan	rocksdb 11.8.1	64		1	seed	4.258	seed_keys	114688.000
scan	rocksdb 11.8.1	64		1	seed	4.519	keys_per_s	58849.506
scan	rocksdb 11.8.1	64		1	seed	4.519	seed_keys	130048.000
scan	rocksdb 11.8.1	64		1	seed	4.760	keys_per_s	31893.292
scan	rocksdb 11.8.1	64		1	seed	4.760	seed_keys	137728.000
scan	rocksdb 11.8.1	64		1	seed	5.001	keys_per_s	40386.314
scan	rocksdb 11.8.1	64		1	seed	5.001	seed_keys	147456.000
scan	rocksdb 11.8.1	64		1	seed	5.262	keys_per_s	62836.595
scan	rocksdb 11.8.1	64		1	seed	5.262	seed_keys	163840.000
scan	rocksdb 11.8.1	64		1	seed	5.503	keys_per_s	0.000
scan	rocksdb 11.8.1	64		1	seed	5.503	seed_keys	163840.000
scan	rocksdb 11.8.1	64		1	seed	5.764	keys_per_s	0.000
scan	rocksdb 11.8.1	64		1	seed	5.764	seed_keys	163840.000
scan	rocksdb 11.8.1	64		1	seed	6.005	keys_per_s	17002.000
scan	rocksdb 11.8.1	64		1	seed	6.005	seed_keys	167936.000
scan	rocksdb 11.8.1	64		1	seed	6.265	keys_per_s	47130.482
scan	rocksdb 11.8.1	64		1	seed	6.265	seed_keys	180224.000
scan	rocksdb 11.8.1	64		1	seed	6.506	keys_per_s	0.000
scan	rocksdb 11.8.1	64		1	seed	6.506	seed_keys	180224.000
scan	rocksdb 11.8.1	64		1	seed	6.767	keys_per_s	0.000
scan	rocksdb 11.8.1	64		1	seed	6.767	seed_keys	180224.000
scan	rocksdb 11.8.1	64		1	seed	7.008	keys_per_s	67984.676
scan	rocksdb 11.8.1	64		1	seed	7.008	seed_keys	196608.000
scan	rocksdb 11.8.1	64		1	seed	7.269	keys_per_s	29423.952
scan	rocksdb 11.8.1	64		1	seed	7.269	seed_keys	204288.000
scan	rocksdb 11.8.1	64		1	seed	7.510	keys_per_s	36154.981
scan	rocksdb 11.8.1	64		1	seed	7.510	seed_keys	212992.000
scan	rocksdb 11.8.1	64		1	seed	7.751	keys_per_s	68026.628
scan	rocksdb 11.8.1	64		1	seed	7.751	seed_keys	229376.000
scan	rocksdb 11.8.1	64		1	seed	8.012	keys_per_s	62767.837
scan	rocksdb 11.8.1	64		1	seed	8.012	seed_keys	245760.000
scan	rocksdb 11.8.1	64		1	seed	8.253	keys_per_s	53126.639
scan	rocksdb 11.8.1	64		1	seed	8.253	seed_keys	258560.000
scan	rocksdb 11.8.1	64		1	seed	8.513	keys_per_s	13742.702
scan	rocksdb 11.8.1	64		1	seed	8.513	seed_keys	262144.000
scan	rocksdb 11.8.1	64		1	seed	8.754	keys_per_s	0.000
