workload	engine	threads	sweep_param	sweep_value	op	count	p50_ns	p99_ns	p999_ns	max_ns	hit_rate	err_rate	wu_per_s	ops_per_s
valsize	rocksdb 11.8.1	1	valuebytes	256	put	1037282	3312	8768	12736	4814452	74.921	0.000	57624.0	57624.0
valsize	rocksdb 11.8.1	1	valuebytes	256	get	1727837	1496	4384	7456	89114	74.921	0.000	57624.0	57624.0
valsize	rocksdb 11.8.1	1	valuebytes	256	del	346486	3216	7648	10688	4451042	74.921	0.000	57624.0	57624.0
valsize	rocksdb 11.8.1	1	valuebytes	256	range	345900	103936	317440	362496	3508725	74.921	0.000	57624.0	57624.0
valsize	rocksdb 11.8.1	16	valuebytes	256	put	7432915	13632	156672	485376	26637204	74.993	0.000	412893.2	412893.2
valsize	rocksdb 11.8.1	16	valuebytes	256	get	12388136	2448	8384	13248	17448832	74.993	0.000	412893.2	412893.2
valsize	rocksdb 11.8.1	16	valuebytes	256	del	2476474	13248	156672	485376	13598111	74.993	0.000	412893.2	412893.2
valsize	rocksdb 11.8.1	16	valuebytes	256	range	2476964	211968	741376	888832	21353936	74.993	0.000	412893.2	412893.2
valsize	rocksdb 11.8.1	64	valuebytes	256	put	4638371	501760	1318912	1810432	8847941	75.018	0.000	257556.5	257556.5
valsize	rocksdb 11.8.1	64	valuebytes	256	get	7724933	3056	12096	47360	1513170	75.018	0.000	257556.5	257556.5
valsize	rocksdb 11.8.1	64	valuebytes	256	del	1547153	501760	1318912	1810432	8621117	75.018	0.000	257556.5	257556.5
valsize	rocksdb 11.8.1	64	valuebytes	256	range	1544700	207872	700416	921600	6644478	75.018	0.000	257556.5	257556.5
valsize	rocksdb 11.8.1	1	valuebytes	4096	put	450166	8512	16768	55552	24226613	74.925	0.000	24987.4	24987.4
valsize	rocksdb 11.8.1	1	valuebytes	4096	get	748873	5472	19840	24960	1848624	74.925	0.000	24987.4	24987.4
valsize	rocksdb 11.8.1	1	valuebytes	4096	del	149945	3760	9024	14528	1036927	74.925	0.000	24987.4	24987.4
valsize	rocksdb 11.8.1	1	valuebytes	4096	range	150277	280576	481280	569344	26230668	74.925	0.000	24987.4	24987.4
valsize	rocksdb 11.8.1	16	valuebytes	4096	put	1147170	34560	872448	4046848	1382020152	75.029	0.000	63727.9	63727.9
valsize	rocksdb 11.8.1	16	valuebytes	4096	get	1911957	14016	75264	166912	10787228	75.029	0.000	63727.9	63727.9
valsize	rocksdb 11.8.1	16	valuebytes	4096	del	382623	25472	864256	4079616	1381985266	75.029	0.000	63727.9	63727.9
valsize	rocksdb 11.8.1	16	valuebytes	4096	range	382136	1122304	2605056	5275648	81637478	75.029	0.000	63727.9	63727.9
valsize	rocksdb 11.8.1	64	valuebytes	4096	put	1054221	1548288	4177920	246415360	1048791267	74.965	0.000	58547.0	58547.0
valsize	rocksdb 11.8.1	64	valuebytes	4096	get	1755712	14656	88576	741376	5527199	74.965	0.000	58547.0	58547.0
valsize	rocksdb 11.8.1	64	valuebytes	4096	del	351537	1548288	4145152	242221056	1048832046	74.965	0.000	58547.0	58547.0
valsize	rocksdb 11.8.1	64	valuebytes	4096	range	352468	1056768	2637824	5668864	76156870	74.965	0.000	58547.0	58547.0
valsize	rocksdb 11.8.1	1	valuebytes	65536	put	23416	76288	7831552	22413312	2986966414	86.341	0.000	1304.6	1304.6
valsize	rocksdb 11.8.1	1	valuebytes	65536	get	39035	199680	1073152	1695744	2381802	86.341	0.000	1304.6	1304.6
valsize	rocksdb 11.8.1	1	valuebytes	65536	del	7957	6560	7503872	27656192	1936924844	86.341	0.000	1304.6	1304.6
valsize	rocksdb 11.8.1	1	valuebytes	65536	range	7873	2342912	8585216	12255232	13123398	86.341	0.000	1304.6	1304.6
valsize	rocksdb 11.8.1	16	valuebytes	65536	put	20549	610304	459276288	2600468480	3061026786	80.380	0.000	1135.7	1135.7
valsize	rocksdb 11.8.1	16	valuebytes	65536	get	34143	987136	2506752	5734400	16616325	80.380	0.000	1135.7	1135.7
valsize	rocksdb 11.8.1	16	valuebytes	65536	del	6907	362496	450887680	2634022912	3060673489	80.380	0.000	1135.7	1135.7
valsize	rocksdb 11.8.1	16	valuebytes	65536	range	6820	12910592	20316160	27918336	575501102	80.380	0.000	1135.7	1135.7
valsize	rocksdb 11.8.1	64	valuebytes	65536	put	20923	27394048	1971322880	2667577344	2673086335	78.254	0.000	1153.6	1153.6
valsize	rocksdb 11.8.1	64	valuebytes	65536	get	35332	897024	3031040	10682368	20541237	78.254	0.000	1153.6	1153.6
valsize	rocksdb 11.8.1	64	valuebytes	65536	del	7050	1384448	116916224	1988100096	2651939945	78.254	0.000	1153.6	1153.6
valsize	rocksdb 11.8.1	64	valuebytes	65536	range	7092	11993088	26869760	38535168	682715642	78.254	0.000	1153.6	1153.6
valsize	rocksdb 11.8.1	1	valuebytes	262144	put	5322	259072	41680896	817889280	2480970806	95.613	0.000	296.9	296.9
valsize	rocksdb 11.8.1	1	valuebytes	262144	get	8951	741376	4358144	5406720	6689826	95.613	0.000	296.9	296.9
valsize	rocksdb 11.8.1	1	valuebytes	262144	del	1851	9024	42205184	287309824	3472318581	95.613	0.000	296.9	296.9
valsize	rocksdb 11.8.1	1	valuebytes	262144	range	1816	6258688	20840448	23199744	23825002	95.613	0.000	296.9	296.9
valsize	rocksdb 11.8.1	16	valuebytes	262144	put	5540	2998272	1702887424	2734686208	2778012019	92.395	0.000	303.7	303.7
valsize	rocksdb 11.8.1	16	valuebytes	262144	get	9349	4751360	14483456	25296896	34755199	92.395	0.000	303.7	303.7
valsize	rocksdb 11.8.1	16	valuebytes	262144	del	1855	1269760	1635778560	2768240640	2777749185	92.395	0.000	303.7	303.7
valsize	rocksdb 11.8.1	16	valuebytes	262144	range	1849	46399488	73924608	88604672	96733096	92.395	0.000	303.7	303.7
valsize	rocksdb 11.8.1	64	valuebytes	262144	put	4610	96993280	6408896512	6811549696	7372784878	90.480	0.000	234.6	234.6
valsize	rocksdb 11.8.1	64	valuebytes	262144	get	7719	4751360	33161216	60555264	998489468	90.480	0.000	234.6	234.6
valsize	rocksdb 11.8.1	64	valuebytes	262144	del	1535	12910592	2264924160	2868903936	2882560958	90.480	0.000	234.6	234.6
valsize	rocksdb 11.8.1	64	valuebytes	262144	range	1536	59506688	187695104	233832448	838272538	90.480	0.000	234.6	234.6
