workload	engine	threads	sweep_param	sweep_value	phase	elapsed_s	metric	value
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	wu_per_s	146679.295
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	ops_per_s	146679.295
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	num-immutable-mem-table	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	mem-table-flush-pending	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	compaction-pending	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	background-errors	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	cur-size-active-mem-table	27265024.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	cur-size-all-mem-tables	27265024.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	size-all-mem-tables	27265024.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	num-entries-active-mem-table	100228.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	num-entries-imm-mem-tables	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	num-deletes-active-mem-table	14771.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	num-deletes-imm-mem-tables	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	estimate-num-keys	70686.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	estimate-table-readers-mem	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	num-snapshots	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	num-live-versions	1.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	estimate-live-data-size	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	total-sst-files-size	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	live-sst-files-size	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	estimate-pending-compaction-bytes	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	num-running-compactions	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	num-running-flushes	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	actual-delayed-write-rate	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	is-write-stopped	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	block-cache-capacity	33554432.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	block-cache-usage	4096.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	block-cache-pinned-usage	64.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	num-immutable-mem-table-flushed	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	num-running-compaction-sorted-runs	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	base-level	6.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	current-super-version-number	1.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	is-file-deletions-enabled	1.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	min-log-number-to-keep	0.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	min-obsolete-sst-number-to-keep	18446744073709551616.000
valsize	rocksdb 11.8.1	1	valuebytes	256	run	1.008	obsolete-sst-files-size	0.000
