workload	engine	threads	sweep_param	sweep_value	op	count	p50_ns	p99_ns	p999_ns	max_ns	hit_rate	err_rate	wu_per_s	ops_per_s
batch	tidesdb 10.0.0	1	batch	1	mget	1603543	6624	33536	49408	418055185	100.000	0.000	44572.6	44572.6
batch	tidesdb 10.0.0	1	batch	1	mput	1070895	5024	33536	12648448	615492999	100.000	0.000	44572.6	44572.6
batch	tidesdb 10.0.0	16	batch	1	mget	1454170	34048	136192	313344	304494447	100.000	0.000	40391.8	40391.8
batch	tidesdb 10.0.0	16	batch	1	mput	970197	93696	32636928	65798144	326721655	100.000	0.000	40391.8	40391.8
batch	tidesdb 10.0.0	64	batch	1	mget	1438445	43264	8454144	131596288	602910202	100.000	0.000	39938.4	39938.4
batch	tidesdb 10.0.0	64	batch	1	mput	958843	60672	62128128	170917888	1305038442	100.000	0.000	39938.4	39938.4
batch	tidesdb 10.0.0	1	batch	64	mget	912	25034752	616562688	1468006400	2338057311	100.000	0.000	25.1	1607.5
batch	tidesdb 10.0.0	1	batch	64	mput	597	399360	2007040	36438016	36877629	100.000	0.000	25.1	1607.5
batch	tidesdb 10.0.0	16	batch	64	mget	39738	3915776	450887680	1182793728	2409783018	100.000	0.000	1085.8	69492.6
batch	tidesdb 10.0.0	16	batch	64	mput	26190	593920	5537792	70778880	251620793	100.000	0.000	1085.8	69492.6
batch	tidesdb 10.0.0	64	batch	64	mget	387084	1908736	47448064	80216064	170269283	100.000	0.000	10735.9	687100.2
batch	tidesdb 10.0.0	64	batch	64	mput	258383	76288	82313216	129499136	263824761	100.000	0.000	10735.9	687100.2
batch	tidesdb 10.0.0	1	batch	256	mget	11469	4816896	7045120	8585216	12149059	100.000	0.000	318.9	81628.2
batch	tidesdb 10.0.0	1	batch	256	mput	7664	126464	201728	337920	4733170	100.000	0.000	318.9	81628.2
batch	tidesdb 10.0.0	16	batch	256	mget	115080	7438336	10682368	21626880	50200600	100.000	0.000	3194.9	817896.9
batch	tidesdb 10.0.0	16	batch	256	mput	76646	236544	790528	6848512	23131928	100.000	0.000	3194.9	817896.9
batch	tidesdb 10.0.0	64	batch	256	mget	98131	21626880	101187584	143654912	243156217	100.000	0.000	2727.9	698347.5
batch	tidesdb 10.0.0	64	batch	256	mput	65768	268288	109576192	162529280	284585706	100.000	0.000	2727.9	698347.5
