workload	engine	threads	sweep_param	sweep_value	phase	elapsed_s	metric	value
batch	tidesdb 10.0.0	64	batch	1	seed	0.261	keys_per_s	358608.301
batch	tidesdb 10.0.0	64	batch	1	seed	0.261	seed_keys	93696.000
batch	tidesdb 10.0.0	64	batch	1	seed	0.502	keys_per_s	348649.632
batch	tidesdb 10.0.0	64	batch	1	seed	0.502	seed_keys	177664.000
batch	tidesdb 10.0.0	64	batch	1	seed	0.763	keys_per_s	316115.116
batch	tidesdb 10.0.0	64	batch	1	seed	0.763	seed_keys	260096.000
batch	tidesdb 10.0.0	64	batch	1	seed	1.004	keys_per_s	344572.428
batch	tidesdb 10.0.0	64	batch	1	seed	1.004	seed_keys	343040.000
batch	tidesdb 10.0.0	64	batch	1	seed	1.264	keys_per_s	367186.019
batch	tidesdb 10.0.0	64	batch	1	seed	1.264	seed_keys	438784.000
batch	tidesdb 10.0.0	64	batch	1	seed	1.505	keys_per_s	365870.636
batch	tidesdb 10.0.0	64	batch	1	seed	1.505	seed_keys	526848.000
batch	tidesdb 10.0.0	64	batch	1	seed	1.766	keys_per_s	284731.610
batch	tidesdb 10.0.0	64	batch	1	seed	1.766	seed_keys	601088.000
batch	tidesdb 10.0.0	64	batch	1	seed	2.006	keys_per_s	280801.460
batch	tidesdb 10.0.0	64	batch	1	seed	2.006	seed_keys	668672.000
batch	tidesdb 10.0.0	64	batch	1	seed	2.267	keys_per_s	361292.103
batch	tidesdb 10.0.0	64	batch	1	seed	2.267	seed_keys	762880.000
batch	tidesdb 10.0.0	64	batch	1	seed	2.508	keys_per_s	331843.762
batch	tidesdb 10.0.0	64	batch	1	seed	2.508	seed_keys	842752.000
batch	tidesdb 10.0.0	64	batch	1	seed	2.769	keys_per_s	404500.726
batch	tidesdb 10.0.0	64	batch	1	seed	2.769	seed_keys	948224.000
batch	tidesdb 10.0.0	64	batch	1	seed	3.009	keys_per_s	353147.964
batch	tidesdb 10.0.0	64	batch	1	seed	3.009	seed_keys	1033216.000
batch	tidesdb 10.0.0	64	batch	1	seed	3.250	keys_per_s	276547.219
batch	tidesdb 10.0.0	64	batch	1	seed	3.250	seed_keys	1099776.000
batch	tidesdb 10.0.0	64	batch	1	seed	3.511	keys_per_s	269020.385
batch	tidesdb 10.0.0	64	batch	1	seed	3.511	seed_keys	1169920.000
batch	tidesdb 10.0.0	64	batch	1	seed	3.751	keys_per_s	361635.798
batch	tidesdb 10.0.0	64	batch	1	seed	3.751	seed_keys	1256960.000
batch	tidesdb 10.0.0	64	batch	1	seed	4.012	keys_per_s	396632.255
batch	tidesdb 10.0.0	64	batch	1	seed	4.012	seed_keys	1360384.000
batch	tidesdb 10.0.0	64	batch	1	seed	4.253	keys_per_s	402035.880
batch	tidesdb 10.0.0	64	batch	1	seed	4.253	seed_keys	1457152.000
batch	tidesdb 10.0.0	64	batch	1	seed	4.514	keys_per_s	384856.169
batch	tidesdb 10.0.0	64	batch	1	seed	4.514	seed_keys	1557504.000
batch	tidesdb 10.0.0	64	batch	1	seed	4.754	keys_per_s	240362.848
batch	tidesdb 10.0.0	64	batch	1	seed	4.754	seed_keys	1615360.000
batch	tidesdb 10.0.0	64	batch	1	seed	5.015	keys_per_s	341677.877
batch	tidesdb 10.0.0	64	batch	1	seed	5.015	seed_keys	1704448.000
batch	tidesdb 10.0.0	64	batch	1	seed	5.256	keys_per_s	263700.413
batch	tidesdb 10.0.0	64	batch	1	seed	5.256	seed_keys	1767936.000
batch	tidesdb 10.0.0	64	batch	1	seed	5.517	keys_per_s	188507.064
batch	tidesdb 10.0.0	64	batch	1	seed	5.517	seed_keys	1817088.000
batch	tidesdb 10.0.0	64	batch	1	seed	5.757	keys_per_s	70192.779
batch	tidesdb 10.0.0	64	batch	1	seed	5.757	seed_keys	1833984.000
batch	tidesdb 10.0.0	64	batch	1	seed	6.018	keys_per_s	68691.616
batch	tidesdb 10.0.0	64	batch	1	seed	6.018	seed_keys	1851904.000
batch	tidesdb 10.0.0	64	batch	1	seed	6.267	keys_per_s	57657.042
batch	tidesdb 10.0.0	64	batch	1	seed	6.267	seed_keys	1866240.000
batch	tidesdb 10.0.0	64	batch	1	seed	6.508	keys_per_s	46685.911
batch	tidesdb 10.0.0	64	batch	1	seed	6.508	seed_keys	1877504.000
batch	tidesdb 10.0.0	64	batch	1	seed	6.769	keys_per_s	29409.814
batch	tidesdb 10.0.0	64	batch	1	seed	6.769	seed_keys	1885184.000
batch	tidesdb 10.0.0	64	batch	1	seed	7.010	keys_per_s	40367.326
batch	tidesdb 10.0.0	64	batch	1	seed	7.010	seed_keys	1894912.000
batch	tidesdb 10.0.0	64	batch	1	seed	7.251	keys_per_s	27601.105
batch	tidesdb 10.0.0	64	batch	1	seed	7.251	seed_keys	1901568.000
batch	tidesdb 10.0.0	64	batch	1	seed	7.512	keys_per_s	19619.184
batch	tidesdb 10.0.0	64	batch	1	seed	7.512	seed_keys	1906688.000
batch	tidesdb 10.0.0	64	batch	1	seed	7.770	keys_per_s	19878.817
batch	tidesdb 10.0.0	64	batch	1	seed	7.770	seed_keys	1911808.000
batch	tidesdb 10.0.0	64	batch	1	seed	8.011	keys_per_s	21190.478
batch	tidesdb 10.0.0	64	batch	1	seed	8.011	seed_keys	1916928.000
batch	tidesdb 10.0.0	64	batch	1	seed	8.253	keys_per_s	23349.675
batch	tidesdb 10.0.0	64	batch	1	seed	8.253	seed_keys	1922560.000
batch	tidesdb 10.0.0	64	batch	1	seed	8.514	keys_per_s	19591.439
batch	tidesdb 10.0.0	64	batch	1	seed	8.514	seed_keys	1927680.000
batch	tidesdb 10.0.0	64	batch	1	seed	8.755	keys_per_s	8490.694
batch	tidesdb 10.0.0	64	batch	1	seed	8.755	seed_keys	1929728.000
batch	tidesdb 10.0.0	64	batch	1	seed	9.017	keys_per_s	11747.557
batch	tidesdb 10.0.0	64	batch	1	seed	9.017	seed_keys	1932800.000
batch	tidesdb 10.0.0	64	batch	1	seed	9.258	keys_per_s	10617.980
batch	tidesdb 10.0.0	64	batch	1	seed	9.258	seed_keys	1935360.000
batch	tidesdb 10.0.0	64	batch	1	seed	9.519	keys_per_s	11758.855
batch	tidesdb 10.0.0	64	batch	1	seed	9.519	seed_keys	1938432.000
batch	tidesdb 10.0.0	64	batch	1	seed	9.760	keys_per_s	14861.735
batch	tidesdb 10.0.0	64	batch	1	seed	9.760	seed_keys	1942016.000
batch	tidesdb 10.0.0	64	batch	1	seed	10.001	keys_per_s	6376.978
batch	tidesdb 10.0.0	64	batch	1	seed	10.001	seed_keys	1943552.000
batch	tidesdb 10.0.0	64	batch	1	seed	10.262	keys_per_s	3924.219
batch	tidesdb 10.0.0	64	batch	1	seed	10.262	seed_keys	1944576.000
batch	tidesdb 10.0.0	64	batch	1	seed	10.503	keys_per_s	6373.727
batch	tidesdb 10.0.0	64	batch	1	seed	10.503	seed_keys	1946112.000
batch	tidesdb 10.0.0	64	batch	1	seed	10.764	keys_per_s	3921.164
batch	tidesdb 10.0.0	64	batch	1	seed	10.764	seed_keys	1947136.000
batch	tidesdb 10.0.0	64	batch	1	seed	11.006	keys_per_s	10598.795
batch	tidesdb 10.0.0	64	batch	1	seed	11.006	seed_keys	1949696.000
batch	tidesdb 10.0.0	64	batch	1	seed	11.267	keys_per_s	13708.995
batch	tidesdb 10.0.0	64	batch	1	seed	11.267	seed_keys	1953280.000
batch	tidesdb 10.0.0	64	batch	1	seed	11.508	keys_per_s	10611.525
batch	tidesdb 10.0.0	64	batch	1	seed	11.508	seed_keys	1955840.000
batch	tidesdb 10.0.0	64	batch	1	seed	11.770	keys_per_s	7840.252
batch	tidesdb 10.0.0	64	batch	1	seed	11.770	seed_keys	1957888.000
batch	tidesdb 10.0.0	64	batch	1	seed	12.011	keys_per_s	12749.843
batch	tidesdb 10.0.0	64	batch	1	seed	12.011	seed_keys	1960960.000
batch	tidesdb 10.0.0	64	batch	1	seed	12.252	keys_per_s	8499.894
batch	tidesdb 10.0.0	64	batch	1	seed	12.252	seed_keys	1963008.000
batch	tidesdb 10.0.0	64	batch	1	seed	12.513	keys_per_s	17646.956
batch	tidesdb 10.0.0	64	batch	1	seed	12.513	seed_keys	1967616.000
batch	tidesdb 10.0.0	64	batch	1	seed	12.754	keys_per_s	16975.724
batch	tidesdb 10.0.0	64	batch	1	seed	12.754	seed_keys	1971712.000
batch	tidesdb 10.0.0	64	batch	1	seed	13.015	keys_per_s	15669.829
batch	tidesdb 10.0.0	64	batch	1	seed	13.015	seed_keys	1975808.000
batch	tidesdb 10.0.0	64	batch	1	seed	13.256	keys_per_s	14869.963
batch	tidesdb 10.0.0	64	batch	1	seed	13.256	seed_keys	1979392.000
batch	tidesdb 10.0.0	64	batch	1	seed	13.517	keys_per_s	27470.663
batch	tidesdb 10.0.0	64	batch	1	seed	13.517	seed_keys	1986560.000
batch	tidesdb 10.0.0	64	batch	1	seed	13.758	keys_per_s	21257.046
batch	tidesdb 10.0.0	64	batch	1	seed	13.758	seed_keys	1991680.000
batch	tidesdb 10.0.0	64	batch	1	seed	14.019	keys_per_s	23523.879
batch	tidesdb 10.0.0	64	batch	1	seed	14.019	seed_keys	1997824.000
batch	tidesdb 10.0.0	64	batch	1	seed	14.261	keys_per_s	19101.932
batch	tidesdb 10.0.0	64	batch	1	seed	14.261	seed_keys	2002432.000
batch	tidesdb 10.0.0	64	batch	1	seed	14.501	keys_per_s	17003.275
batch	tidesdb 10.0.0	64	batch	1	seed	14.501	seed_keys	2006528.000
batch	tidesdb 10.0.0	64	batch	1	seed	14.762	keys_per_s	25505.671
batch	tidesdb 10.0.0	64	batch	1	seed	14.762	seed_keys	2013184.000
batch	tidesdb 10.0.0	64	batch	1	seed	15.003	keys_per_s	36103.444
batch	tidesdb 10.0.0	64	batch	1	seed	15.003	seed_keys	2021888.000
batch	tidesdb 10.0.0	64	batch	1	seed	15.265	keys_per_s	27420.947
batch	tidesdb 10.0.0	64	batch	1	seed	15.265	seed_keys	2029056.000
batch	tidesdb 10.0.0	64	batch	1	seed	15.506	keys_per_s	17006.296
batch	tidesdb 10.0.0	64	batch	1	seed	15.506	seed_keys	2033152.000
batch	tidesdb 10.0.0	64	batch	1	seed	15.768	keys_per_s	33152.195
batch	tidesdb 10.0.0	64	batch	1	seed	15.768	seed_keys	2041856.000
batch	tidesdb 10.0.0	64	batch	1	seed	16.009	keys_per_s	31886.044
batch	tidesdb 10.0.0	64	batch	1	seed	16.009	seed_keys	2049536.000
batch	tidesdb 10.0.0	64	batch	1	seed	16.250	keys_per_s	34008.996
batch	tidesdb 10.0.0	64	batch	1	seed	16.250	seed_keys	2057728.000
batch	tidesdb 10.0.0	64	batch	1	seed	16.511	keys_per_s	33368.923
batch	tidesdb 10.0.0	64	batch	1	seed	16.511	seed_keys	2066432.000
