workload	engine	threads	sweep_param	sweep_value	op	count	p50_ns	p99_ns	p999_ns	max_ns	hit_rate	err_rate	wu_per_s	ops_per_s
cart	tidesdb 10.0.0	1		1	put	1617874	5408	15040	62720	1431119605	31.227	0.000	59926.2	68944.2
cart	tidesdb 10.0.0	1		1	get	539973	2800	13376	23168	200037	31.227	0.000	59926.2	68944.2
cart	tidesdb 10.0.0	1		1	del	901386	1688	5024	12352	356879	31.227	0.000	59926.2	68944.2
cart	tidesdb 10.0.0	1		1	range	1077464	26752	54016	86528	321530840	31.227	0.000	59926.2	68944.2
cart	tidesdb 10.0.0	16		1	put	946782	55552	29753344	49545216	617036133	31.984	0.000	35096.2	38961.6
cart	tidesdb 10.0.0	16		1	get	316135	30592	152576	407552	5038589	31.984	0.000	35096.2	38961.6
cart	tidesdb 10.0.0	16		1	del	443002	6816	52992	301056	4066879	31.984	0.000	35096.2	38961.6
cart	tidesdb 10.0.0	16		1	range	632725	209920	782336	1335296	620516667	31.984	0.000	35096.2	38961.6
cart	tidesdb 10.0.0	64		1	put	1020689	35072	51642368	112721920	726941633	32.235	0.000	37798.7	42308.2
cart	tidesdb 10.0.0	64		1	get	340184	41728	301056	56360960	941411654	32.235	0.000	37798.7	42308.2
cart	tidesdb 10.0.0	64		1	del	486366	5216	38144	399360	13400527	32.235	0.000	37798.7	42308.2
cart	tidesdb 10.0.0	64		1	range	681537	197632	70778880	362807296	1772928206	32.235	0.000	37798.7	42308.2
