workload	engine	threads	sweep_param	sweep_value	phase	elapsed_s	metric	value
cart	tidesdb 10.0.0	64		1	seed	0.263	keys_per_s	455365.531
cart	tidesdb 10.0.0	64		1	seed	0.263	seed_keys	119808.000
cart	tidesdb 10.0.0	64		1	seed	0.504	keys_per_s	461442.842
cart	tidesdb 10.0.0	64		1	seed	0.504	seed_keys	230912.000
cart	tidesdb 10.0.0	64		1	seed	0.765	keys_per_s	485058.572
cart	tidesdb 10.0.0	64		1	seed	0.765	seed_keys	357376.000
cart	tidesdb 10.0.0	64		1	seed	1.005	keys_per_s	427513.310
cart	tidesdb 10.0.0	64		1	seed	1.005	seed_keys	460288.000
cart	tidesdb 10.0.0	64		1	seed	1.266	keys_per_s	451633.089
cart	tidesdb 10.0.0	64		1	seed	1.266	seed_keys	578048.000
cart	tidesdb 10.0.0	64		1	seed	1.507	keys_per_s	340371.523
cart	tidesdb 10.0.0	64		1	seed	1.507	seed_keys	659968.000
cart	tidesdb 10.0.0	64		1	seed	1.767	keys_per_s	339716.554
cart	tidesdb 10.0.0	64		1	seed	1.767	seed_keys	748544.000
cart	tidesdb 10.0.0	64		1	seed	2.008	keys_per_s	465847.300
cart	tidesdb 10.0.0	64		1	seed	2.008	seed_keys	860672.000
cart	tidesdb 10.0.0	64		1	seed	2.269	keys_per_s	390822.253
cart	tidesdb 10.0.0	64		1	seed	2.269	seed_keys	962560.000
cart	tidesdb 10.0.0	64		1	seed	2.510	keys_per_s	470102.162
cart	tidesdb 10.0.0	64		1	seed	2.510	seed_keys	1075712.000
cart	tidesdb 10.0.0	64		1	seed	2.750	keys_per_s	450973.749
cart	tidesdb 10.0.0	64		1	seed	2.750	seed_keys	1184256.000
cart	tidesdb 10.0.0	64		1	seed	3.011	keys_per_s	437886.834
cart	tidesdb 10.0.0	64		1	seed	3.011	seed_keys	1298432.000
cart	tidesdb 10.0.0	64		1	seed	3.252	keys_per_s	442441.331
cart	tidesdb 10.0.0	64		1	seed	3.252	seed_keys	1404928.000
cart	tidesdb 10.0.0	64		1	seed	3.512	keys_per_s	430055.158
cart	tidesdb 10.0.0	64		1	seed	3.512	seed_keys	1517056.000
cart	tidesdb 10.0.0	64		1	seed	3.753	keys_per_s	429696.261
