workload	engine	threads	sweep_param	sweep_value	op	count	p50_ns	p99_ns	p999_ns	max_ns	hit_rate	err_rate	wu_per_s	ops_per_s
mixed	tidesdb 10.0.0	1		1	put	573538	5600	16192	66048	430512964	95.314	0.000	31835.3	31835.3
mixed	tidesdb 10.0.0	1		1	get	953688	7008	17024	23168	521891	95.314	0.000	31835.3	31835.3
mixed	tidesdb 10.0.0	1		1	del	191180	2736	7648	15936	293889	95.314	0.000	31835.3	31835.3
mixed	tidesdb 10.0.0	1		1	range	191728	179200	259072	337920	485999941	95.314	0.000	31835.3	31835.3
mixed	tidesdb 10.0.0	16		1	put	585004	86528	29753344	46399488	1662930558	81.622	0.000	32521.0	32521.0
mixed	tidesdb 10.0.0	16		1	get	975964	26752	117248	460800	216030318	81.622	0.000	32521.0	32521.0
mixed	tidesdb 10.0.0	16		1	del	194983	6944	39680	152576	1763462	81.622	0.000	32521.0	32521.0
mixed	tidesdb 10.0.0	16		1	range	195507	577536	2506752	3653632	782893989	81.622	0.000	32521.0	32521.0
mixed	tidesdb 10.0.0	64		1	put	1150662	45824	49020928	156237824	1138249083	79.330	0.000	63857.5	63857.5
mixed	tidesdb 10.0.0	64		1	get	1917717	39680	154624	602112	572157386	79.330	0.000	63857.5	63857.5
mixed	tidesdb 10.0.0	64		1	del	383004	6816	37120	250880	3153971	79.330	0.000	63857.5	63857.5
mixed	tidesdb 10.0.0	64		1	range	384321	618496	2736128	4177920	1318556940	79.330	0.000	63857.5	63857.5
