workload	engine	threads	sweep_param	sweep_value	phase	elapsed_s	metric	value
mixed	tidesdb 10.0.0	64		1	seed	0.261	keys_per_s	389761.090
mixed	tidesdb 10.0.0	64		1	seed	0.261	seed_keys	101888.000
mixed	tidesdb 10.0.0	64		1	seed	0.502	keys_per_s	406108.508
mixed	tidesdb 10.0.0	64		1	seed	0.502	seed_keys	199680.000
mixed	tidesdb 10.0.0	64		1	seed	0.763	keys_per_s	428095.841
mixed	tidesdb 10.0.0	64		1	seed	0.763	seed_keys	311296.000
mixed	tidesdb 10.0.0	64		1	seed	1.004	keys_per_s	384991.372
mixed	tidesdb 10.0.0	64		1	seed	1.004	seed_keys	403968.000
mixed	tidesdb 10.0.0	64		1	seed	1.264	keys_per_s	406554.459
mixed	tidesdb 10.0.0	64		1	seed	1.264	seed_keys	509952.000
mixed	tidesdb 10.0.0	64		1	seed	1.505	keys_per_s	278675.191
mixed	tidesdb 10.0.0	64		1	seed	1.505	seed_keys	577024.000
mixed	tidesdb 10.0.0	64		1	seed	1.766	keys_per_s	286701.519
mixed	tidesdb 10.0.0	64		1	seed	1.766	seed_keys	651776.000
mixed	tidesdb 10.0.0	64		1	seed	2.006	keys_per_s	342490.929
mixed	tidesdb 10.0.0	64		1	seed	2.006	seed_keys	734208.000
mixed	tidesdb 10.0.0	64		1	seed	2.267	keys_per_s	353483.039
mixed	tidesdb 10.0.0	64		1	seed	2.267	seed_keys	826368.000
mixed	tidesdb 10.0.0	64		1	seed	2.508	keys_per_s	419061.704
mixed	tidesdb 10.0.0	64		1	seed	2.508	seed_keys	927232.000
mixed	tidesdb 10.0.0	64		1	seed	2.769	keys_per_s	375081.182
mixed	tidesdb 10.0.0	64		1	seed	2.769	seed_keys	1025024.000
mixed	tidesdb 10.0.0	64		1	seed	3.009	keys_per_s	282923.597
mixed	tidesdb 10.0.0	64		1	seed	3.009	seed_keys	1093120.000
mixed	tidesdb 10.0.0	64		1	seed	3.270	keys_per_s	278847.848
mixed	tidesdb 10.0.0	64		1	seed	3.270	seed_keys	1165824.000
mixed	tidesdb 10.0.0	64		1	seed	3.511	keys_per_s	361632.814
mixed	tidesdb 10.0.0	64		1	seed	3.511	seed_keys	1252864.000
mixed	tidesdb 10.0.0	64		1	seed	3.751	keys_per_s	408427.683
mixed	tidesdb 10.0.0	64		1	seed	3.751	seed_keys	1351168.000
mixed	tidesdb 10.0.0	64		1	seed	4.012	keys_per_s	400578.312
mixed	tidesdb 10.0.0	64		1	seed	4.012	seed_keys	1455616.000
mixed	tidesdb 10.0.0	64		1	seed	4.253	keys_per_s	391388.298
mixed	tidesdb 10.0.0	64		1	seed	4.253	seed_keys	1549824.000
mixed	tidesdb 10.0.0	64		1	seed	4.514	keys_per_s	261120.944
mixed	tidesdb 10.0.0	64		1	seed	4.514	seed_keys	1617920.000
mixed	tidesdb 10.0.0	64		1	seed	4.754	keys_per_s	376522.466
mixed	tidesdb 10.0.0	64		1	seed	4.754	seed_keys	1708544.000
mixed	tidesdb 10.0.0	64		1	seed	5.015	keys_per_s	359338.962
mixed	tidesdb 10.0.0	64		1	seed	5.015	seed_keys	1802240.000
