workload	engine	threads	sweep_param	sweep_value	phase	elapsed_s	metric	value
scan	tidesdb 10.0.0	64		1	seed	0.263	keys_per_s	379951.091
scan	tidesdb 10.0.0	64		1	seed	0.263	seed_keys	99840.000
scan	tidesdb 10.0.0	64		1	seed	0.504	keys_per_s	393409.143
scan	tidesdb 10.0.0	64		1	seed	0.504	seed_keys	194560.000
scan	tidesdb 10.0.0	64		1	seed	0.764	keys_per_s	414313.709
scan	tidesdb 10.0.0	64		1	seed	0.764	seed_keys	302592.000
scan	tidesdb 10.0.0	64		1	seed	1.005	keys_per_s	365887.652
scan	tidesdb 10.0.0	64		1	seed	1.005	seed_keys	390656.000
scan	tidesdb 10.0.0	64		1	seed	1.266	keys_per_s	420208.078
scan	tidesdb 10.0.0	64		1	seed	1.266	seed_keys	500224.000
scan	tidesdb 10.0.0	64		1	seed	1.506	keys_per_s	291475.574
scan	tidesdb 10.0.0	64		1	seed	1.506	seed_keys	570368.000
scan	tidesdb 10.0.0	64		1	seed	1.767	keys_per_s	284741.933
scan	tidesdb 10.0.0	64		1	seed	1.767	seed_keys	644608.000
scan	tidesdb 10.0.0	64		1	seed	2.008	keys_per_s	344619.278
scan	tidesdb 10.0.0	64		1	seed	2.008	seed_keys	727552.000
scan	tidesdb 10.0.0	64		1	seed	2.269	keys_per_s	345555.642
scan	tidesdb 10.0.0	64		1	seed	2.269	seed_keys	817664.000
scan	tidesdb 10.0.0	64		1	seed	2.509	keys_per_s	416999.416
scan	tidesdb 10.0.0	64		1	seed	2.509	seed_keys	918016.000
scan	tidesdb 10.0.0	64		1	seed	2.770	keys_per_s	388782.211
scan	tidesdb 10.0.0	64		1	seed	2.770	seed_keys	1019392.000
scan	tidesdb 10.0.0	64		1	seed	3.011	keys_per_s	280865.558
scan	tidesdb 10.0.0	64		1	seed	3.011	seed_keys	1086976.000
scan	tidesdb 10.0.0	64		1	seed	3.251	keys_per_s	280814.080
scan	tidesdb 10.0.0	64		1	seed	3.251	seed_keys	1154560.000
scan	tidesdb 10.0.0	64		1	seed	3.512	keys_per_s	325971.257
scan	tidesdb 10.0.0	64		1	seed	3.512	seed_keys	1239552.000
scan	tidesdb 10.0.0	64		1	seed	3.753	keys_per_s	406285.866
scan	tidesdb 10.0.0	64		1	seed	3.753	seed_keys	1337344.000
scan	tidesdb 10.0.0	64		1	seed	4.013	keys_per_s	392730.597
scan	tidesdb 10.0.0	64		1	seed	4.013	seed_keys	1439744.000
scan	tidesdb 10.0.0	64		1	seed	4.254	keys_per_s	389302.980
