workload	engine	threads	sweep_param	sweep_value	op	count	p50_ns	p99_ns	p999_ns	max_ns	hit_rate	err_rate	wu_per_s	ops_per_s
valsize	tidesdb 10.0.0	1	valuebytes	256	put	2923713	1480	3376	12608	152467	74.944	0.000	162317.7	162317.7
valsize	tidesdb 10.0.0	1	valuebytes	256	get	4866129	916	2736	11584	158774	74.944	0.000	162317.7	162317.7
valsize	tidesdb 10.0.0	1	valuebytes	256	del	975324	1384	3120	12352	106407	74.944	0.000	162317.7	162317.7
valsize	tidesdb 10.0.0	1	valuebytes	256	range	974051	27776	46336	68096	1831681	74.944	0.000	162317.7	162317.7
valsize	tidesdb 10.0.0	16	valuebytes	256	put	20387501	2736	11584	432128	21546092	74.997	0.000	1132260.2	1132260.2
valsize	tidesdb 10.0.0	16	valuebytes	256	get	33966901	1528	4080	14272	17146770	74.997	0.000	1132260.2	1132260.2
valsize	tidesdb 10.0.0	16	valuebytes	256	del	6794091	2544	11072	395264	16765846	74.997	0.000	1132260.2	1132260.2
valsize	tidesdb 10.0.0	16	valuebytes	256	range	6789530	62208	108032	464896	20005868	74.997	0.000	1132260.2	1132260.2
valsize	tidesdb 10.0.0	64	valuebytes	256	put	19028214	2832	46336	19267584	151831374	75.011	0.000	1055329.6	1055329.6
valsize	tidesdb 10.0.0	64	valuebytes	256	get	31702141	1624	4384	15296	96905568	75.011	0.000	1055329.6	1055329.6
valsize	tidesdb 10.0.0	64	valuebytes	256	del	6340985	2640	31360	19005440	139726817	75.011	0.000	1055329.6	1055329.6
valsize	tidesdb 10.0.0	64	valuebytes	256	range	6339264	70144	207872	22675456	92730879	75.011	0.000	1055329.6	1055329.6
valsize	tidesdb 10.0.0	1	valuebytes	4096	put	929502	4256	8896	32384	49480255	74.922	0.000	51613.7	51613.7
valsize	tidesdb 10.0.0	1	valuebytes	4096	get	1547478	2064	4320	9536	9440966	74.922	0.000	51613.7	51613.7
valsize	tidesdb 10.0.0	1	valuebytes	4096	del	309950	1720	3632	8768	73626	74.922	0.000	51613.7	51613.7
valsize	tidesdb 10.0.0	1	valuebytes	4096	range	309911	120320	152576	197632	17442682	74.922	0.000	51613.7	51613.7
valsize	tidesdb 10.0.0	16	valuebytes	4096	put	3414947	31360	577536	921600	155154809	75.021	0.000	189594.0	189594.0
valsize	tidesdb 10.0.0	16	valuebytes	4096	get	5687606	5280	21120	205824	56260130	75.021	0.000	189594.0	189594.0
valsize	tidesdb 10.0.0	16	valuebytes	4096	del	1136579	4128	14144	40704	1163415	75.021	0.000	189594.0	189594.0
valsize	tidesdb 10.0.0	16	valuebytes	4096	range	1136925	395264	897024	1335296	155505397	75.021	0.000	189594.0	189594.0
valsize	tidesdb 10.0.0	64	valuebytes	4096	put	2832830	46848	6586368	17956864	615047963	74.964	0.000	157327.5	157327.5
valsize	tidesdb 10.0.0	64	valuebytes	4096	get	4718204	6112	23936	272384	47458949	74.964	0.000	157327.5	157327.5
valsize	tidesdb 10.0.0	64	valuebytes	4096	del	946301	4896	16320	57600	978290	74.964	0.000	157327.5	157327.5
valsize	tidesdb 10.0.0	64	valuebytes	4096	range	944481	440320	1044480	1646592	174528995	74.964	0.000	157327.5	157327.5
valsize	tidesdb 10.0.0	1	valuebytes	65536	put	112150	24192	88576	13828096	804286778	75.287	0.000	6207.4	6207.4
valsize	tidesdb 10.0.0	1	valuebytes	65536	get	186001	13120	26240	56064	193129	75.287	0.000	6207.4	6207.4
valsize	tidesdb 10.0.0	1	valuebytes	65536	del	37010	2704	8768	16512	52536	75.287	0.000	6207.4	6207.4
valsize	tidesdb 10.0.0	1	valuebytes	65536	range	37294	905216	1695744	3883008	592210238	75.287	0.000	6207.4	6207.4
valsize	tidesdb 10.0.0	16	valuebytes	65536	put	103595	419840	76021760	135266304	2000794626	75.071	0.000	5601.0	5601.0
valsize	tidesdb 10.0.0	16	valuebytes	65536	get	173379	73216	276480	1335296	16347949	75.071	0.000	5601.0	5601.0
valsize	tidesdb 10.0.0	16	valuebytes	65536	del	34756	22144	254976	3522560	15487200	75.071	0.000	5601.0	5601.0
valsize	tidesdb 10.0.0	16	valuebytes	65536	range	34875	5668864	15269888	24772608	765823633	75.071	0.000	5601.0	5601.0
valsize	tidesdb 10.0.0	64	valuebytes	65536	put	90724	692224	291504128	1384120320	2571602999	74.883	0.000	5031.2	5031.2
valsize	tidesdb 10.0.0	64	valuebytes	65536	get	151710	64256	234496	2310144	48854952	74.883	0.000	5031.2	5031.2
valsize	tidesdb 10.0.0	64	valuebytes	65536	del	30202	17280	118272	6979584	22448960	74.883	0.000	5031.2	5031.2
valsize	tidesdb 10.0.0	64	valuebytes	65536	range	30437	5341184	22937600	47448064	321521470	74.883	0.000	5031.2	5031.2
valsize	tidesdb 10.0.0	1	valuebytes	262144	put	24934	87552	11075584	19005440	339386826	85.794	0.000	1391.0	1391.0
valsize	tidesdb 10.0.0	1	valuebytes	262144	get	41669	46848	105984	244736	1075246	85.794	0.000	1391.0	1391.0
valsize	tidesdb 10.0.0	1	valuebytes	262144	del	8450	3728	16768	25984	106129	85.794	0.000	1391.0	1391.0
valsize	tidesdb 10.0.0	1	valuebytes	262144	range	8410	3981312	8454144	16908288	315779466	85.794	0.000	1391.0	1391.0
