workload	engine	threads	sweep_param	sweep_value	phase	elapsed_s	metric	value
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	wu_per_s	193285.288
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	ops_per_s	193285.288
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	keys	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	levels	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	data_bytes	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	avg_key_size	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	avg_value_size	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	read_amp	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	tombstones	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	tombstone_ratio	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	max_sst_density	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	max_sst_density_level	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	btree_nodes	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	btree_max_height	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	btree_avg_height	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	compaction_count	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	wal_bytes	27805198.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	flush_bytes	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	compaction_bytes	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	compaction_bytes_read	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	user_bytes	27111686.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	unflushed_keys	40960.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	sstables	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	total_sstables	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	open_sstables	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	db_data_bytes	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	db_memtable_bytes	34322096.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	immutable_memtables	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	compaction_queue	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	db_is_flushing	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	txn_memory_bytes	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	active_txns	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	db_column_families	1.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	db_global_seq	78502.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	db_min_snapshot_seq	18446744073709551616.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	db_wal_generation	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	db_flush_count	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	db_compaction_count	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	db_flush_bytes	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	db_compaction_bytes	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	db_compaction_bytes_read	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	db_user_bytes	27111686.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	db_vlog_bytes	8.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	db_vlog_values	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	db_vlog_used_bytes	0.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	db_wal_bytes_written	29548029.000
valsize	tidesdb 10.0.0	1	valuebytes	256	run	1.007	db_vlog_bytes_written	0.000
