engine,time_s,threads,tps,qps,qps_read,qps_write,qps_other,lat95_ms,err_s
rocksdb,5,24,859.93,17256.48,12091.67,3440.14,1724.67,52.89,0.00
rocksdb,10,24,849.43,16995.71,11893.16,3403.70,1698.85,53.85,0.00
rocksdb,15,24,882.82,17644.95,12353.25,3526.07,1765.64,51.02,0.00
rocksdb,20,24,871.95,17432.40,12201.10,3487.40,1743.90,51.94,0.00
rocksdb,25,24,865.80,17324.51,12129.33,3463.58,1731.59,51.94,0.00
rocksdb,30,24,864.84,17295.84,12106.59,3459.57,1729.68,51.94,0.00
rocksdb,35,24,799.99,16001.72,11202.01,3199.74,1599.97,54.83,0.00
rocksdb,40,24,799.82,15988.03,11189.50,3198.89,1599.64,54.83,0.00
rocksdb,45,24,785.19,15709.06,10998.70,3139.97,1570.39,56.84,0.00
rocksdb,50,24,761.01,15211.52,10644.68,3044.82,1522.01,58.92,0.00
rocksdb,55,24,761.40,15233.67,10665.25,3045.61,1522.81,59.99,0.00
rocksdb,60,24,785.79,15719.43,11004.08,3143.77,1571.58,57.87,0.00
rocksdb,65,24,788.19,15753.39,11025.25,3151.76,1576.38,55.82,0.00
rocksdb,70,24,818.62,16382.86,11469.92,3275.69,1637.25,56.84,0.00
rocksdb,75,24,945.78,18908.78,13234.11,3783.12,1891.56,49.21,0.00
rocksdb,80,24,984.18,19687.02,13781.73,3937.32,1967.96,45.79,0.00
rocksdb,85,24,980.64,19623.40,13739.56,3922.16,1961.68,46.63,0.00
rocksdb,90,24,984.79,19692.70,13785.19,3937.94,1969.57,45.79,0.00
rocksdb,95,24,983.19,19655.66,13756.50,3932.77,1966.39,45.79,0.00
rocksdb,100,24,981.01,19628.22,13740.95,3925.24,1962.02,46.63,0.00
rocksdb,105,24,974.58,19493.84,13646.95,3897.73,1949.16,46.63,0.00
rocksdb,110,24,977.61,19544.42,13678.35,3910.84,1955.22,46.63,0.00
rocksdb,115,24,976.20,19530.01,13673.21,3904.40,1952.40,46.63,0.00
rocksdb,120,24,983.83,19674.58,13771.61,3935.32,1967.66,44.98,0.00
rocksdb,125,24,966.98,19343.88,13542.38,3867.54,1933.97,46.63,0.00
rocksdb,130,24,964.98,19295.79,13506.32,3859.52,1929.96,46.63,0.00
rocksdb,135,24,966.01,19316.62,13519.75,3864.84,1932.02,46.63,0.00
rocksdb,140,24,975.39,19506.89,13655.52,3900.58,1950.79,46.63,0.00
rocksdb,145,24,976.59,19523.29,13662.92,3907.38,1952.99,46.63,0.00
rocksdb,150,24,959.20,19193.19,13437.80,3836.80,1918.60,46.63,0.00
rocksdb,155,24,886.01,17723.17,12407.52,3543.63,1772.02,49.21,0.00
rocksdb,160,24,872.82,17461.23,12223.90,3491.69,1745.64,50.11,0.00
rocksdb,165,24,915.38,18300.23,12808.14,3661.33,1830.76,48.34,0.00
rocksdb,170,24,849.01,16980.56,11886.31,3396.23,1698.02,51.94,0.00
rocksdb,175,24,928.19,18571.82,13002.68,3712.76,1856.38,47.47,0.00
rocksdb,180,24,909.22,18179.93,12724.23,3637.27,1818.43,49.21,0.00
rocksdb,185,24,854.38,17082.68,11956.77,3417.14,1708.77,52.89,0.00
rocksdb,190,24,810.01,16195.72,11335.49,3240.22,1620.01,54.83,0.00
rocksdb,195,24,791.79,15837.45,11087.29,3166.57,1583.58,57.87,0.00
rocksdb,200,24,787.73,15760.74,11033.38,3151.91,1575.45,56.84,0.00
rocksdb,205,24,805.64,16099.41,11266.57,3221.56,1611.28,55.82,0.00
rocksdb,210,24,814.83,16309.85,11420.25,3259.93,1629.66,54.83,0.00
rocksdb,215,24,803.20,16056.05,11237.04,3212.61,1606.41,55.82,0.00
rocksdb,220,24,855.19,17105.86,11975.30,3420.17,1710.39,52.89,0.00
rocksdb,225,24,845.79,16912.89,11837.93,3383.38,1691.59,52.89,0.00
rocksdb,230,24,847.61,16964.31,11878.87,3390.22,1695.21,53.85,0.00
rocksdb,235,24,848.62,16970.59,11878.28,3395.08,1697.24,53.85,0.00
rocksdb,240,24,815.98,16314.52,11419.26,3263.30,1631.95,55.82,0.00
rocksdb,245,24,859.42,17191.80,12034.08,3438.88,1718.84,53.85,0.00
rocksdb,250,24,848.00,16954.73,11867.95,3390.79,1695.99,52.89,0.00
rocksdb,255,24,834.20,16689.85,11684.64,3336.81,1668.41,54.83,0.00
rocksdb,260,24,836.59,16722.73,11702.61,3346.95,1673.17,53.85,0.00
rocksdb,265,24,828.01,16562.05,11594.58,3311.45,1656.03,53.85,0.00
rocksdb,270,24,804.19,16090.19,11264.65,3217.36,1608.18,55.82,0.00
rocksdb,275,24,832.40,16649.71,11655.34,3329.38,1664.99,53.85,0.00
rocksdb,280,24,806.21,16124.80,11287.14,3225.24,1612.42,55.82,0.00
rocksdb,285,24,767.60,15343.36,10739.17,3068.99,1535.20,58.92,0.00
rocksdb,290,24,765.01,15305.10,10714.07,3061.02,1530.01,56.84,0.00
rocksdb,295,24,734.40,14671.71,10265.74,2937.18,1468.79,59.99,0.00
rocksdb,300,24,717.59,14369.40,10064.66,2869.76,1434.98,62.19,0.00
tidesdb,5,24,3368.54,67423.01,47204.56,13476.56,6741.88,9.22,0.00
tidesdb,10,24,2733.67,54676.34,38274.14,10934.87,5467.33,10.09,0.00
tidesdb,15,24,2440.56,48824.34,34175.20,9768.03,4881.11,12.08,0.00
tidesdb,20,24,2517.47,50343.25,35241.81,10066.49,5034.94,12.75,0.00
tidesdb,25,24,2949.09,58974.68,41281.91,11794.78,5897.99,11.04,0.00
tidesdb,30,24,3533.56,70674.55,49473.01,14134.23,7067.32,10.65,0.00
tidesdb,35,24,3089.06,61772.38,43239.42,12354.84,6178.12,13.95,0.00
tidesdb,40,24,2678.75,53578.20,37507.30,10713.40,5357.50,17.01,0.00
tidesdb,45,24,2328.21,46566.20,32596.54,9313.24,4656.42,18.95,0.00
tidesdb,50,24,2278.76,45575.45,31902.68,9115.25,4557.53,19.65,0.00
tidesdb,55,24,2085.64,41710.25,29197.19,8341.77,4171.28,20.74,0.00
tidesdb,60,24,3467.58,69347.26,48540.76,13871.33,6935.17,13.46,0.00
tidesdb,65,24,3620.20,72414.28,50691.65,14482.22,7240.41,12.52,0.00
tidesdb,70,24,3617.82,72353.58,50648.27,14469.68,7235.64,13.22,0.00
tidesdb,75,24,3481.09,69618.95,48732.22,13924.55,6962.17,13.95,0.00
tidesdb,80,24,3530.48,70614.88,49430.58,14123.34,7060.97,13.95,0.00
tidesdb,85,24,3465.59,69305.47,48513.91,13860.37,6931.19,14.46,0.00
tidesdb,90,24,3482.01,69642.23,48748.56,13929.65,6964.02,14.73,0.00
tidesdb,95,24,3405.06,68106.63,47677.06,13619.45,6810.12,15.55,0.00
tidesdb,100,24,3364.14,67290.62,47106.17,13456.16,6728.28,15.55,0.00
tidesdb,105,24,3315.80,66307.05,46413.03,13262.41,6631.60,16.12,0.00
tidesdb,110,24,2797.83,55949.45,39161.46,11192.33,5595.67,18.61,0.00
tidesdb,115,24,2880.94,57619.01,40334.17,11522.96,5761.88,16.41,0.00
tidesdb,120,24,3132.81,62658.40,43860.54,12532.44,6265.42,12.30,0.00
tidesdb,125,24,3089.41,61785.61,43249.55,12357.04,6179.02,13.22,0.00
tidesdb,130,24,3270.01,65406.36,45786.91,13079.43,6540.02,12.52,0.00
tidesdb,135,24,3146.99,62941.08,44056.91,12590.38,6293.79,12.98,0.00
tidesdb,140,24,3158.38,63166.74,44217.08,12632.71,6316.95,13.46,0.00
tidesdb,145,24,3145.00,62905.69,44037.06,12578.62,6290.01,13.46,0.00
tidesdb,150,24,3076.22,61523.34,43064.84,12306.07,6152.43,13.95,0.00
tidesdb,155,24,3109.17,62176.29,43522.24,12435.70,6218.35,14.21,0.00
tidesdb,160,24,3126.45,62537.14,43776.46,12507.79,6252.89,14.46,0.00
tidesdb,165,24,3032.97,60651.09,42456.04,12129.10,6065.95,15.00,0.00
tidesdb,170,24,3015.19,60306.29,42214.32,12061.78,6030.19,15.83,0.00
tidesdb,175,24,2909.62,58198.13,40739.43,11639.27,5819.43,16.41,0.00
tidesdb,180,24,2964.86,59294.26,41505.68,11858.85,5929.73,16.41,0.00
tidesdb,185,24,2862.94,57255.31,40078.30,11451.14,5725.87,17.01,0.00
tidesdb,190,24,2891.99,57838.09,40486.72,11567.38,5783.99,17.63,0.00
tidesdb,195,24,2829.00,56583.66,39608.64,11317.21,5657.81,17.95,0.00
tidesdb,200,24,2878.04,57562.45,40294.40,11511.77,5756.29,17.95,0.00
tidesdb,205,24,2737.64,54783.49,38340.62,10967.58,5475.29,18.61,0.00
tidesdb,210,24,2400.10,47967.82,33585.02,9582.61,4800.20,19.65,0.00
tidesdb,215,24,2795.40,55904.36,39131.77,11181.79,5590.80,13.95,0.00
tidesdb,220,24,2759.99,55207.08,38645.52,11041.58,5519.99,13.95,0.00
tidesdb,225,24,2732.83,54655.27,38260.07,10929.53,5465.67,15.00,0.00
tidesdb,230,24,2707.61,54152.52,37905.48,10831.82,5415.21,14.46,0.00
tidesdb,235,24,2680.77,53605.12,37522.12,10721.66,5361.33,14.73,0.00
tidesdb,240,24,2660.65,53215.03,37249.92,10643.61,5321.50,15.00,0.00
tidesdb,245,24,2657.43,53158.14,37213.78,10629.51,5314.85,15.55,0.00
tidesdb,250,24,2573.36,51456.17,36016.42,10293.03,5146.72,16.12,0.00
tidesdb,255,24,2613.38,52276.42,36595.73,10453.92,5226.76,16.12,0.00
tidesdb,260,24,2503.87,50076.61,35052.38,10016.48,5007.74,17.95,0.00
tidesdb,265,24,2429.76,48593.33,34015.79,9718.03,4859.51,18.61,0.00
tidesdb,270,24,2606.39,52133.17,36494.64,10425.75,5212.78,17.32,0.00
tidesdb,275,24,2582.22,51635.38,36142.87,10328.08,5164.44,17.32,0.00
tidesdb,280,24,2565.77,51324.62,35929.19,10263.88,5131.54,17.95,0.00
tidesdb,285,24,2539.06,50774.60,35540.64,10155.84,5078.12,17.95,0.00
tidesdb,290,24,2501.72,50035.47,35024.93,10007.29,5003.25,18.95,0.00
tidesdb,295,24,2452.33,49052.51,34336.95,9810.70,4904.85,19.29,0.00
tidesdb,300,24,2397.68,47943.90,33559.45,9589.10,4795.35,20.37,0.00
