engine,phase,elapsed_s,bytes,mb
rocksdb,prepare,0.0,78184448,74.6
rocksdb,prepare,3.0,752775168,717.9
rocksdb,prepare,6.0,958337024,913.9
rocksdb,prepare,9.0,1083891712,1033.7
rocksdb,prepare,12.0,1417293824,1351.6
rocksdb,prepare,15.1,1493311488,1424.1
rocksdb,prepare,18.2,1744416768,1663.6
rocksdb,prepare,21.2,1803579392,1720.0
rocksdb,prepare,24.2,1938853888,1849.0
rocksdb,prepare,27.2,2268852224,2163.7
rocksdb,prepare,30.2,2011328512,1918.2
rocksdb,prepare,33.3,2211762176,2109.3
rocksdb,prepare,36.3,2330202112,2222.3
rocksdb,prepare,39.3,2533117952,2415.8
rocksdb,prepare,42.3,2600751104,2480.3
rocksdb,prepare,45.4,2803666944,2673.8
rocksdb,prepare,48.4,2407272448,2295.8
rocksdb,prepare,51.4,2537963520,2420.4
rocksdb,prepare,54.4,2789060608,2659.9
rocksdb,prepare,57.4,2924339200,2788.9
rocksdb,prepare,60.4,3059609600,2917.9
rocksdb,prepare,63.5,3262521344,3111.4
rocksdb,prepare,66.5,3397799936,3240.4
rocksdb,prepare,69.5,2867363840,2734.5
rocksdb,prepare,72.5,2990620672,2852.1
rocksdb,prepare,75.8,3271057408,3119.5
rocksdb,prepare,78.8,3447279616,3287.6
rocksdb,prepare,81.8,3582554112,3416.6
rocksdb,prepare,84.8,3785469952,3610.1
rocksdb,prepare,87.8,3920740352,3739.1
rocksdb,prepare,91.0,4196237312,4001.8
rocksdb,prepare,94.0,4618317824,4404.4
rocksdb,prepare,97.0,4656246784,4440.5
rocksdb,prepare,100.1,4791525376,4569.6
rocksdb,prepare,103.1,3657342976,3487.9
rocksdb,prepare,106.1,3847004160,3668.8
rocksdb,prepare,109.2,4117901312,3927.1
rocksdb,prepare,112.2,4243570688,4047.0
rocksdb,prepare,115.2,4504748032,4296.1
rocksdb,prepare,118.2,4572499968,4360.7
rocksdb,prepare,121.3,4447772672,4241.7
rocksdb,prepare,124.3,4644843520,4429.7
rocksdb,prepare,127.3,4913139712,4685.5
rocksdb,prepare,130.3,4963926016,4734.0
rocksdb,prepare,133.3,5167185920,4927.8
rocksdb,prepare,136.4,5234933760,4992.4
rocksdb,prepare,139.4,5797466112,5528.9
rocksdb,prepare,142.4,5990518784,5713.0
rocksdb,prepare,145.4,5296091136,5050.7
rocksdb,prepare,148.4,5493174272,5238.7
rocksdb,prepare,151.5,5692661760,5428.9
rocksdb,prepare,154.5,5818318848,5548.8
rocksdb,prepare,157.5,5818322944,5548.8
rocksdb,prepare,160.5,6021582848,5742.6
rocksdb,prepare,163.5,6089338880,5807.2
rocksdb,prepare,166.5,6292590592,6001.1
rocksdb,prepare,169.5,6360342528,6065.7
rocksdb,prepare,172.6,6495981568,6195.1
rocksdb,prepare,175.6,6765625344,6452.2
rocksdb,prepare,178.6,5962346496,5686.1
rocksdb,prepare,181.7,6215483392,5927.5
rocksdb,prepare,184.7,6383251456,6087.5
rocksdb,prepare,187.7,6678589440,6369.2
rocksdb,run,190.7,6797320192,6482.4
rocksdb,run,193.8,7000571904,6676.3
rocksdb,run,196.8,7068323840,6740.9
rocksdb,run,199.8,7271579648,6934.7
rocksdb,run,202.8,6211821568,5924.1
rocksdb,run,205.9,6407503872,6110.7
rocksdb,run,208.9,6533169152,6230.5
rocksdb,run,211.9,6384607232,6088.8
rocksdb,run,215.0,6447861760,6149.2
rocksdb,run,218.0,6710718464,6399.8
rocksdb,run,221.0,6836596736,6519.9
rocksdb,run,224.0,7039852544,6713.7
rocksdb,run,227.1,7175356416,6843.0
rocksdb,run,230.1,7434092544,7089.7
rocksdb,run,233.2,6474481664,6174.5
rocksdb,run,236.2,6517575680,6215.6
rocksdb,run,239.2,3344420864,3189.5
rocksdb,run,242.2,3412807680,3254.7
rocksdb,run,245.3,3412807680,3254.7
rocksdb,run,248.3,3739856896,3566.6
tidesdb,prepare,0.0,8192,0.0
tidesdb,prepare,3.0,1140961280,1088.1
tidesdb,prepare,6.2,1498611712,1429.2
tidesdb,prepare,9.2,1716445184,1636.9
tidesdb,prepare,12.2,2031550464,1937.4
tidesdb,prepare,15.2,1866215424,1779.8
tidesdb,run,19.5,1746006016,1665.1
tidesdb,run,22.6,1577091072,1504.0
tidesdb,run,25.6,1909571584,1821.1
tidesdb,run,28.6,2659110912,2535.9
tidesdb,run,31.7,1986523136,1894.5
tidesdb,run,34.7,1458708480,1391.1
tidesdb,run,37.7,1260642304,1202.2
tidesdb,run,40.7,1327751168,1266.2
tidesdb,run,43.7,1327751168,1266.2
tidesdb,run,46.7,1327751168,1266.2
tidesdb,run,49.7,1327751168,1266.2
tidesdb,run,52.8,1394860032,1330.2
tidesdb,run,55.8,1394860032,1330.2
tidesdb,run,58.8,1394864128,1330.2
tidesdb,run,61.8,1394864128,1330.2
tidesdb,run,64.9,1461972992,1394.2
tidesdb,run,68.0,1461972992,1394.2
tidesdb,run,71.0,1461972992,1394.2
tidesdb,run,74.0,1461972992,1394.2
tidesdb,run,77.1,1461972992,1394.2
