engine,test,threads,time_s,tps,qps,latency_avg_ms
InnoDB,oltp_read_only_batched,4, 10 ,4,4850.07,77605.55
InnoDB,oltp_read_only_batched,4, 20 ,4,4653.58,74457.82
InnoDB,oltp_read_only_batched,4, 30 ,4,4602.49,73637.58
InnoDB,oltp_read_only_batched,4, 40 ,4,4717.11,75475.92
InnoDB,oltp_read_only_batched,4, 50 ,4,4735.30,75763.05
InnoDB,oltp_write_only_batched,4, 10 ,4,2159.63,12959.78
InnoDB,oltp_write_only_batched,4, 20 ,4,1494.92,8969.53
InnoDB,oltp_write_only_batched,4, 30 ,4,1812.90,10877.39
InnoDB,oltp_write_only_batched,4, 40 ,4,2738.92,16433.50
InnoDB,oltp_write_only_batched,4, 50 ,4,2613.99,15683.94
InnoDB,oltp_read_write_batched,4, 10 ,4,1822.97,36463.35
InnoDB,oltp_read_write_batched,4, 20 ,4,1758.91,35180.43
InnoDB,oltp_read_write_batched,4, 30 ,4,1813.10,36261.40
InnoDB,oltp_read_write_batched,4, 40 ,4,1664.00,33281.45
InnoDB,oltp_read_write_batched,4, 50 ,4,1801.60,36031.00
InnoDB,oltp_read_write_batched,4, 60 ,4,1716.90,34337.32
TidesDB,oltp_read_only_batched,4, 10 ,4,1813.57,29018.66
TidesDB,oltp_read_only_batched,4, 20 ,4,1810.12,28965.41
TidesDB,oltp_read_only_batched,4, 30 ,4,1791.40,28659.83
TidesDB,oltp_read_only_batched,4, 40 ,4,1796.50,28747.10
TidesDB,oltp_read_only_batched,4, 50 ,4,1796.70,28746.40
TidesDB,oltp_read_only_batched,4, 60 ,4,1790.38,28646.25
TidesDB,oltp_write_only_batched,4, 10 ,4,2617.06,15703.67
TidesDB,oltp_write_only_batched,4, 20 ,4,2626.34,15757.42
TidesDB,oltp_write_only_batched,4, 30 ,4,2615.60,15694.10
TidesDB,oltp_write_only_batched,4, 40 ,4,2601.80,15610.80
TidesDB,oltp_write_only_batched,4, 50 ,4,2616.40,15698.39
TidesDB,oltp_read_write_batched,4, 10 ,4,959.28,19205.36
TidesDB,oltp_read_write_batched,4, 20 ,4,955.72,19132.11
TidesDB,oltp_read_write_batched,4, 30 ,4,954.79,19103.75
TidesDB,oltp_read_write_batched,4, 40 ,4,953.40,19082.54
TidesDB,oltp_read_write_batched,4, 50 ,4,974.50,19514.03
TidesDB,oltp_read_write_batched,4, 60 ,4,943.50,18886.52
