engine,workload,threads,table_size,iteration,time_s,tps,qps,latency_avg_ms,latency_p95_ms
InnoDB,oltp_read_write,1,25000000,1,10,137.77,2756.23,36.89,36.89
InnoDB,oltp_read_write,1,25000000,1,20,170.40,3407.78,20.37,20.37
InnoDB,oltp_read_write,1,25000000,1,30,137.90,2758.06,38.25,38.25
InnoDB,oltp_read_write,1,25000000,1,40,120.70,2413.96,41.10,41.10
InnoDB,oltp_read_write,1,25000000,1,50,149.80,2996.59,33.72,33.72
InnoDB,oltp_read_write,1,25000000,1,60,178.20,3564.32,10.84,10.84
InnoDB,oltp_read_write,1,25000000,1,70,179.50,3588.79,9.06,9.06
InnoDB,oltp_read_write,1,25000000,1,80,169.00,3379.97,12.75,12.75
InnoDB,oltp_read_write,1,25000000,1,90,156.70,3134.81,12.52,12.52
InnoDB,oltp_read_write,1,25000000,1,100,150.20,3003.90,29.19,29.19
InnoDB,oltp_read_write,1,25000000,1,110,175.80,3516.12,11.04,11.04
InnoDB,oltp_read_write,1,25000000,1,120,142.20,2843.94,30.26,30.26
InnoDB,oltp_read_write,1,25000000,1,130,173.80,3476.43,12.30,12.30
InnoDB,oltp_read_write,1,25000000,1,140,136.12,2722.20,25.28,25.28
InnoDB,oltp_read_write,1,25000000,1,150,181.38,3628.04,12.30,12.30
InnoDB,oltp_read_write,1,25000000,1,160,184.10,3681.74,10.84,10.84
InnoDB,oltp_read_write,1,25000000,1,170,173.70,3472.80,13.95,13.95
InnoDB,oltp_read_write,1,25000000,1,180,180.70,3613.91,13.70,13.70
InnoDB,oltp_point_select,1,25000000,1,10,7370.18,7370.18,0.17,0.17
InnoDB,oltp_point_select,1,25000000,1,20,7349.58,7349.58,0.18,0.18
InnoDB,oltp_point_select,1,25000000,1,30,7370.31,7370.31,0.17,0.17
InnoDB,oltp_point_select,1,25000000,1,40,7296.40,7296.40,0.18,0.18
InnoDB,oltp_point_select,1,25000000,1,50,7322.00,7322.00,0.18,0.18
InnoDB,oltp_point_select,1,25000000,1,60,7286.00,7286.00,0.18,0.18
InnoDB,oltp_point_select,1,25000000,1,70,7302.21,7302.21,0.18,0.18
InnoDB,oltp_point_select,1,25000000,1,80,7327.80,7327.80,0.18,0.18
InnoDB,oltp_point_select,1,25000000,1,90,7320.30,7320.30,0.18,0.18
InnoDB,oltp_point_select,1,25000000,1,100,7273.89,7273.89,0.18,0.18
InnoDB,oltp_point_select,1,25000000,1,110,7291.70,7291.70,0.18,0.18
InnoDB,oltp_point_select,1,25000000,1,120,7457.01,7457.01,0.17,0.17
InnoDB,oltp_point_select,1,25000000,1,130,7459.30,7459.30,0.17,0.17
InnoDB,oltp_point_select,1,25000000,1,140,7348.80,7348.80,0.18,0.18
InnoDB,oltp_point_select,1,25000000,1,150,7321.00,7321.00,0.18,0.18
InnoDB,oltp_point_select,1,25000000,1,160,7314.11,7314.11,0.18,0.18
InnoDB,oltp_point_select,1,25000000,1,170,7415.49,7415.49,0.17,0.17
InnoDB,oltp_insert,1,25000000,1,10,6778.65,6778.65,0.13,0.13
InnoDB,oltp_insert,1,25000000,1,20,7502.88,7502.88,0.12,0.12
InnoDB,oltp_insert,1,25000000,1,30,7837.41,7837.41,0.12,0.12
InnoDB,oltp_insert,1,25000000,1,40,8400.31,8400.31,0.12,0.12
InnoDB,oltp_insert,1,25000000,1,50,7103.26,7103.26,0.12,0.12
InnoDB,oltp_insert,1,25000000,1,60,5998.28,5998.28,0.12,0.12
InnoDB,oltp_insert,1,25000000,1,70,8164.50,8164.50,0.12,0.12
InnoDB,oltp_insert,1,25000000,1,80,8000.94,8000.94,0.13,0.13
InnoDB,oltp_insert,1,25000000,1,90,7620.98,7620.98,0.12,0.12
InnoDB,oltp_insert,1,25000000,1,100,8121.73,8121.73,0.12,0.12
InnoDB,oltp_insert,1,25000000,1,110,7755.97,7755.97,0.12,0.12
InnoDB,oltp_insert,1,25000000,1,120,8115.65,8115.65,0.12,0.12
InnoDB,oltp_insert,1,25000000,1,130,7268.57,7268.57,0.12,0.12
InnoDB,oltp_insert,1,25000000,1,140,6964.20,6964.20,0.12,0.12
InnoDB,oltp_insert,1,25000000,1,150,8270.19,8270.19,0.12,0.12
InnoDB,oltp_insert,1,25000000,1,160,7678.81,7678.81,0.13,0.13
InnoDB,oltp_insert,1,25000000,1,170,7219.77,7219.77,0.12,0.12
InnoDB,oltp_write_only,1,25000000,1,10,443.10,2659.01,9.06,9.06
InnoDB,oltp_write_only,1,25000000,1,20,438.91,2633.33,9.06,9.06
InnoDB,oltp_write_only,1,25000000,1,30,407.70,2446.02,9.06,9.06
InnoDB,oltp_write_only,1,25000000,1,40,462.69,2776.37,8.90,8.90
InnoDB,oltp_write_only,1,25000000,1,50,431.60,2589.61,8.90,8.90
InnoDB,oltp_write_only,1,25000000,1,60,449.71,2698.38,8.74,8.74
InnoDB,oltp_write_only,1,25000000,1,70,474.30,2845.67,8.90,8.90
InnoDB,oltp_write_only,1,25000000,1,80,466.90,2801.40,8.90,8.90
InnoDB,oltp_write_only,1,25000000,1,90,524.99,3149.86,8.74,8.74
InnoDB,oltp_write_only,1,25000000,1,100,426.53,2559.16,8.90,8.90
InnoDB,oltp_write_only,1,25000000,1,110,491.67,2950.02,8.90,8.90
InnoDB,oltp_write_only,1,25000000,1,120,477.63,2865.70,8.90,8.90
InnoDB,oltp_write_only,1,25000000,1,130,501.76,3010.68,8.90,8.90
InnoDB,oltp_write_only,1,25000000,1,140,487.61,2925.54,8.90,8.90
InnoDB,oltp_write_only,1,25000000,1,150,503.18,3019.30,8.90,8.90
InnoDB,oltp_write_only,1,25000000,1,160,454.75,2728.33,8.90,8.90
InnoDB,oltp_write_only,1,25000000,1,170,489.34,2936.07,8.74,8.74
