engine,workload,threads,table_size,iteration,tps,qps,reads_per_sec,writes_per_sec,latency_avg_ms,latency_min_ms,latency_p95_ms,latency_max_ms,errors,reconnects,total_time_s,warmup_s,data_size_after_prepare_mb,data_size_after_run_mb
InnoDB,oltp_read_write,1,25000000,1,28981,579620,2253.58,643.88,6.21,2.38,23.10,483.67,0,0,180.0390,60,22908.00,23572.00
InnoDB,oltp_point_select,1,25000000,1,1321486,1321486,7341.38,0,0.14,0.05,0.18,4.43,0,0,180.0049,60,22908.00,22908.00
InnoDB,oltp_insert,1,25000000,1,1365029,1365029,0,7583.30,0.13,0.05,0.12,495.56,0,0,180.0046,60,22908.00,24828.00
InnoDB,oltp_write_only,1,25000000,1,84552,507312,0,1878.82,2.13,0.27,8.90,557.15,0,0,180.0105,60,22908.00,23748.00
TidesDB,oltp_read_write,1,25000000,1,11,220,.82,.23,16889.92,4.89,30469.90,48379.20,0,0,185.7921,60,19836.51,19836.52
TidesDB,oltp_point_select,1,25000000,1,1476412,1476412,8202.07,0,0.12,0.05,0.17,1.39,0,0,180.0048,60,19836.96,19836.96
TidesDB,oltp_insert,1,25000000,1,2303779,2303779,0,12798.45,0.08,0.06,0.08,0.50,0,0,180.0045,60,19836.82,20615.05
TidesDB,oltp_write_only,1,25000000,1,291279,1747674,0,6472.70,0.62,0.33,0.81,3.22,0,0,180.0045,60,19836.82,20152.93
InnoDB,oltp_read_write,4,25000000,1,62639,1252780,4867.40,1390.68,11.50,2.92,44.98,422.70,0,0,180.1669,60,22908.00,23712.00
InnoDB,oltp_point_select,4,25000000,1,4408632,4408632,24491.76,0,0.16,0.05,0.24,1.78,0,0,180.0047,60,22908.00,22908.00
InnoDB,oltp_insert,4,25000000,1,820386,820386,0,4557.42,0.88,0.06,0.16,687.92,0,0,180.0107,60,22908.00,24732.00
InnoDB,oltp_write_only,4,25000000,1,93946,563676,0,2087.60,7.66,0.29,29.72,822.08,0,0,180.0069,60,22908.00,23756.00
TidesDB,oltp_read_write,4,25000000,1,111605,2232100,8679.79,2479.94,6.45,3.64,12.08,23.55,0,0,180.0124,60,19837.56,19966.24
TidesDB,oltp_point_select,4,25000000,1,4773683,4773683,26519.93,0,0.15,0.05,0.19,2.08,0,0,180.0036,60,19836.66,19836.66
TidesDB,oltp_insert,4,25000000,1,7649052,7649052,0,42493.60,0.09,0.07,0.11,9.28,0,0,180.0048,60,19837.56,22203.65
TidesDB,oltp_write_only,4,25000000,1,829984,4979906,0,18443.58,0.87,0.40,1.10,355.44,1,0,180.0050,60,19837.13,23315.45
InnoDB,oltp_read_write,8,25000000,1,82226,1644520,6394.80,1827.08,17.51,3.24,52.89,945.74,0,0,180.0156,60,22908.00,23740.00
InnoDB,oltp_point_select,8,25000000,1,7675194,7675194,42639.32,0,0.19,0.05,0.30,1.46,0,0,180.0027,60,22908.00,22908.00
InnoDB,oltp_insert,8,25000000,1,795399,795399,0,4418.25,1.81,0.06,0.21,976.48,0,0,180.0257,60,22908.00,24748.00
InnoDB,oltp_write_only,8,25000000,1,90786,544716,0,2015.37,15.87,0.31,75.82,882.59,0,0,180.1866,60,22908.00,23768.00
TidesDB,oltp_read_write,8,25000000,1,93,1860,6.19,1.76,16712.97,3.57,34563.04,47280.69,0,0,210.2400,60,19836.84,19836.94
TidesDB,oltp_point_select,8,25000000,1,8911242,8911242,49506.10,0,0.16,0.06,0.21,2.87,0,0,180.0029,60,19837.25,19837.25
TidesDB,oltp_insert,8,25000000,1,13998766,13998766,0,77768.20,0.10,0.07,0.12,23.21,0,0,180.0063,60,19836.98,27122.31
TidesDB,oltp_write_only,8,25000000,1,1402855,8417131,0,31173.89,1.03,0.40,1.30,255.72,1,0,180.0038,60,19836.68,20762.55
InnoDB,oltp_read_write,16,25000000,1,99295,1985900,7721.65,2206.18,29.00,4.12,68.05,781.45,0,0,180.0300,60,22908.00,23756.00
InnoDB,oltp_point_select,16,25000000,1,11841315,11841315,65783.91,0,0.24,0.05,0.42,1.52,0,0,180.0032,60,22908.00,22908.00
InnoDB,oltp_insert,16,25000000,1,724153,724153,0,4022.87,3.98,0.06,1.82,1145.66,0,0,180.0088,60,22908.00,24748.00
InnoDB,oltp_write_only,16,25000000,1,76550,459300,0,1701.00,37.62,0.33,155.80,1286.16,0,0,180.0117,60,22908.00,23740.00
TidesDB,oltp_read_write,16,25000000,1,320914,6418280,24958.46,7130.99,8.97,5.09,16.12,34.11,0,0,180.0109,60,19837.41,20191.02
TidesDB,oltp_point_select,16,25000000,1,14540413,14540413,80778.59,0,0.20,0.06,0.29,4.36,0,0,180.0033,60,19836.24,19836.24
TidesDB,oltp_insert,16,25000000,1,16578579,16578579,0,92101.32,0.17,0.08,0.32,135.70,0,0,180.0037,60,19837.25,30380.08
TidesDB,oltp_write_only,16,25000000,1,2019161,12114968,0,44868.60,1.42,0.51,1.89,316.42,1,0,180.0066,60,19837.41,22391.97
