engine,workload,threads,table_size,iteration,time_s,tps,qps,latency_avg_ms,latency_p95_ms
TidesDB,oltp_read_write,1,1000000,1,10,356.81,7138.18,2.97,2.97
TidesDB,oltp_read_write,1,1000000,1,20,360.31,7205.52,2.91,2.91
TidesDB,oltp_read_write,1,1000000,1,30,384.30,7686.19,2.81,2.81
TidesDB,oltp_read_write,1,1000000,1,40,352.10,7041.81,2.97,2.97
TidesDB,oltp_read_write,1,1000000,1,50,362.60,7252.10,2.91,2.91
TidesDB,oltp_read_write,1,1000000,1,60,379.90,7598.61,2.86,2.86
TidesDB,oltp_read_write,1,1000000,1,70,393.30,7865.48,2.71,2.71
TidesDB,oltp_read_write,1,1000000,1,80,364.70,7293.82,2.91,2.91
TidesDB,oltp_read_write,1,1000000,1,90,372.00,7439.68,2.91,2.91
TidesDB,oltp_read_write,1,1000000,1,100,368.80,7377.04,2.91,2.91
TidesDB,oltp_read_write,1,1000000,1,110,367.80,7355.47,2.97,2.97
TidesDB,oltp_read_write,1,1000000,1,120,352.50,7050.02,2.97,2.97
TidesDB,oltp_read_write,1,1000000,1,130,351.00,7019.98,2.97,2.97
TidesDB,oltp_read_write,1,1000000,1,140,376.80,7536.02,2.91,2.91
TidesDB,oltp_read_write,1,1000000,1,150,369.00,7380.48,2.91,2.91
TidesDB,oltp_read_write,1,1000000,1,160,392.20,7843.72,2.66,2.66
TidesDB,oltp_read_write,1,1000000,1,170,370.10,7402.28,2.91,2.91
TidesDB,oltp_read_write,1,1000000,1,180,349.40,6987.52,3.02,3.02
TidesDB,oltp_read_write,1,1000000,1,190,349.20,6984.50,3.02,3.02
TidesDB,oltp_read_write,1,1000000,1,200,368.80,7375.50,2.97,2.97
TidesDB,oltp_read_write,1,1000000,1,210,358.30,7165.89,2.97,2.97
TidesDB,oltp_read_write,1,1000000,1,220,369.90,7397.81,2.97,2.97
TidesDB,oltp_read_write,1,1000000,1,230,368.00,7359.99,2.97,2.97
TidesDB,oltp_read_write,1,1000000,1,240,374.20,7484.81,2.91,2.91
TidesDB,oltp_read_write,1,1000000,1,250,376.10,7521.99,2.91,2.91
TidesDB,oltp_read_write,1,1000000,1,260,357.10,7140.41,2.97,2.97
TidesDB,oltp_read_write,1,1000000,1,270,357.70,7155.10,3.02,3.02
TidesDB,oltp_read_write,1,1000000,1,280,388.70,7773.70,2.71,2.71
TidesDB,oltp_read_write,1,1000000,1,290,387.40,7748.31,2.71,2.71
TidesDB,oltp_read_write,1,1000000,1,300,387.80,7755.81,2.71,2.71
TidesDB,oltp_point_select,1,1000000,1,10,20327.46,20327.46,0.06,0.06
TidesDB,oltp_point_select,1,1000000,1,20,20253.14,20253.14,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,30,20163.79,20163.79,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,40,20783.88,20783.88,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,50,21318.28,21318.28,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,60,20918.52,20918.52,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,70,20940.37,20940.37,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,80,20966.53,20966.53,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,90,20808.27,20808.27,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,100,21074.99,21074.99,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,110,21364.14,21364.14,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,120,21539.62,21539.62,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,130,20787.08,20787.08,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,140,21006.12,21006.12,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,150,20805.78,20805.78,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,160,20023.71,20023.71,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,170,20291.79,20291.79,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,180,21731.83,21731.83,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,190,21368.08,21368.08,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,200,21401.50,21401.50,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,210,20630.40,20630.40,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,220,20384.20,20384.20,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,230,21240.50,21240.50,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,240,21288.01,21288.01,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,250,21291.20,21291.20,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,260,22309.98,22309.98,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,270,21264.41,21264.41,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,280,21295.49,21295.49,0.05,0.05
TidesDB,oltp_point_select,1,1000000,1,290,21358.62,21358.62,0.05,0.05
TidesDB,oltp_insert,1,1000000,1,10,16674.16,16674.16,0.07,0.07
TidesDB,oltp_insert,1,1000000,1,20,16487.38,16487.38,0.07,0.07
TidesDB,oltp_insert,1,1000000,1,30,16974.54,16974.54,0.07,0.07
TidesDB,oltp_insert,1,1000000,1,40,17048.52,17048.52,0.07,0.07
TidesDB,oltp_insert,1,1000000,1,50,16724.35,16724.35,0.07,0.07
TidesDB,oltp_insert,1,1000000,1,60,16828.76,16828.76,0.07,0.07
TidesDB,oltp_insert,1,1000000,1,70,16540.59,16540.59,0.07,0.07
TidesDB,oltp_insert,1,1000000,1,80,16735.09,16735.09,0.07,0.07
TidesDB,oltp_insert,1,1000000,1,90,14741.06,14741.06,0.07,0.07
