engine,workload,threads,table_size,iteration,tps,qps,reads_per_sec,writes_per_sec,latency_avg_ms,latency_min_ms,latency_p95_ms,latency_max_ms,errors,reconnects,total_time_s,warmup_s,data_size_after_prepare_mb,data_size_after_run_mb
InnoDB,oltp_read_write,1,1000000,1,164373,3287460,7670.57,2191.59,1.82,1.22,2.35,229.81,0,0,300.0063,120,1996.00,2060.00
InnoDB,oltp_point_select,1,1000000,1,5837267,5837267,19457.27,0,0.05,0.04,0.05,0.52,0,0,300.0044,120,1996.00,1996.00
InnoDB,oltp_insert,1,1000000,1,3882526,3882526,0,12941.61,0.08,0.05,0.10,217.09,0,0,300.0033,120,1996.00,3276.00
InnoDB,oltp_write_only,1,1000000,1,439492,2636952,0,5853.24,0.68,0.26,0.53,621.29,0,0,300.3410,120,1996.00,2060.00
InnoDB,oltp_read_write,8,1000000,1,549649,10992980,25613.77,7318.22,4.37,1.33,2.97,815.68,0,0,300.4276,120,1996.00,2060.00
InnoDB,oltp_point_select,8,1000000,1,39681300,39681300,132269.36,0,0.06,0.04,0.06,4.08,0,0,300.0037,120,1996.00,1996.00
InnoDB,oltp_insert,8,1000000,1,9063178,9063178,0,30202.69,0.26,0.06,0.14,735.96,0,0,300.0785,120,1996.00,6080.00
InnoDB,oltp_write_only,8,1000000,1,757577,4545462,0,10097.14,3.17,0.29,0.89,713.52,0,0,300.1154,120,1996.00,2092.00
InnoDB,oltp_read_write,16,1000000,1,675618,13512360,31528.11,9008.03,7.10,1.32,3.49,790.93,0,0,300.0069,120,1996.00,2060.00
InnoDB,oltp_point_select,16,1000000,1,74020029,74020029,246730.79,0,0.06,0.05,0.07,8.84,0,0,300.0032,120,1996.00,1996.00
InnoDB,oltp_insert,16,1000000,1,10796567,10796567,0,35985.74,0.44,0.06,0.17,847.87,0,0,300.0234,120,1996.00,6764.00
InnoDB,oltp_write_only,16,1000000,1,1470152,8820912,0,19592.03,3.26,0.28,3.30,532.58,0,0,300.1530,120,1996.00,2124.00
InnoDB,oltp_read_write,32,1000000,1,753087,15061740,35142.23,10040.63,12.75,1.32,10.09,818.73,0,0,300.0156,120,1996.00,2096.00
InnoDB,oltp_point_select,32,1000000,1,124755518,124755518,415844.79,0,0.08,0.05,0.08,12.65,0,0,300.0050,120,1996.00,1996.00
InnoDB,oltp_insert,32,1000000,1,11383649,11383649,0,37936.37,0.84,0.05,0.31,857.53,0,0,300.0721,120,1996.00,7128.00
InnoDB,oltp_write_only,32,1000000,1,1437898,8627388,0,19142.79,6.68,0.29,9.91,1346.15,0,0,300.4572,120,1996.00,2124.00
