engine,workload,threads,table_size,iteration,time_s,tps,qps,latency_avg_ms,latency_p95_ms
InnoDB,oltp_read_write,4,500000,1,10,796.64,15941.32,14.21,14.21
InnoDB,oltp_read_write,4,500000,1,20,797.19,15943.05,14.21,14.21
InnoDB,oltp_read_write,4,500000,1,30,812.41,16249.81,13.95,13.95
InnoDB,oltp_read_write,4,500000,1,40,822.10,16440.61,13.95,13.95
InnoDB,oltp_read_write,4,500000,1,50,817.60,16350.32,13.70,13.70
InnoDB,oltp_read_write,4,500000,1,60,819.21,16385.27,13.70,13.70
InnoDB,oltp_read_write,4,500000,1,70,834.90,16699.62,12.98,12.98
InnoDB,oltp_read_write,4,500000,1,80,846.90,16942.94,12.98,12.98
InnoDB,oltp_read_write,4,500000,1,90,845.38,16904.51,12.98,12.98
InnoDB,oltp_read_write,4,500000,1,100,831.80,16636.94,13.22,13.22
InnoDB,oltp_read_write,4,500000,1,110,843.90,16881.32,12.98,12.98
InnoDB,oltp_read_write,4,500000,1,120,837.80,16753.53,12.98,12.98
InnoDB,oltp_read_write,4,500000,1,130,847.10,16945.24,12.75,12.75
InnoDB,oltp_read_write,4,500000,1,140,841.52,16829.88,12.75,12.75
InnoDB,oltp_read_write,4,500000,1,150,829.88,16597.52,13.46,13.46
InnoDB,oltp_read_write,4,500000,1,160,849.59,16991.32,12.98,12.98
InnoDB,oltp_read_write,4,500000,1,170,842.72,16855.57,12.98,12.98
InnoDB,oltp_read_write,4,500000,1,180,830.88,16619.53,13.22,13.22
InnoDB,oltp_read_write,4,500000,1,190,852.71,17053.50,12.30,12.30
InnoDB,oltp_read_write,4,500000,1,200,839.90,16800.22,13.22,13.22
InnoDB,oltp_read_write,4,500000,1,210,867.00,17339.25,12.30,12.30
InnoDB,oltp_read_write,4,500000,1,220,857.58,17154.33,12.08,12.08
InnoDB,oltp_read_write,4,500000,1,230,858.31,17166.66,12.52,12.52
InnoDB,oltp_read_write,4,500000,1,240,845.81,16916.44,12.98,12.98
InnoDB,oltp_point_select,4,500000,1,10,36978.91,36978.91,0.17,0.17
InnoDB,oltp_point_select,4,500000,1,20,37019.44,37019.44,0.17,0.17
InnoDB,oltp_point_select,4,500000,1,30,36899.04,36899.04,0.17,0.17
InnoDB,oltp_point_select,4,500000,1,40,36708.56,36708.56,0.17,0.17
InnoDB,oltp_point_select,4,500000,1,50,37069.72,37069.82,0.17,0.17
InnoDB,oltp_point_select,4,500000,1,60,37116.64,37116.54,0.17,0.17
InnoDB,oltp_point_select,4,500000,1,70,37627.82,37627.82,0.17,0.17
InnoDB,oltp_point_select,4,500000,1,80,36496.09,36496.09,0.17,0.17
InnoDB,oltp_point_select,4,500000,1,90,36815.66,36815.66,0.17,0.17
InnoDB,oltp_point_select,4,500000,1,100,37151.04,37151.04,0.17,0.17
InnoDB,oltp_point_select,4,500000,1,110,37452.87,37452.87,0.17,0.17
InnoDB,oltp_point_select,4,500000,1,120,37537.35,37537.35,0.17,0.17
InnoDB,oltp_point_select,4,500000,1,130,37137.18,37137.18,0.17,0.17
InnoDB,oltp_point_select,4,500000,1,140,36783.65,36783.65,0.17,0.17
InnoDB,oltp_point_select,4,500000,1,150,36541.66,36541.66,0.17,0.17
InnoDB,oltp_point_select,4,500000,1,160,37258.77,37258.77,0.17,0.17
InnoDB,oltp_point_select,4,500000,1,170,37445.08,37445.08,0.17,0.17
InnoDB,oltp_point_select,4,500000,1,180,37135.57,37135.57,0.17,0.17
InnoDB,oltp_point_select,4,500000,1,190,36143.91,36143.91,0.17,0.17
InnoDB,oltp_point_select,4,500000,1,200,36207.46,36207.46,0.17,0.17
InnoDB,oltp_point_select,4,500000,1,210,36949.23,36949.23,0.17,0.17
InnoDB,oltp_point_select,4,500000,1,220,36476.29,36476.29,0.17,0.17
InnoDB,oltp_point_select,4,500000,1,230,36564.63,36564.63,0.17,0.17
InnoDB,oltp_insert,4,500000,1,10,28924.40,28924.40,0.15,0.15
InnoDB,oltp_insert,4,500000,1,20,17932.20,17932.20,0.31,0.31
InnoDB,oltp_insert,4,500000,1,30,17113.24,17113.24,0.35,0.35
InnoDB,oltp_insert,4,500000,1,40,16312.42,16312.42,0.37,0.37
InnoDB,oltp_insert,4,500000,1,50,16990.19,16990.19,0.35,0.35
InnoDB,oltp_insert,4,500000,1,60,17264.86,17264.86,0.36,0.36
InnoDB,oltp_insert,4,500000,1,70,17045.59,17045.59,0.37,0.37
InnoDB,oltp_insert,4,500000,1,80,17317.92,17317.92,0.35,0.35
InnoDB,oltp_insert,4,500000,1,90,16945.16,16945.16,0.36,0.36
InnoDB,oltp_insert,4,500000,1,100,16133.46,16133.46,0.39,0.39
InnoDB,oltp_insert,4,500000,1,110,15337.45,15337.45,0.44,0.44
InnoDB,oltp_insert,4,500000,1,120,14356.02,14356.02,0.77,0.77
InnoDB,oltp_insert,4,500000,1,130,13792.16,13792.16,1.01,1.01
InnoDB,oltp_insert,4,500000,1,140,13170.37,13170.37,1.10,1.10
InnoDB,oltp_insert,4,500000,1,150,12576.39,12576.39,1.16,1.16
InnoDB,oltp_insert,4,500000,1,160,12662.95,12662.95,1.16,1.16
