engine,workload,threads,table_size,iteration,tps,qps,reads_per_sec,writes_per_sec,latency_avg_ms,latency_min_ms,latency_p95_ms,latency_max_ms,errors,reconnects,total_time_s,warmup_s,data_size_after_prepare_mb,data_size_after_run_mb
InnoDB,oltp_read_write,4,500000,1,200694,4014058,11707.24,3344.79,4.78,1.92,13.22,54.90,11,0,240.0112,30,196.00,208.00
InnoDB,oltp_point_select,4,500000,1,8861928,8861928,36924.13,0,0.11,0.04,0.17,1.41,0,0,240.0037,30,196.00,196.00
InnoDB,oltp_insert,4,500000,1,3556743,3556743,0,14819.25,0.27,0.05,0.75,79.55,0,0,240.0082,30,196.00,1360.00
InnoDB,oltp_write_only,4,500000,1,599767,3598602,0,9995.85,1.60,0.23,6.43,148.68,0,0,240.0063,30,196.00,208.00
TidesDB,oltp_read_write,4,500000,1,196522,3951891,11529.28,3294.08,4.88,3.04,6.67,74.36,1129,0,240.0074,30,105.60,144.68
TidesDB,oltp_point_select,4,500000,1,18577091,18577091,77403.03,0,0.05,0.03,0.06,11.88,0,0,240.0047,30,105.60,105.60
TidesDB,oltp_insert,4,500000,1,12639706,12639706,0,52664.65,0.07,0.05,0.10,29.34,0,0,240.0036,30,105.60,2897.47
TidesDB,oltp_write_only,4,500000,1,2628580,15771945,0,43810.74,0.36,0.24,0.42,62.75,93,0,240.0026,30,105.60,336.26
InnoDB,oltp_read_write,8,500000,1,247669,4953855,14448.80,4127.83,7.75,2.11,22.69,73.40,30,0,240.0051,30,196.00,208.00
InnoDB,oltp_point_select,8,500000,1,16194429,16194429,67475.40,0,0.12,0.04,0.19,3.99,0,0,240.0049,30,196.00,196.00
InnoDB,oltp_insert,8,500000,1,3731768,3731768,0,15548.70,0.51,0.05,1.82,105.40,0,0,240.0051,30,196.00,1512.00
InnoDB,oltp_write_only,8,500000,1,661117,3966702,0,11018.28,2.90,0.23,10.46,163.32,0,0,240.0073,30,196.00,224.00
TidesDB,oltp_read_write,8,500000,1,318686,6451506,18828.38,5379.53,6.02,3.26,7.98,1147.64,4094,0,240.0057,30,105.60,228.90
TidesDB,oltp_point_select,8,500000,1,35892950,35892950,149550.90,0,0.05,0.04,0.06,13.21,0,0,240.0049,30,105.60,105.60
TidesDB,oltp_insert,8,500000,1,18594515,18594515,0,77475.91,0.10,0.05,0.12,105.16,0,0,240.0038,30,105.60,6445.58
TidesDB,oltp_write_only,8,500000,1,5065516,30395651,0,84432.34,0.38,0.24,0.45,43.38,511,0,240.0041,30,105.60,567.82
